gene,label,leak,scRNA_AML_pct,scRNA_HSPC_pct,scRNA_Myeloid_pct,n_pts_pct,composite,klass,comp_rank,do_label
AMN,AMN,4.63,16.33,4.63,3.73,35.7,26.02,candidate,3,True
LMBR1L,LMBR1L,9.44,16.44,9.44,4.52,28.6,22.51,candidate,6,True
NRXN2,NRXN2,6.55,15.23,4.44,6.55,28.6,21.9,candidate,7,True
FURIN,FURIN,10.0,17.56,10.0,8.36,25.0,21.28,candidate,8,True
UMODL1,UMODL1,1.48,13.25,1.48,1.36,25.0,19.13,candidate,9,True
GPR174,GPR174,8.52,13.96,8.52,1.36,21.4,17.69,candidate,10,True
SUSD1,SUSD1,8.89,14.53,8.89,8.14,17.9,16.19,candidate,12,False
THSD7A,THSD7A,2.22,10.57,2.22,1.69,21.4,16.0,candidate,13,False
SLC7A6,SLC7A6,8.7,13.57,8.7,6.44,14.3,13.93,candidate,15,False
TSPAN7,TSPAN7,4.07,9.36,4.07,2.15,17.9,13.61,candidate,16,False
SLC24A3,SLC24A3,3.05,9.1,2.41,3.05,17.9,13.48,candidate,17,False
TM4SF1,TM4SF1,5.19,7.96,5.19,1.81,17.9,12.91,candidate,18,False
MILR1,MILR1,6.55,11.44,3.15,6.55,14.3,12.86,candidate,19,False
FCGR2A,FCGR2A,8.25,10.8,0.74,8.25,14.3,12.54,candidate,20,False
SLCO5A1,SLCO5A1,2.78,6.8,2.78,1.92,17.9,12.33,candidate,21,False
GP1BB,GP1BB,5.93,10.2,5.93,0.79,14.3,12.24,candidate,22,False
MRC2,MRC2,7.22,9.93,7.22,4.41,14.3,12.11,candidate,23,False
FGFR1,FGFR1,6.21,9.74,5.56,6.21,14.3,12.01,candidate,24,False
SLC18A2,SLC18A2,7.22,5.93,7.22,0.56,17.9,11.89,candidate,25,False
TMEM106A,TMEM106A,10.0,13.02,10.0,4.97,10.7,11.87,candidate,26,False
LTK,LTK,2.94,9.4,1.11,2.94,14.3,11.84,candidate,27,False
SERINC5,SERINC5,7.04,11.84,7.04,6.44,10.7,11.28,candidate,28,False
IL5RA,IL5RA,0.9,7.84,0.56,0.9,14.3,11.06,candidate,29,False
IL17RE,IL17RE,7.78,9.93,7.78,3.62,10.7,10.32,candidate,30,False
EMP1,EMP1,9.26,9.62,9.26,5.65,10.7,10.16,candidate,31,False
ICAM1,ICAM1,3.16,9.08,2.59,3.16,10.7,9.9,candidate,32,False
HAVCR2,HAVCR2,4.97,9.07,1.48,4.97,10.7,9.89,candidate,33,False
SVOPL,SVOPL,8.7,8.6,8.7,0.45,10.7,9.66,candidate,34,False
CD79A,CD79A,7.59,8.45,7.59,0.9,10.7,9.58,candidate,35,False
NRG4,NRG4,5.99,8.27,1.67,5.99,10.7,9.49,candidate,36,False
CSF2RB,CSF2RB,9.44,8.04,9.44,2.49,10.7,9.37,candidate,37,False
SLC6A6,SLC6A6,10.0,11.43,10.0,4.97,7.1,9.28,candidate,38,False
LPAR6,LPAR6,2.59,7.73,2.59,2.49,10.7,9.22,candidate,39,False
TBXA2R,TBXA2R,4.63,7.08,4.63,1.58,10.7,8.9,candidate,40,False
CD38,CD38,28.15,35.3,28.15,22.71,71.4,53.36,clinical,999,True
CD33,CD33,30.62,31.29,16.67,30.62,67.9,49.57,clinical,999,True
CLEC12A,CLL-1,31.3,32.71,9.44,31.3,64.3,48.5,clinical,999,True
IL3RA,CD123,12.22,25.84,12.22,7.68,60.7,43.28,clinical,999,True
CD70,CD70,0.9,3.31,0.0,0.9,3.6,3.44,clinical,999,True
FLT3,FLT3,52.59,48.86,52.59,25.08,89.3,69.07,control,999,True
CD96,CD96,3.28,29.11,2.41,3.28,60.7,44.91,lead,1,True
CD9,CD9,7.59,23.86,7.59,6.78,46.4,35.15,lead,2,True
IL1RAP,IL1RAP,9.94,17.9,5.74,9.94,32.1,25.02,lead,4,True
SUCNR1,SUCNR1,6.55,17.99,6.3,6.55,28.6,23.28,lead,5,True
ITGAX,ITGAX,6.55,11.63,0.93,6.55,21.4,16.53,ppac,11,True
CD7,CD7,9.07,13.06,9.07,3.05,17.9,15.46,ppac,14,True
ABCA7,ABCA7,10.73,12.61,5.56,10.73,7.1,9.88,ppac,999,True
TNFRSF4,TNFRSF4,0.56,6.42,0.56,0.23,7.1,6.78,ppac,999,True
