gene,group,pct,mean_expr,label,prognosis,hr
CD96,HSPC,2.41,0.0228,CD96,normal,
CD9,HSPC,7.59,0.0876,CD9,normal,
SUCNR1,HSPC,6.3,0.0702,SUCNR1,normal,
AMN,HSPC,4.63,0.0503,AMN,normal,
IL1RAP,HSPC,5.74,0.0584,IL1RAP,normal,
LMBR1L,HSPC,9.44,0.1097,LMBR1L,normal,
NRXN2,HSPC,4.44,0.048,NRXN2,normal,
FURIN,HSPC,10.0,0.1193,FURIN,normal,
UMODL1,HSPC,1.48,0.015,UMODL1,normal,
CD7,HSPC,9.07,0.1139,CD7,normal,
CD33,HSPC,16.67,0.192,CD33,normal,
CD123,HSPC,12.22,0.1442,CD123,normal,
CLL-1,HSPC,9.44,0.1035,CLL-1,normal,
CD38,HSPC,28.15,0.3495,CD38,normal,
CD70,HSPC,0.0,0.0,CD70,normal,
FLT3,HSPC,52.59,0.793,FLT3,normal,
TNFRSF4,HSPC,0.56,0.0083,TNFRSF4,normal,
ABCA7,HSPC,5.56,0.0572,ABCA7,normal,
ITGAX,HSPC,0.93,0.0099,ITGAX,normal,
CD96,Myeloid_Pro,3.28,0.0349,CD96,normal,
CD9,Myeloid_Pro,6.78,0.0816,CD9,normal,
SUCNR1,Myeloid_Pro,6.55,0.0759,SUCNR1,normal,
AMN,Myeloid_Pro,3.73,0.0405,AMN,normal,
IL1RAP,Myeloid_Pro,9.94,0.1166,IL1RAP,normal,
LMBR1L,Myeloid_Pro,4.52,0.0478,LMBR1L,normal,
NRXN2,Myeloid_Pro,6.55,0.0729,NRXN2,normal,
FURIN,Myeloid_Pro,8.36,0.095,FURIN,normal,
UMODL1,Myeloid_Pro,1.36,0.0114,UMODL1,normal,
CD7,Myeloid_Pro,3.05,0.0354,CD7,normal,
CD33,Myeloid_Pro,30.62,0.4021,CD33,normal,
CD123,Myeloid_Pro,7.68,0.0939,CD123,normal,
CLL-1,Myeloid_Pro,31.3,0.4252,CLL-1,normal,
CD38,Myeloid_Pro,22.71,0.2942,CD38,normal,
CD70,Myeloid_Pro,0.9,0.0112,CD70,normal,
FLT3,Myeloid_Pro,25.08,0.3246,FLT3,normal,
TNFRSF4,Myeloid_Pro,0.23,0.0013,TNFRSF4,normal,
ABCA7,Myeloid_Pro,10.73,0.1587,ABCA7,normal,
ITGAX,Myeloid_Pro,6.55,0.0934,ITGAX,normal,
CD96,LS_33,47.63,0.6461,CD96,favorable,0.757
CD9,LS_33,17.36,0.2053,CD9,favorable,0.757
SUCNR1,LS_33,22.0,0.2679,SUCNR1,favorable,0.757
AMN,LS_33,25.23,0.2872,AMN,favorable,0.757
IL1RAP,LS_33,15.84,0.1671,IL1RAP,favorable,0.757
LMBR1L,LS_33,20.99,0.2315,LMBR1L,favorable,0.757
NRXN2,LS_33,14.73,0.1582,NRXN2,favorable,0.757
FURIN,LS_33,20.59,0.2185,FURIN,favorable,0.757
UMODL1,LS_33,12.31,0.1251,UMODL1,favorable,0.757
CD7,LS_33,13.93,0.1798,CD7,favorable,0.757
CD33,LS_33,42.79,0.5798,CD33,favorable,0.757
CD123,LS_33,22.0,0.2498,CD123,favorable,0.757
CLL-1,LS_33,30.17,0.3765,CLL-1,favorable,0.757
CD38,LS_33,34.51,0.5007,CD38,favorable,0.757
CD70,LS_33,2.22,0.0289,CD70,favorable,0.757
FLT3,LS_33,64.88,0.9706,FLT3,favorable,0.757
TNFRSF4,LS_33,13.12,0.163,TNFRSF4,favorable,0.757
ABCA7,LS_33,10.6,0.1289,ABCA7,favorable,0.757
ITGAX,LS_33,5.65,0.0656,ITGAX,favorable,0.757
CD96,LS_45,54.38,0.642,CD96,favorable,0.813
CD9,LS_45,30.24,0.5248,CD9,favorable,0.813
SUCNR1,LS_45,5.57,0.0601,SUCNR1,favorable,0.813
AMN,LS_45,10.34,0.1002,AMN,favorable,0.813
IL1RAP,LS_45,35.28,0.3913,IL1RAP,favorable,0.813
LMBR1L,LS_45,21.49,0.2075,LMBR1L,favorable,0.813
NRXN2,LS_45,31.3,0.3148,NRXN2,favorable,0.813
FURIN,LS_45,30.5,0.284,FURIN,favorable,0.813
UMODL1,LS_45,9.81,0.1041,UMODL1,favorable,0.813
CD7,LS_45,5.57,0.0557,CD7,favorable,0.813
CD33,LS_45,42.71,0.4707,CD33,favorable,0.813
CD123,LS_45,27.32,0.2937,CD123,favorable,0.813
CLL-1,LS_45,46.95,0.535,CLL-1,favorable,0.813
CD38,LS_45,61.8,0.812,CD38,favorable,0.813
CD70,LS_45,2.39,0.0253,CD70,favorable,0.813
FLT3,LS_45,49.34,0.5712,FLT3,favorable,0.813
TNFRSF4,LS_45,1.59,0.0162,TNFRSF4,favorable,0.813
ABCA7,LS_45,3.45,0.0326,ABCA7,favorable,0.813
ITGAX,LS_45,23.08,0.2312,ITGAX,favorable,0.813
CD96,LS_28,82.04,1.0859,CD96,favorable,0.862
CD9,LS_28,2.88,0.0362,CD9,favorable,0.862
SUCNR1,LS_28,41.59,0.3843,SUCNR1,favorable,0.862
AMN,LS_28,46.21,0.4143,AMN,favorable,0.862
IL1RAP,LS_28,19.5,0.162,IL1RAP,favorable,0.862
LMBR1L,LS_28,26.8,0.2022,LMBR1L,favorable,0.862
NRXN2,LS_28,42.84,0.3679,NRXN2,favorable,0.862
FURIN,LS_28,28.63,0.2188,FURIN,favorable,0.862
UMODL1,LS_28,67.24,0.7482,UMODL1,favorable,0.862
CD7,LS_28,9.8,0.076,CD7,favorable,0.862
CD33,LS_28,55.33,0.5398,CD33,favorable,0.862
CD123,LS_28,27.28,0.2386,CD123,favorable,0.862
CLL-1,LS_28,80.98,0.9936,CLL-1,favorable,0.862
CD38,LS_28,70.32,0.7799,CD38,favorable,0.862
CD70,LS_28,1.44,0.0166,CD70,favorable,0.862
FLT3,LS_28,84.92,1.1646,FLT3,favorable,0.862
TNFRSF4,LS_28,0.58,0.0063,TNFRSF4,favorable,0.862
ABCA7,LS_28,2.31,0.0179,ABCA7,favorable,0.862
ITGAX,LS_28,2.21,0.0156,ITGAX,favorable,0.862
CD96,LS_46,0.54,0.0068,CD96,favorable,0.864
CD9,LS_46,20.6,0.2388,CD9,favorable,0.864
SUCNR1,LS_46,20.6,0.2619,SUCNR1,favorable,0.864
AMN,LS_46,36.31,0.4693,AMN,favorable,0.864
IL1RAP,LS_46,10.3,0.1397,IL1RAP,favorable,0.864
LMBR1L,LS_46,10.3,0.118,LMBR1L,favorable,0.864
NRXN2,LS_46,12.2,0.1452,NRXN2,favorable,0.864
FURIN,LS_46,13.28,0.1538,FURIN,favorable,0.864
UMODL1,LS_46,1.9,0.0233,UMODL1,favorable,0.864
CD7,LS_46,12.2,0.1328,CD7,favorable,0.864
CD33,LS_46,54.2,0.7937,CD33,favorable,0.864
CD123,LS_46,33.06,0.3982,CD123,favorable,0.864
CLL-1,LS_46,41.46,0.5468,CLL-1,favorable,0.864
CD38,LS_46,21.14,0.2953,CD38,favorable,0.864
CD70,LS_46,0.27,0.0066,CD70,favorable,0.864
FLT3,LS_46,52.03,0.7493,FLT3,favorable,0.864
TNFRSF4,LS_46,1.63,0.015,TNFRSF4,favorable,0.864
ABCA7,LS_46,10.57,0.1329,ABCA7,favorable,0.864
ITGAX,LS_46,15.45,0.1784,ITGAX,favorable,0.864
CD96,LS_11,19.65,0.436,CD96,favorable,0.889
