gene,label,group,cell,pct,mean,n
CD96,CD96,lead,HSC,1.2718752988428803,0.010180516400497277,20914
CD9,CD9,lead,HSC,22.410825284498422,0.3370151730897963,20914
SUCNR1,SUCNR1,lead,HSC,0.41120780338529217,0.0026672831596060054,20914
IL1RAP,IL1RAP,lead,HSC,4.44200057377833,0.030042613560294536,20914
FLT3,FLT3,control,HSC,16.481782538012816,0.17302025580950559,20914
CD33,CD33,clinical,HSC,16.72085684230659,0.1473027283159606,20914
IL3RA,CD123,clinical,HSC,8.424978483312614,0.06969925361002198,20914
CLEC12A,CLL-1,clinical,HSC,1.998661183895955,0.013278880654107298,20914
CD7,CD7,ppac,HSC,11.805489146026584,0.10681505546523862,20914
TNFRSF4,TNFRSF4,ppac,HSC,3.2275031079659557,0.03068252940613943,20914
ABCA7,ABCA7,ppac,HSC,2.821076790666539,0.019331871473654012,20914
ITGAX,ITGAX,ppac,HSC,1.4105383953332695,0.010668956201587452,20914
CD96,CD96,lead,CMP,3.0325916458490676,0.015743762272700867,17213
CD9,CD9,lead,CMP,17.864404810317783,0.1327012362749085,17213
SUCNR1,SUCNR1,lead,CMP,7.90681461685935,0.05300470748852612,17213
IL1RAP,IL1RAP,lead,CMP,8.644629059431825,0.05409427293324812,17213
FLT3,FLT3,control,CMP,32.79498053796549,0.24209983791320508,17213
CD33,CD33,clinical,CMP,26.811131121826527,0.18213168012548653,17213
IL3RA,CD123,clinical,CMP,11.043978388427352,0.06609867367687214,17213
CLEC12A,CLL-1,clinical,CMP,15.999535234996804,0.10824060245163539,17213
CD7,CD7,ppac,CMP,17.399639807122522,0.11566973159821066,17213
TNFRSF4,TNFRSF4,ppac,CMP,1.1386742578283855,0.006651710916168013,17213
ABCA7,ABCA7,ppac,CMP,5.484227037704061,0.0296721024806832,17213
ITGAX,ITGAX,ppac,CMP,2.323825015976297,0.01449122058908964,17213
CD96,CD96,lead,GMP,3.2250498416793714,0.022237974668699426,25581
CD9,CD9,lead,GMP,5.832453774285603,0.04133369688440639,25581
SUCNR1,SUCNR1,lead,GMP,15.796880497244048,0.13390546421171962,25581
IL1RAP,IL1RAP,lead,GMP,7.8964856729604005,0.05995770063719166,25581
FLT3,FLT3,control,GMP,30.09264688636097,0.26393761659043824,25581
CD33,CD33,clinical,GMP,32.53195731206755,0.2644929776005629,25581
IL3RA,CD123,clinical,GMP,9.010593800086001,0.07337614166764395,25581
CLEC12A,CLL-1,clinical,GMP,31.718853836832025,0.27243678120480047,25581
CD7,CD7,ppac,GMP,12.947109182596458,0.11700072671123099,25581
TNFRSF4,TNFRSF4,ppac,GMP,0.78964856729604,0.005503081583988116,25581
ABCA7,ABCA7,ppac,GMP,4.303975606895743,0.03247192330245104,25581
ITGAX,ITGAX,ppac,GMP,2.2673077674836795,0.016111463195340292,25581
CD96,CD96,lead,CLP,12.901655306718597,0.13610610840636156,6162
CD9,CD9,lead,CLP,3.489126906848426,0.033633950016228494,6162
SUCNR1,SUCNR1,lead,CLP,7.319052255761116,0.07254543979227523,6162
IL1RAP,IL1RAP,lead,CLP,4.495293735800065,0.039312852969814994,6162
FLT3,FLT3,control,CLP,37.43914313534567,0.4300015092502435,6162
