subset_a,subset_b,n_shared,jaccard,frac_a_in_b
Naïve CD4 T,Naïve CD4 T,1135,1.0,1.0
Naïve CD4 T,Naïve CD8 T,1,0.0005055611729019212,0.000881057268722467
Naïve CD4 T,Memory CD4 T,0,0.0,0.0
Naïve CD4 T,GZMK CD8 T,0,0.0,0.0
Naïve CD4 T,GZMB CD8 T,0,0.0,0.0
Naïve CD4 T,Treg,1,0.0008071025020177562,0.000881057268722467
Naïve CD4 T,Memory CD8 T,0,0.0,0.0
Naïve CD4 T,MAIT,0,0.0,0.0
Naïve CD4 T,Proliferating T,0,0.0,0.0
Naïve CD4 T,GZMB NK,0,0.0,0.0
Naïve CD8 T,Naïve CD4 T,1,0.0005055611729019212,0.001184834123222749
Naïve CD8 T,Naïve CD8 T,844,1.0,1.0
Naïve CD8 T,Memory CD4 T,0,0.0,0.0
Naïve CD8 T,GZMK CD8 T,0,0.0,0.0
Naïve CD8 T,GZMB CD8 T,0,0.0,0.0
Naïve CD8 T,Treg,0,0.0,0.0
Naïve CD8 T,Memory CD8 T,0,0.0,0.0
Naïve CD8 T,MAIT,0,0.0,0.0
Naïve CD8 T,Proliferating T,0,0.0,0.0
Naïve CD8 T,GZMB NK,0,0.0,0.0
Memory CD4 T,Naïve CD4 T,0,0.0,0.0
Memory CD4 T,Naïve CD8 T,0,0.0,0.0
Memory CD4 T,Memory CD4 T,445,1.0,1.0
Memory CD4 T,GZMK CD8 T,0,0.0,0.0
Memory CD4 T,GZMB CD8 T,1,0.0016339869281045752,0.0022471910112359553
Memory CD4 T,Treg,0,0.0,0.0
Memory CD4 T,Memory CD8 T,0,0.0,0.0
Memory CD4 T,MAIT,1,0.002,0.0022471910112359553
Memory CD4 T,Proliferating T,0,0.0,0.0
Memory CD4 T,GZMB NK,0,0.0,0.0
GZMK CD8 T,Naïve CD4 T,0,0.0,0.0
GZMK CD8 T,Naïve CD8 T,0,0.0,0.0
GZMK CD8 T,Memory CD4 T,0,0.0,0.0
GZMK CD8 T,GZMK CD8 T,290,1.0,1.0
GZMK CD8 T,GZMB CD8 T,16,0.03619909502262444,0.05517241379310345
GZMK CD8 T,Treg,1,0.0025380710659898475,0.0034482758620689655
