rank,gene,scRNA_HSPC_pct,scRNA_Myeloid_pct,scRNA_AML_pct,scRNA_n_pts_above20pct,C1_pct_AML_cells,C2_pct_AML_patients,composite
1,CD96,2.407,3.277,29.11,17,29.11,60.71428571428571,44.912142857142854
2,CD9,7.593,6.78,23.86,13,23.86,46.42857142857143,35.144285714285715
3,AMN,4.63,3.729,16.33,10,16.33,35.714285714285715,26.022142857142857
4,IL1RAP,5.741,9.944,17.9,9,17.9,32.142857142857146,25.021428571428572
5,SUCNR1,6.296,6.554,17.99,8,17.99,28.57142857142857,23.280714285714282
6,LMBR1L,9.444,4.52,16.44,8,16.44,28.57142857142857,22.505714285714284
7,NRXN2,4.444,6.554,15.23,8,15.23,28.57142857142857,21.900714285714287
8,FURIN,10.0,8.362,17.56,7,17.56,25.0,21.28
9,UMODL1,1.481,1.356,13.25,7,13.25,25.0,19.125
10,GPR174,8.519,1.356,13.96,6,13.96,21.428571428571427,17.694285714285712
11,ITGAX,0.926,6.554,11.63,6,11.63,21.428571428571427,16.529285714285713
12,SUSD1,8.889,8.136,14.53,5,14.53,17.857142857142858,16.193571428571428
13,THSD7A,2.222,1.695,10.57,6,10.57,21.428571428571427,15.999285714285714
14,CD7,9.074,3.051,13.06,5,13.06,17.857142857142858,15.458571428571428
15,SLC7A6,8.704,6.441,13.57,4,13.57,14.285714285714285,13.927857142857142
16,TSPAN7,4.074,2.147,9.36,5,9.36,17.857142857142858,13.608571428571429
17,SLC24A3,2.407,3.051,9.1,5,9.1,17.857142857142858,13.478571428571428
18,TM4SF1,5.185,1.808,7.96,5,7.96,17.857142857142858,12.90857142857143
19,MILR1,3.148,6.554,11.44,4,11.44,14.285714285714285,12.862857142857141
20,FCGR2A,0.741,8.249,10.8,4,10.8,14.285714285714285,12.542857142857143
21,SLCO5A1,2.778,1.921,6.8,5,6.8,17.857142857142858,12.32857142857143
22,GP1BB,5.926,0.791,10.2,4,10.2,14.285714285714285,12.242857142857142
23,MRC2,7.222,4.407,9.93,4,9.93,14.285714285714285,12.107857142857142
24,FGFR1,5.556,6.215,9.74,4,9.74,14.285714285714285,12.012857142857143
25,SLC18A2,7.222,0.565,5.93,5,5.93,17.857142857142858,11.893571428571429
26,TMEM106A,10.0,4.972,13.02,3,13.02,10.714285714285714,11.867142857142856
27,LTK,1.111,2.938,9.4,4,9.4,14.285714285714285,11.842857142857142
28,SERINC5,7.037,6.441,11.84,3,11.84,10.714285714285714,11.277142857142856
29,IL5RA,0.556,0.904,7.84,4,7.84,14.285714285714285,11.062857142857142
30,IL17RE,7.778,3.616,9.93,3,9.93,10.714285714285714,10.322142857142858
31,EMP1,9.259,5.65,9.62,3,9.62,10.714285714285714,10.167142857142856
32,ICAM1,2.593,3.164,9.08,3,9.08,10.714285714285714,9.897142857142857
33,HAVCR2,1.481,4.972,9.07,3,9.07,10.714285714285714,9.892142857142858
34,SVOPL,8.704,0.452,8.6,3,8.6,10.714285714285714,9.657142857142857
35,CD79A,7.593,0.904,8.45,3,8.45,10.714285714285714,9.582142857142856
36,NRG4,1.667,5.989,8.27,3,8.27,10.714285714285714,9.492142857142856
37,CSF2RB,9.444,2.486,8.04,3,8.04,10.714285714285714,9.377142857142857
38,SLC6A6,10.0,4.972,11.43,2,11.43,7.142857142857142,9.286428571428571
39,LPAR6,2.593,2.486,7.73,3,7.73,10.714285714285714,9.222142857142856
40,TBXA2R,4.63,1.582,7.08,3,7.08,10.714285714285714,8.897142857142857
41,JAG1,1.667,2.938,6.73,3,6.73,10.714285714285714,8.722142857142856
42,NT5E,0.185,0.565,6.55,3,6.55,10.714285714285714,8.632142857142856
