sample,gene,log2cpm,label,group
TARGET.20.PATJVL.09A,CD96,7.98472265816668,CD96,lead
TARGET.20.PAWWEE.09A,CD96,7.646354148212291,CD96,lead
TARGET.20.PARCEV.09A,CD96,7.96492828779512,CD96,lead
TARGET.20.PASCCS.09A,CD96,2.805888192592566,CD96,lead
TARGET.20.PAEIKD.09A,CD96,5.279343486911292,CD96,lead
TARGET.20.PAWNBB.09A,CD96,5.004921585950841,CD96,lead
TARGET.20.PARTYV.09A,CD96,7.609955303125314,CD96,lead
TARGET.20.PAVAGA.09A,CD96,5.698686550241212,CD96,lead
TARGET.20.PAWJGZ.09A,CD96,1.8007211035335262,CD96,lead
TARGET.20.PARERV.09A,CD96,7.0435279617573725,CD96,lead
TARGET.20.PAUYIB.09A,CD96,2.2463326882954657,CD96,lead
TARGET.20.PAUZJJ.09A,CD96,7.637218069398485,CD96,lead
TARGET.20.PAVHFP.09A,CD96,9.629422949611468,CD96,lead
TARGET.20.PANTRL.09A,CD96,1.472771252917752,CD96,lead
TARGET.20.PAURYA.09A,CD96,8.058296093448178,CD96,lead
TARGET.20.PASBHI.09A,CD96,5.25937339813517,CD96,lead
TARGET.20.PAWVVR.09A,CD96,8.869607562317949,CD96,lead
TARGET.20.PAWZWN.09A,CD96,8.859816964713879,CD96,lead
TARGET.20.PASVYL.09A,CD96,2.2259963571262373,CD96,lead
TARGET.20.PARJCR.09A,CD96,3.0254055559783417,CD96,lead
TARGET.20.PATAPC.09A,CD96,7.176572974059979,CD96,lead
TARGET.20.PAVNVF.09A,CD96,5.418393825767486,CD96,lead
TARGET.20.PAXAAA.09A,CD96,7.445145650681248,CD96,lead
TARGET.20.PAXDSN.09A,CD96,4.125924650076125,CD96,lead
TARGET.20.PASSPT.09A,CD96,2.6388762510719004,CD96,lead
TARGET.20.PAVACZ.09A,CD96,3.437934218460819,CD96,lead
TARGET.20.PAWGTG.09A,CD96,4.257192177797509,CD96,lead
TARGET.20.PASGGK.09A,CD96,3.061333204447309,CD96,lead
TARGET.20.PANGJY.09A,CD96,0.2541795377697982,CD96,lead
TARGET.20.PAXLHS.09A,CD96,3.500991797737498,CD96,lead
TARGET.20.PAXETC.09A,CD96,1.2485444839838902,CD96,lead
TARGET.20.PARMZF.09A,CD96,3.239138986439916,CD96,lead
