LS,det_gt1pct,det_gt5pct,mean_frac
LS_1,0.789,0.3391,0.0404
LS_2,0.4846,0.0638,0.0153
LS_3,0.7353,0.2753,0.0343
LS_4,0.221,0.0341,0.0073
LS_5,0.6144,0.1265,0.0229
LS_6,0.6967,0.1707,0.0281
LS_7,0.2238,0.0201,0.0068
LS_8,0.573,0.2065,0.0283
LS_9,0.2166,0.0571,0.0097
LS_10,0.0716,0.0028,0.002
LS_11,0.5926,0.0627,0.0185
LS_12,0.1321,0.0196,0.0047
LS_13,0.5042,0.0392,0.0146
LS_14,0.7112,0.103,0.0237
LS_15,0.3587,0.0246,0.0102
LS_16,0.1494,0.0543,0.0081
LS_17,0.319,0.0565,0.0116
LS_18,0.3195,0.0487,0.0108
LS_19,0.4326,0.0683,0.0148
LS_20,0.399,0.1024,0.0168
LS_21,0.8081,0.5355,0.072
LS_22,0.6732,0.1377,0.0252
LS_23,0.1556,0.0067,0.0048
LS_24,0.6575,0.1886,0.0278
LS_25,0.1153,0.0179,0.0043
LS_26,0.6536,0.0767,0.0203
LS_27,0.2076,0.042,0.0081
LS_28,0.5478,0.0806,0.0184
LS_29,0.6044,0.1455,0.0234
LS_30,0.54,0.2182,0.0281
LS_31,0.2708,0.066,0.011
LS_32,0.2815,0.0347,0.0089
LS_33,0.4801,0.1785,0.027
LS_34,0.3682,0.0151,0.0101
LS_35,0.3598,0.0716,0.0151
LS_36,0.671,0.1807,0.0279
LS_37,0.4684,0.0297,0.0131
LS_38,0.2485,0.0118,0.007
LS_39,0.6419,0.0397,0.0179
LS_40,0.7706,0.1046,0.0251
LS_41,0.4762,0.0481,0.0148
LS_42,0.5232,0.0397,0.0155
LS_43,0.7717,0.1433,0.0272
LS_44,0.1371,0.009,0.0044
LS_45,0.6111,0.2608,0.0315
LS_46,0.338,0.0353,0.0106
LS_47,0.263,0.0604,0.0117
LS_48,0.3677,0.052,0.0119
LS_49,0.4499,0.197,0.0243
