LS,n_cells,jaccard,AML_frac,healthyBM_frac,top_cyto,n_patients,top_pt_frac,lineage_program,stem_z
LS_1,2569,0.68,1.0,0.02,BCR/ABL(16%),7,0.16,Erythroid,0.9609364
LS_2,2432,0.76,1.0,0.0,CBFB/MYH11(94%),3,0.38,unresolved,0.24626105
LS_3,2386,0.58,1.0,0.0,CN(26%),5,0.1,proliferative,0.08830475
LS_4,1980,0.41,1.0,0.0,PML/RARA(31%),9,0.22,GMP,0.12439535
LS_5,1857,0.43,1.0,0.0,MLLr(38%),5,0.36,HSC/MPP,0.7344972
LS_6,1746,0.41,1.0,0.0,CN(70%),4,0.36,unresolved,0.75843126
LS_7,1703,0.67,1.0,0.04,MLLr(59%),3,0.49,Monocyte,-0.97214144
LS_8,1696,0.45,1.0,0.0,RUNX1/RUNX1T1(56%),4,0.41,B/plasma,0.2539215
LS_9,1666,0.41,1.0,0.01,MLLr(33%),5,0.2,unresolved,-0.07763256
LS_10,1583,0.58,1.0,0.02,CN(22%),9,0.07,proliferative,0.23825729
LS_11,1583,0.7,1.0,0.01,CN(21%),6,0.16,Macrophage,0.62838227
LS_12,1556,0.39,1.0,0.0,PML/RARA(50%),5,0.3,GMP,-0.39984334
LS_13,1540,0.93,1.0,0.0,MYB/GATA1(94%),1,0.94,Erythroid,-0.30712563
LS_14,1536,0.67,1.0,0.02,CN(30%),6,0.21,Megakaryocyte,0.67502606
LS_15,1415,0.71,1.0,0.0,BCR/ABL(66%),2,0.66,T/NK,0.033698373
LS_16,1394,0.9,1.0,0.01,CBFB/MYH11(68%),6,0.35,Monocyte,-1.3345684
LS_17,1392,0.44,1.0,0.0,RUNX1/RUNX1T1(49%),4,0.47,unresolved,0.2648616
LS_18,1385,0.82,1.0,0.0,CBFB/MYH11(44%),6,0.21,cDC,-0.91608655
LS_19,1291,0.46,1.0,0.0,CN(80%),3,0.47,pDC,0.19634369
LS_20,1251,0.8,1.0,0.02,CBFB/MYH11(19%),8,0.1,proliferative,-0.037348818
LS_21,1168,0.36,1.0,0.0,MLLr(52%),5,0.29,Macrophage,-0.013441756
LS_22,1162,0.56,1.0,0.0,Tri(15)(57%),4,0.57,GMP,-0.16761728
LS_23,1148,0.93,1.0,0.0,t(7;14)(q21;q32)(93%),1,0.93,T/NK,-0.20325062
LS_24,1104,0.63,1.0,0.0,Tri(15)(62%),4,0.62,unresolved,0.65211433
LS_25,1089,0.46,1.0,0.0,t(2;3)(p15;q26.2)(43%),3,0.43,HSC/MPP,0.82053727
LS_26,1069,0.64,1.0,0.0,MLLr(38%),6,0.38,GMP,-0.70042497
LS_27,1064,0.6,1.0,0.01,CBFB/MYH11(39%),8,0.21,GMP,-0.053242575
LS_28,1041,0.85,1.0,0.0,RUNX1/RUNX1T1(81%),2,0.8,unresolved,0.08084918
LS_29,1031,0.56,1.0,0.0,NUP98/NSD1(29%),6,0.29,Monocyte,-0.76430887
LS_30,1015,0.51,1.0,0.03,CN(19%),7,0.13,T/NK,0.30273643
LS_31,992,0.53,1.0,0.0,CBFB/MYH11(75%),4,0.3,unresolved,0.07416936
LS_32,991,0.37,1.0,0.0,Tri(8)/MLLr(47%),4,0.43,GMP,-0.005877316
LS_33,991,0.35,1.0,0.0,PML/RARA(50%),6,0.31,GMP,-0.028869223
LS_34,957,0.84,1.0,0.02,RUNX1/RUNX1T1(74%),3,0.55,unresolved,-0.2716692
LS_35,957,0.89,1.0,0.0,t(7;14)(q21;q32)(83%),1,0.83,Neutrophil,-1.6492895
LS_36,863,0.41,1.0,0.0,CBFB/MYH11(72%),4,0.28,unresolved,0.40902978
LS_37,831,0.54,1.0,0.0,del7q(74%),2,0.74,B/plasma,0.37133163
LS_38,798,0.79,1.0,0.0,NUP98/NSD1(97%),1,0.97,HSC/MPP,0.6312328
LS_39,788,0.73,1.0,0.07,CN(18%),5,0.09,proliferative,0.7369078
LS_40,726,0.75,1.0,0.05,CBFB/MYH11(55%),6,0.34,B/plasma,-0.22650203
LS_41,615,0.69,1.0,0.0,MLLr(77%),1,0.77,unresolved,-0.07061274
LS_42,540,0.42,1.0,0.06,MYB/GATA1(44%),5,0.44,Erythroid,0.25700527
LS_43,533,0.97,1.0,0.0,Tri(8)(98%),1,0.98,unresolved,0.6286727
LS_44,406,0.69,1.0,0.01,RUNX1/RUNX1T1(89%),2,0.88,Macrophage,-1.3080021
LS_45,377,0.6,1.0,0.0,RUNX1/RUNX1T1(67%),2,0.67,GMP,-0.6102107
LS_46,369,0.54,1.0,0.04,NUP98/NSD1(83%),1,0.83,GMP,0.42196244
LS_47,304,0.47,1.0,0.0,CN(28%),6,0.14,Macrophage,0.7881615
LS_48,261,0.49,1.0,0.0,MLLr(85%),1,0.83,unresolved,-0.11404655
LS_49,15,0.35,1.0,0.0,PML/RARA(33%),8,0.2,GMP,-1.14591
