LS,lineage_program,n_cells,eff_n_cyto,n_patients,top_pt_frac,patient_class
LS_1,Erythroid,2569,10.18,30,0.16,multi-pt
LS_10,proliferative,1583,9.86,30,0.07,multi-pt
LS_11,Macrophage,1583,9.02,30,0.16,multi-pt
LS_12,GMP,1556,4.62,25,0.3,multi-pt
LS_13,Erythroid,1540,1.39,21,0.94,single-pt
LS_14,Megakaryocyte,1536,9.45,30,0.21,multi-pt
LS_15,T/NK,1415,3.48,26,0.66,multi-pt
LS_16,Monocyte,1394,3.35,23,0.35,multi-pt
LS_17,unresolved,1392,5.17,23,0.47,multi-pt
LS_18,cDC,1385,4.72,27,0.21,multi-pt
LS_19,pDC,1291,2.47,24,0.47,multi-pt
LS_2,unresolved,2432,1.35,21,0.38,multi-pt
LS_20,proliferative,1251,10.0,30,0.1,multi-pt
LS_21,Macrophage,1168,4.7,25,0.29,multi-pt
LS_22,GMP,1162,4.34,22,0.57,multi-pt
LS_23,T/NK,1148,1.4,8,0.93,single-pt
LS_24,unresolved,1104,3.56,20,0.62,multi-pt
LS_25,HSC/MPP,1089,5.75,24,0.43,multi-pt
LS_26,GMP,1069,7.05,24,0.38,multi-pt
LS_27,GMP,1064,5.68,23,0.21,multi-pt
LS_28,unresolved,1041,2.13,17,0.8,single-pt
LS_29,Monocyte,1031,7.56,25,0.29,multi-pt
LS_3,proliferative,2386,9.15,30,0.1,multi-pt
LS_30,T/NK,1015,9.84,29,0.13,multi-pt
LS_31,unresolved,992,2.5,21,0.3,multi-pt
LS_32,GMP,991,5.62,27,0.43,multi-pt
LS_33,GMP,991,4.95,23,0.31,multi-pt
LS_34,unresolved,957,2.76,23,0.55,multi-pt
LS_35,Neutrophil,957,2.0,21,0.83,single-pt
LS_36,unresolved,863,2.74,22,0.28,multi-pt
LS_37,B/plasma,831,2.41,23,0.74,multi-pt
LS_38,HSC/MPP,798,1.2,7,0.97,single-pt
LS_39,proliferative,788,12.09,29,0.09,multi-pt
LS_4,GMP,1980,5.82,26,0.22,multi-pt
LS_40,B/plasma,726,4.13,24,0.34,multi-pt
LS_41,unresolved,615,2.53,23,0.77,multi-pt
LS_42,Erythroid,540,7.09,26,0.44,multi-pt
LS_43,unresolved,533,1.12,2,0.98,single-pt
LS_44,Macrophage,406,1.6,12,0.88,single-pt
LS_45,GMP,377,1.89,5,0.67,multi-pt
LS_46,GMP,369,2.07,10,0.83,single-pt
LS_47,Macrophage,304,7.72,27,0.14,multi-pt
LS_48,unresolved,261,2.04,17,0.83,single-pt
LS_49,GMP,15,3.75,8,0.2,multi-pt
LS_5,HSC/MPP,1857,6.36,27,0.36,multi-pt
LS_6,unresolved,1746,3.35,23,0.36,multi-pt
LS_7,Monocyte,1703,4.25,28,0.49,multi-pt
LS_8,B/plasma,1696,4.06,23,0.41,multi-pt
LS_9,unresolved,1666,7.2,30,0.2,multi-pt
