,0
0,SAMD11
1,TNFRSF18
2,TNFRSF4
3,AL645728.1
4,AL691432.2
5,PANK4
6,MMEL1
7,SMIM1
8,NPHP4
9,TNFRSF25
10,UTS2
11,NMNAT1
12,RBP7
13,FBXO6
14,TNFRSF1B
15,DHRS3
16,TMEM51
17,PADI2
18,ARHGEF10L
19,CDA
20,KIF17
21,ECE1
22,GALE
23,MAP3K6
24,FGR
25,SMPDL3B
26,PTAFR
27,MED18
28,FAM229A
29,DLGAP3
30,ZMYM4-AS1
31,MANEAL
32,COL9A2
33,NFYC-AS1
34,ERMAP
35,ARTN
36,CCDC24
37,TESK2
38,CC2D1B
39,SHISAL2A
40,COA7
41,ECHDC2
42,LINC02812
43,FGGY
44,SLC35D1
45,AK5
46,DNAJB4
47,AC103591.3
48,IFI44L
49,MCOLN2
50,EVI5
51,SORT1
52,ATXN7L2
53,CTTNBP2NL
54,WARS2-AS1
55,FCGR1B
56,SRGAP2C
57,SRGAP2B
58,LINC01731
59,FCGR1A
60,HIST2H2AA4
61,MTMR11
62,C1orf54
63,ECM1
64,HORMAD1
65,MINDY1
66,GABPB2
67,SELENBP1
68,S100A9
69,S100A12
70,S100A8
71,S100A16
72,S100A1
73,ZBTB7B
74,TRIM46
75,MUC1
76,MEX3A
77,BGLAP
78,PAQR6
79,PEAR1
80,CD1D
81,MNDA
82,PYHIN1
83,AIM2
84,SLAMF6
85,LY9
86,FCGR2A
87,HSPA6
88,FCGR3A
89,FCGR3B
90,FCGR2B
91,GPA33
92,DUSP27
93,F5
94,METTL18
95,ZBTB37
96,RASAL2
97,AL353708.3
98,NPL
99,NCF2
100,RGS18
101,MYBPH
102,LAX1
103,PIK3C2B
104,SRGAP2
105,YOD1
106,CR1
107,LINC02767
108,G0S2
109,SLC30A1
110,PTPN14
111,MARC2
112,EPHX1
113,RHOU
114,AL445524.1
115,SIPA1L2
116,AL391832.2
117,NID1
118,AL356512.1
119,KIF26B
120,LINC01341
121,AL390728.6
122,TPO
123,PXDN
124,AC108488.1
125,ASAP2
126,KLF11
127,FAM49A
128,MFSD2B
129,KIF3C
130,ZNF513
131,RBKS
132,PLB1
133,LBH
134,SLC30A6
135,RASGRP3
136,QPCT
137,LINC00211
138,MTA3
139,EPCAM
140,AC015982.2
141,PUS10
142,AC012368.1
143,AC017083.2
144,APLF
145,DYSF
146,CCDC142
147,PCGF1
148,M1AP
149,RETSAT
150,PARTICL
151,GNLY
152,ST3GAL5
153,IGKC
154,IGKV2-24
155,ZNF514
156,STARD7-AS1
157,ZAP70
158,TSGA10
159,LIPT1
160,RFX8
161,AC013402.1
162,LINC01114
163,GCC2-AS1
164,IL1RN
165,PAX8
166,AC110769.2
167,STEAP3
168,MYO7B
169,HNMT
170,KYNU
171,TNFAIP6
172,CACNB4
173,ACVR1
174,AC009961.4
175,GALNT3
176,DHRS9
177,AC078883.1
178,AC079305.3
179,AC096667.1
180,INPP1
181,MARS2
182,PTH2R
183,CXCR2
184,GPBAR1
185,SLC11A1
186,CYP27A1
187,DNAJB2
188,RHBDD1
189,SP140
190,NMUR1
191,SNORC
192,HES6
193,AGXT
194,MAB21L4
195,AC104809.2
196,ANO7
197,LINC01237
198,CAMK1
199,GHRL
200,AC083855.2
201,FBLN2
202,AC132807.2
203,KAT2B
204,UBE2E2
205,OXSM
206,ZCWPW2
207,TRIM71
208,ARPP21
209,CX3CR1
210,ZNF852
211,CLEC3B
212,CCR2
213,LTF
214,ALS2CL
215,KIF9-AS1
216,SLC26A6
217,LAMB2
218,C3orf62
219,HYAL2
220,STAB1
221,CACNA2D3
222,HESX1
223,SUCLG2
224,ROBO1
225,CRYBG3
226,TRAT1
227,CD96
228,AC092691.1
229,ADPRH
230,SLC15A2
231,CD86
232,CSTA
233,WDR5B
234,ITGB5
235,GP9
236,RAB43
237,ACAD11
238,RAB6B
239,AC046134.2
240,CHST2
241,P2RY13
242,C3orf33
243,SHOX2
244,WDR49
245,GPR160
246,SKIL
247,PLD1
248,ETV5
249,BCL6
250,UVSSA
251,AC147067.1
252,S100P
253,HTRA3
254,SLC2A9
255,CPEB2
256,CCDC149
257,SEPSECS-AS1
258,ZCCHC4
259,TLR10
260,TLR1
261,FAM114A1
262,TMEM156
263,RBM47
264,NFXL1
265,AC111000.4
266,SULT1B1
267,ANXA3
268,AC098818.2
269,BMP3
270,AC124016.1
271,HPSE
272,WDFY3
273,GPRIN3
274,AF213884.3
275,GSTCD
276,NDST3
277,C4orf33
278,RAB33B
279,TBC1D9
280,AC104596.1
281,SLC10A7
282,TLR2
283,RNF175
284,RXFP1
285,MARCH1
286,AADAT
287,TERT
288,IRX1
289,SRD5A1
290,ATPSCKMT
291,OTULINL
292,AC025181.2
293,SLC1A3
294,CARD6
295,AC025171.3
296,PLPP1
297,TRAPPC13
298,CD180
299,GTF2H2C
300,GTF2H2
301,UTP15
302,ENC1
303,ZBED3-AS1
304,MTX3
305,ZFYVE16
306,XRCC4
307,VCAN
308,POLR3G
309,LUCAT1
310,LINC01023
311,ZNF608
312,GRAMD2B
313,MEGF10
314,FBN2
315,SLC22A4
316,PITX1
317,TIFAB
318,CD14
319,ARAP3
320,ADRB2
321,CSF1R
322,NDST1
323,SLC36A1
324,HAVCR2
325,MIR3142HG
326,NKX2-5
327,CPEB4
328,HRH2
329,HK3
330,COL23A1
331,ADAMTS2
332,SCGB3A1
333,FLT4
334,FOXC1
335,PPP1R3G
336,F13A1
337,LY86
338,AL031123.5
339,SYCP2L
340,ERVFRD-1
341,NEDD9
342,HIST1H4A
343,HIST1H4B
344,HIST1H2AB
345,HIST1H2BB
346,HIST1H2BD
347,HIST1H2BE
348,HIST1H2AD
349,HIST1H2BH
350,HIST1H4H
351,HIST1H2BL
352,HIST1H2AI
353,HIST1H2AK
354,HIST1H3J
355,HIST1H2AM
356,ZSCAN16
357,ZKSCAN4
358,ZKSCAN3
359,ZSCAN12
360,GABBR1
361,IER3
362,MICB
363,TNF
364,HLA-DQB2
365,B3GALT4
366,ZBTB9
367,AL354740.1
368,AL451165.2
369,FGD2
370,TMEM217
371,BTBD9
372,KCNK5
373,TREM1
374,MDFI
375,TFEB
376,USP49
377,KLC4
378,GTPBP2
379,VEGFA
380,CAPN11
381,AL021368.2
382,SDHAF4
383,UBE3D
384,ME1
385,NT5E
386,SRSF12
387,RTN4IP1
388,SOBP
389,AK9
390,LINC01268
391,ZUP1
392,TBC1D32
393,PKIB
394,ARG1
395,VNN1
396,VNN2
397,AL121933.2
398,AL035446.1
399,HYMAI
400,AL356599.1
401,FBXO30
402,IPCEF1
403,C6orf99
404,AL356417.3
405,IGF2R
406,CAHM
407,AL022069.3
408,AC093627.4
409,FAM20C
410,UNCX
411,MICALL2
412,LFNG
413,CCZ1
414,THSD7A
415,AGR2
416,TWIST1
417,SNHG26
418,IGF2BP3
419,KIAA0087
420,HOTAIRM1
421,HOXA6
422,HOXA11
423,HOXA11-AS
424,WIPF3
425,FKBP14
426,PLEKHA8
427,AC018647.2
428,TRGC2
429,TRGC1
430,TRGV9
431,TRG-AS1
432,INHBA
433,UPP1
434,LINC00174
435,RABGEF1
436,AC027644.3
437,TYW1B
438,CCDC146
439,FGL2
440,CD36
441,STEAP4
442,AC000065.2
443,ZNF789
444,FAM200A
445,ZSCAN21
446,PILRA
447,TFR2
448,SERPINE1
449,SH2B2
450,UPK3BL1
451,FBXL13
452,AC007032.1
453,CAV1
454,PRRT4
455,AC090114.2
456,FLNC
457,AC078846.1
458,AUXG01000058.1
459,AC083880.1
460,KLRG2
461,CLEC2L
462,KDM7A
463,MGAM
464,CLEC5A
465,TRBV20-1
466,TRBV28
467,TRBC1
468,TPK1
469,ZNF786
470,ZNF212
471,KRBA1
472,LRRC61
473,RARRES2
474,GIMAP4
475,GIMAP6
476,TMEM176B
477,TMEM176A
478,AC144652.1
479,LINC01006
480,MNX1
481,PTPRN2
482,DLGAP2
483,AC246817.2
484,AC246817.1
485,ANGPT2
486,PRAG1
487,DLC1
488,PSD3
489,CSGALNACT1
490,DOK2
491,EGR3
492,TNFRSF10C
493,TNFRSF10D
494,AC100861.1
495,AC026979.2
496,UBXN8
497,ADGRA2
498,STAR
499,ADAM9
500,AC103724.3
501,ST18
502,CHD7
503,CYP7B1
504,MTFR1
505,SLCO5A1
506,AC079089.1
507,LY96
508,AC009812.1
509,ZNF704
510,RUNX1T1
511,SDC2
512,POP1
513,NCALD
514,BAALC-AS2
515,LRP12
516,ZHX2
517,MTSS1
518,CCDC26
519,TMEM71
520,AC040970.1
521,PTP4A3
522,ADGRB1
523,ARC
524,MINCR
525,ZNF696
526,MROH6
527,PLEC
528,KIFC2
529,ZNF250
530,FOXD4
531,CBWD1
532,VLDLR
533,GLIS3
534,CDKN2A
535,MOB3B
536,AQP3
537,FAM214B
538,CD72
539,PAX5
540,SHB
541,AL512625.3
542,MAMDC2
543,SMC5-AS1
544,LINC01504
545,ZNF169
546,FBP1
547,TDRD7
548,TSTD2
549,CORO2A
550,ABCA1
551,LPAR1
552,PTGR1
553,UGCG
554,SNX30
555,ORM1
556,WHRN
557,TNFSF8
558,TLR4
559,LHX6
560,ZBTB26
561,ZBTB34
562,PHYHD1
563,ASS1
564,FIBCD1
565,NTNG2
566,SLC2A6
567,BRD3OS
568,FCN1
569,SNAPC4
570,LCN6
571,PTGDS
572,TOR4A
573,ADARB2-AS1
574,IL2RA
575,AL392086.3
576,PROSER2-AS1
577,AC069544.1
578,NMT2
579,FAM171A1
580,MINDY3
581,MRC1
582,MIR1915HG
583,OTUD1
584,THNSL1
585,CCDC7
586,NRP1
587,ZNF487
588,RASSF4
589,ALOX5
590,AGAP9
591,TMEM273
592,JMJD1C-AS1
593,TET1
594,KIF1BP
595,PRF1
596,FAM149B1
597,RNLS
598,ANKRD22
599,ACTA2
600,FAS
601,IFIT2
602,IFIT3
603,IFIT1
604,LINC00865
605,MYOF
606,ENTPD1
607,CCNJ
608,BLNK
609,UBTD1
610,PI4K2A
611,R3HCC1L
612,NKX2-3
613,SEC31B
614,PDZD7
615,SH3PXD2A
616,ITPRIP
617,DUSP5
618,TRUB1
619,SHTN1
620,GRK5
621,HMX3
622,HMX2
623,CHST15
624,LRRC27
625,UTF1
626,VENTX
627,PAOX
628,CYP2E1
629,SYCE1
630,LINC01001
631,CRACR2B
632,TNNI2
633,TNNT3
634,KCNQ1
635,SLC22A18
636,TRIM6
637,TRIM66
638,TMEM9B-AS1
639,AC132192.2
640,MICAL2
641,LINC00958
642,RRAS2
643,PDE3B
644,KIF18A
645,WT1
646,WT1-AS
647,DEPDC7
648,PRR5L
649,TP53I11
650,LRP4
651,PTPRJ
652,TNKS1BP1
653,MPEG1
654,MS4A3
655,MS4A6A
656,MS4A4A
657,MS4A4E
658,MS4A7
659,PTGDR2
660,SLC15A3
661,VWCE
662,MYRF
663,RAB3IL1
664,LGALS12
665,PLAAT3
666,AP005273.2
667,NRXN2
668,AP003068.2
669,AP5B1
670,CLCF1
671,PTPRCAP
672,PITPNM1
673,CCND1
674,RNF121
675,FOLR3
676,P2RY2
677,GVQW3
678,AP000873.2
679,PIWIL4
680,MMP8
681,ALKBH8
682,NCAM1
683,USP28
684,SIDT2
685,IL10RA
686,CD3E
687,CD3D
688,CD3G
689,C2CD2L
690,ARHGEF12
691,ZNF202
692,SLC37A2
693,FEZ1
694,C11orf45
695,PRDM10
696,RAD52
697,CACNA2D4
698,TIGAR
699,VWF
700,VAMP1
701,LPAR5
702,GPR162
703,C3AR1
704,CLEC4A
705,CLEC4D
706,CLEC4E
707,CLECL1
708,LINC02470
709,CLEC7A
710,PLBD1
711,EPS8
712,PYROXD1
713,AC092747.4
714,AC023157.3
715,FGD4
716,ALG10B
717,LRRK2
718,PDZRN4
719,PRICKLE1
720,AC010173.1
721,BCDIN3D
722,ACVRL1
723,ACVR1B
724,CSAD
725,ITGB7
726,AC023509.2
727,SMUG1
728,METTL7B
729,ITGA7
730,NAB2
731,LRP1
732,STAC3
733,HELB
734,LINC02384
735,CPM
736,AC020656.1
737,KCNMB4
738,THAP2
739,PHLDA1
740,CSRP2
741,TMTC2
742,AC024909.1
743,AC025164.1
744,CRADD
745,HAL
746,C12orf42
747,NT5DC3
748,CKAP4
749,POLR3B
750,MTERF2
751,RASAL1
752,AC125603.2
753,C12orf49
754,AC156455.1
755,HCAR2
756,PITPNM2
757,GLT1D1
758,LINC01257
759,MMP17
760,GPR12
761,PAN3-AS1
762,ALOX5AP
763,CCNA1
764,MTRF1
765,LPAR6
766,RCBTB2
767,BORA
768,KCTD12
769,POU4F1
770,GPR183
771,RAB20
772,AL139384.1
773,ATP11A
774,GRTP1-AS1
775,DCUN1D2
776,GAS6
777,AL355075.4
778,TEP1
779,RNASE6
780,RNASE1
781,RNASE3
782,TRAC
783,SLC7A7
784,MMP14
785,CEBPE
786,RIPK3
787,STXBP6
788,COCH
789,CLEC14A
790,L2HGDH
791,LGALS3
792,SGPP1
793,SYNE2
794,PLEKHG3
795,VASH1
796,ALKBH1
797,LINC02328
798,GPR65
799,FBLN5
800,SLC24A4
801,SERPINA1
802,CLMN
803,AL163051.1
804,BCL11B
805,AL132709.8
806,AL118558.3
807,MOK
808,AMN
809,CDC42BPB
810,ZBTB42
811,CRIP2
812,GOLGA8M
813,LINC02249
814,AC127502.2
815,MTMR10
816,GOLGA8O
817,GOLGA8N
818,BMF
819,ITPKA
820,LTK
821,CAPN3
822,TGM5
823,PATL2
824,LINC00926
825,AQP9
826,RORA-AS1
827,DAPK2
828,AC103691.1
829,CALML4
830,SPESP1
831,TMEM202-AS1
832,ADPGK-AS1
833,CD276
834,NRG4
835,DNAJA4
836,CTSH
837,TMC3-AS1
838,TM6SF1
839,PDE8A
840,DET1
841,ZNF710
842,SEMA4B
843,AC124248.1
844,WASIR2
845,RHBDF1
846,NHLRC4
847,MSLN
848,TPSB2
849,TPSAB1
850,TPSD1
851,PTX4
852,IFT140
853,TMEM204
854,AL031710.1
855,EME2
856,ZG16B
857,MMP25
858,AC108134.3
859,MEFV
860,ZSCAN32
861,ADCY9
