gene,module,group,pct,mean_expr
CD34,stem/quiescence,normal GMP (committed),9.7,0.124
CD34,stem/quiescence,normal HSC (primitive),100.0,2.067
CD34,stem/quiescence,strict-LSC candidates (n=26),100.0,1.66
HLF,stem/quiescence,normal GMP (committed),0.0,0.0
HLF,stem/quiescence,normal HSC (primitive),40.4,0.543
HLF,stem/quiescence,strict-LSC candidates (n=26),46.2,0.44
AVP,stem/quiescence,normal GMP (committed),0.0,0.0
AVP,stem/quiescence,normal HSC (primitive),89.8,1.724
AVP,stem/quiescence,strict-LSC candidates (n=26),61.5,0.564
HOXA9,stem/quiescence,normal GMP (committed),6.4,0.08
HOXA9,stem/quiescence,normal HSC (primitive),48.2,0.636
HOXA9,stem/quiescence,strict-LSC candidates (n=26),46.2,0.668
CD96,LSC-aberrant,normal GMP (committed),3.3,0.035
CD96,LSC-aberrant,normal HSC (primitive),0.6,0.005
CD96,LSC-aberrant,strict-LSC candidates (n=26),73.1,0.778
CLEC12A,LSC-aberrant,normal GMP (committed),31.3,0.425
CLEC12A,LSC-aberrant,normal HSC (primitive),1.2,0.015
CLEC12A,LSC-aberrant,strict-LSC candidates (n=26),50.0,0.511
HAVCR2,LSC-aberrant,normal GMP (committed),5.0,0.053
HAVCR2,LSC-aberrant,normal HSC (primitive),0.0,0.0
HAVCR2,LSC-aberrant,strict-LSC candidates (n=26),19.2,0.132
MPO,GMP/granule,normal GMP (committed),83.7,3.579
MPO,GMP/granule,normal HSC (primitive),9.0,0.148
MPO,GMP/granule,strict-LSC candidates (n=26),26.9,0.65
ELANE,GMP/granule,normal GMP (committed),65.8,2.243
ELANE,GMP/granule,normal HSC (primitive),4.2,0.048
ELANE,GMP/granule,strict-LSC candidates (n=26),11.5,0.239
AZU1,GMP/granule,normal GMP (committed),88.5,2.936
AZU1,GMP/granule,normal HSC (primitive),1.8,0.019
AZU1,GMP/granule,strict-LSC candidates (n=26),42.3,0.652
CTSG,GMP/granule,normal GMP (committed),50.5,1.224
CTSG,GMP/granule,normal HSC (primitive),11.4,0.145
CTSG,GMP/granule,strict-LSC candidates (n=26),61.5,0.679
LYZ,monocyte,normal GMP (committed),96.9,4.46
LYZ,monocyte,normal HSC (primitive),0.0,0.0
LYZ,monocyte,strict-LSC candidates (n=26),19.2,0.259
CD14,monocyte,normal GMP (committed),17.4,0.306
CD14,monocyte,normal HSC (primitive),0.0,0.0
CD14,monocyte,strict-LSC candidates (n=26),3.8,0.071
