cell,sample,compartment,CD96,PVR,NECTIN1
c0,0_HealthyBM1,Mature myeloid,0.0,0.0,0.0
c1,0_HealthyBM1,Myeloid_Pro,0.0,0.0,0.0
c2,0_HealthyBM1,NK,0.0,0.0,0.0
c3,0_HealthyBM1,Mature myeloid,0.0,0.0,0.0
c4,0_HealthyBM1,NK,0.0,0.0,0.0
c5,0_HealthyBM1,HSPC,0.0,0.0,0.0
c6,0_HealthyBM1,NK,0.0,0.0,0.0
c7,0_HealthyBM1,B-lineage,0.0,0.0,0.0
c8,0_HealthyBM1,Mature myeloid,0.0,0.0,0.0
c9,0_HealthyBM1,NK,0.0,0.0,0.0
c10,0_HealthyBM1,Mature myeloid,0.0,0.0,0.0
c11,0_HealthyBM1,Mature myeloid,0.0,0.0,0.0
c12,0_HealthyBM1,Mature myeloid,0.0,0.0,0.0
c13,0_HealthyBM1,NK,0.0,0.0,0.0
c14,0_HealthyBM1,Erythroid,0.0,0.0,1.07924
c15,0_HealthyBM1,NK,0.0,0.0,0.0
c16,0_HealthyBM1,AML (leukemic),0.0,0.0,0.0
c17,0_HealthyBM1,Mature myeloid,0.0,0.0,0.0
c18,0_HealthyBM1,NK,0.0,0.0,0.0
c19,0_HealthyBM1,Mature myeloid,0.0,0.0,0.0
c20,0_HealthyBM1,Myeloid_Pro,0.0,0.0,0.0
c21,0_HealthyBM1,T cells,0.0,0.0,0.0
c22,0_HealthyBM1,T cells,0.0,0.0,0.0
c23,0_HealthyBM1,NK,0.0,0.0,0.0
c24,0_HealthyBM1,Mature myeloid,0.0,0.0,0.0
c25,0_HealthyBM1,Mature myeloid,0.0,0.0,0.0
c26,0_HealthyBM1,NK,0.0,0.0,0.0
c27,0_HealthyBM1,Mature myeloid,0.0,0.0,0.0
c28,0_HealthyBM1,Mature myeloid,0.0,0.0,0.0
c29,0_HealthyBM1,Mature myeloid,0.0,0.0,0.0
c30,0_HealthyBM1,Mature myeloid,0.0,0.0,0.0
c31,0_HealthyBM1,Mature myeloid,0.0,0.0,0.0
c32,0_HealthyBM1,Mature myeloid,0.0,0.0,0.0
c33,0_HealthyBM1,NK,0.0,0.0,0.0
c34,0_HealthyBM1,AML (leukemic),0.0,0.0,0.0
c35,0_HealthyBM1,T cells,0.0,0.0,0.0
c36,0_HealthyBM1,T cells,0.0,0.0,0.0
c37,0_HealthyBM1,Mature myeloid,0.0,0.0,0.0
c38,0_HealthyBM1,Myeloid_Pro,0.0,0.0,0.0
c39,0_HealthyBM1,T cells,0.0,0.0,0.0
c40,0_HealthyBM1,Mature myeloid,0.0,0.0,0.0
