tissue,cell_type,n_cells,CD9_pos,SUCNR1_pos,AMN_pos,CD9_pct,SUCNR1_pct,AMN_pct,CD9_mean,SUCNR1_mean,AMN_mean
nervous system,sensory neuron of dorsal root ganglion,1837,404,0,14,21.992,0.0,0.762,0.26658,0.0,0.00505
peripheral nervous system,endothelial cell of vascular tree,51,8,0,0,15.686,0.0,0.0,0.23133,0.0,0.0
peripheral nervous system,pericyte,75,75,0,1,100.0,0.0,1.333,2.2584,0.0,0.003
peripheral nervous system,stromal cell,187,106,0,0,56.684,0.0,0.0,0.47276,0.0,0.0
peripheral nervous system,supporting cell of vestibular epithelium,261,196,0,1,75.096,0.0,0.383,1.88838,0.0,0.00495
peripheral nervous system,vestibular dark cell,37,28,0,1,75.676,0.0,2.703,1.24388,0.0,0.02219
scalp,basal cell of epidermis,298,261,0,23,87.584,0.0,7.718,2.00405,0.0,0.05066
scalp,granular cell of epidermis,23,23,0,1,100.0,0.0,4.348,2.48417,0.0,0.01184
scalp,hair follicular keratinocyte,2144,1921,0,141,89.599,0.0,6.576,1.94239,0.0,0.04126
scalp,keratinocyte,246,223,0,8,90.65,0.0,3.252,1.88636,0.0,0.02465
scalp,sebocyte,318,317,0,14,99.686,0.0,4.403,1.94646,0.0,0.02033
sensory system,endothelial cell of vascular tree,101,15,1,0,14.851,0.99,0.0,0.12861,0.00886,0.0
sensory system,hematopoietic cell,81,42,0,0,51.852,0.0,0.0,0.95661,0.0,0.0
sensory system,macrophage,265,165,100,2,62.264,37.736,0.755,0.56445,0.23885,0.00407
sensory system,melanocyte,123,99,0,1,80.488,0.0,0.813,0.73553,0.0,0.00254
sensory system,pericyte,776,771,2,2,99.356,0.258,0.258,2.36765,0.00109,0.00087
sensory system,stromal cell,933,452,0,4,48.446,0.0,0.429,0.43275,0.0,0.00272
sensory system,vascular associated smooth muscle cell,78,60,1,1,76.923,1.282,1.282,1.11502,0.00409,0.00648
tendon of semitendinosus,adipocyte,119,3,0,0,2.521,0.0,0.0,0.02898,0.0,0.0
tendon of semitendinosus,endothelial cell of lymphatic vessel,172,82,0,0,47.674,0.0,0.0,0.85829,0.0,0.0
tendon of semitendinosus,endothelial cell of vascular tree,762,194,0,1,25.459,0.0,0.131,0.43907,0.0,0.00183
tendon of semitendinosus,fast muscle cell,1774,66,0,1,3.72,0.0,0.056,0.04816,0.0,0.0007
tendon of semitendinosus,fibroblast,3468,860,0,2,24.798,0.0,0.058,0.43515,0.0,0.00084
tendon of semitendinosus,leukocyte,108,6,0,0,5.556,0.0,0.0,0.0947,0.0,0.0
tendon of semitendinosus,mural cell,529,107,0,0,20.227,0.0,0.0,0.33879,0.0,0.0
tendon of semitendinosus,neural cell,50,16,0,0,32.0,0.0,0.0,0.55699,0.0,0.0
tendon of semitendinosus,skeletal muscle fiber,1684,92,0,0,5.463,0.0,0.0,0.06554,0.0,0.0
tendon of semitendinosus,skeletal muscle satellite cell,567,93,0,0,16.402,0.0,0.0,0.28099,0.0,0.0
tendon of semitendinosus,slow muscle cell,1300,57,0,0,4.385,0.0,0.0,0.05385,0.0,0.0
head,cell,28,16,0,0,57.143,0.0,0.0,0.36023,0.0,0.0
head,erythrocyte,48,5,0,0,10.417,0.0,0.0,0.04845,0.0,0.0
head,fibroblast,5983,605,6,48,10.112,0.1,0.802,0.05283,0.00053,0.00326
head,macrophage,31,5,5,0,16.129,16.129,0.0,0.06727,0.06476,0.0
head,neural crest cell,282,142,1,2,50.355,0.355,0.709,0.22211,0.0008,0.00154
head,neuroblast (sensu Vertebrata),26,1,0,0,3.846,0.0,0.0,0.01493,0.0,0.0
head,neuron,29,5,0,0,17.241,0.0,0.0,0.1732,0.0,0.0
head,neuroplacodal cell,274,8,37,1,2.92,13.504,0.365,0.00907,0.10097,0.00072
head,radial glial cell,95,30,0,1,31.579,0.0,1.053,0.23593,0.0,0.0068
gallbladder,Kupffer cell,55,32,0,3,58.182,0.0,5.455,1.05845,0.0,0.05742
gallbladder,epithelial cell,9976,7154,5,5058,71.712,0.05,50.702,1.04844,0.00027,0.60456
esophagogastric junction,IgA plasma cell,54,26,0,3,48.148,0.0,5.556,0.55113,0.0,0.02893
esophagogastric junction,P/D1 enteroendocrine cell,106,25,0,9,23.585,0.0,8.491,0.32869,0.0,0.07882
esophagogastric junction,"activated CD8-positive, alpha-beta T cell",81,18,0,0,22.222,0.0,0.0,0.41793,0.0,0.0
esophagogastric junction,endothelial cell of artery,41,22,0,0,53.659,0.0,0.0,1.34823,0.0,0.0
esophagogastric junction,enteroendocrine cell,59,12,3,0,20.339,5.085,0.0,0.384,0.04746,0.0
esophagogastric junction,epithelial cell of esophagus,9055,8692,1,2832,95.991,0.011,31.276,2.68557,2e-05,0.16192
esophagogastric junction,fibroblast,56,41,0,1,73.214,0.0,1.786,1.50373,0.0,0.02238
esophagogastric junction,foveolar cell of stomach,2114,897,1,699,42.431,0.047,33.065,0.5882,0.00042,0.43788
esophagogastric junction,gamma-delta T cell,57,14,0,1,24.561,0.0,1.754,0.57853,0.0,0.0331
esophagogastric junction,glandular cell of esophagus,137,123,0,20,89.781,0.0,14.599,2.35775,0.0,0.13788
esophagogastric junction,macrophage,67,41,2,0,61.194,2.985,0.0,1.12236,0.04741,0.0
esophagogastric junction,mast cell,27,27,0,0,100.0,0.0,0.0,3.09508,0.0,0.0
esophagogastric junction,memory B cell,86,8,0,0,9.302,0.0,0.0,0.17106,0.0,0.0
esophagogastric junction,monocyte,36,9,0,0,25.0,0.0,0.0,0.40953,0.0,0.0
esophagogastric junction,mucous neck cell of gastric gland,239,161,0,55,67.364,0.0,23.013,0.9264,0.0,0.23066
esophagogastric junction,natural T-regulatory cell,34,6,0,0,17.647,0.0,0.0,0.36175,0.0,0.0
esophagogastric junction,peptic cell,61,41,0,4,67.213,0.0,6.557,0.68356,0.0,0.03977
esophagogastric junction,unknown,142,21,0,0,14.789,0.0,0.0,0.33239,0.0,0.0
esophagogastric junction,vein endothelial cell,232,181,0,2,78.017,0.0,0.862,1.67015,0.0,0.00857
testis,endothelial cell,53,5,0,1,9.434,0.0,1.887,0.11051,0.0,0.01607
testis,male germ cell,116,34,1,5,29.31,0.862,4.31,0.24717,0.00719,0.0298
testis,peritubular myoid cell,67,12,0,2,17.91,0.0,2.985,0.23327,0.0,0.03896
testis,spermatid,4009,117,20,57,2.918,0.499,1.422,0.01891,0.00344,0.00927
testis,spermatocyte,3070,189,192,252,6.156,6.254,8.208,0.03583,0.03071,0.04238
testis,spermatogonium,64,18,2,16,28.125,3.125,25.0,0.25885,0.04084,0.22881
testis,stromal cell,61,1,0,1,1.639,0.0,1.639,0.02887,0.0,0.01998
testis,tissue-resident macrophage,54,14,3,0,25.926,5.556,0.0,0.29193,0.05105,0.0
urinary bladder,B cell,70,18,0,1,25.714,0.0,1.429,0.3028,0.0,0.01528
urinary bladder,Schwann cell,64,55,0,0,85.938,0.0,0.0,1.66109,0.0,0.0
urinary bladder,T cell,736,158,0,13,21.467,0.0,1.766,0.25062,0.0,0.01914
urinary bladder,basal cell of urothelium,5179,5166,10,1115,99.749,0.193,21.529,2.17662,0.00083,0.08648
urinary bladder,dendritic cell,239,201,7,4,84.1,2.929,1.674,1.24617,0.01697,0.01001
urinary bladder,endothelial cell,2485,2249,1,16,90.503,0.04,0.644,1.59557,0.00049,0.00465
urinary bladder,endothelial cell of artery,446,410,0,5,91.928,0.0,1.121,1.66013,0.0,0.00498
urinary bladder,endothelial cell of lymphatic vessel,225,167,0,0,74.222,0.0,0.0,1.45845,0.0,0.0
urinary bladder,fibroblast,6834,3058,4,50,44.747,0.059,0.732,0.50337,0.00055,0.00543
urinary bladder,granulocyte,37,16,0,0,43.243,0.0,0.0,0.50627,0.0,0.0
urinary bladder,intermediate cell of urothelium,8108,7635,11,843,94.166,0.136,10.397,1.8362,0.00061,0.05444
urinary bladder,macrophage,405,136,24,1,33.58,5.926,0.247,0.37572,0.04695,0.00165
urinary bladder,mast cell,55,33,1,0,60.0,1.818,0.0,0.81525,0.01433,0.0
urinary bladder,mature NK T cell,79,7,0,0,8.861,0.0,0.0,0.10339,0.0,0.0
