tissue,n_cells,CD9_pct,SUCNR1_pct,AMN_pct,CD9_mean,SUCNR1_mean,AMN_mean
nervous system,1837,21.992,0.0,0.762,0.26658,0.0,0.00505
peripheral nervous system,658,67.629,0.608,0.608,1.30316,0.00414,0.00378
scalp,3029,90.624,0.0,6.174,1.94845,0.0,0.03841
sensory system,2397,67.668,4.38,0.459,1.12307,0.02776,0.00232
tendon of semitendinosus,10533,14.962,0.0,0.038,0.25037,0.0,0.00053
head,6801,12.013,0.72,0.765,0.06228,0.00486,0.00306
gallbladder,10031,71.638,0.05,50.454,1.0485,0.00027,0.60156
esophagogastric junction,12771,81.403,0.055,28.416,2.12518,0.00056,0.19472
testis,7513,5.204,2.902,4.446,0.03622,0.01521,0.0253
urinary bladder,29834,76.614,0.228,7.223,1.39308,0.00148,0.03349
lamina propria,23687,30.004,0.135,3.58,0.388,0.00123,0.02161
forelimb,38983,16.643,0.021,0.498,0.1703,0.00015,0.0039
ureter,41338,66.479,0.198,12.79,1.34784,0.00147,0.14582
immune system,49874,4.658,0.02,1.047,0.05646,0.00028,0.01126
spinal cord,43840,25.461,0.395,0.397,0.36772,0.00612,0.00339
tongue,37180,84.632,0.646,16.068,1.43514,0.00368,0.05941
yolk sac,56706,12.418,4.873,0.891,0.17025,0.04337,0.00686
skeletal system,23420,49.249,2.032,0.128,1.1355,0.03466,0.00153
hindlimb,86972,16.792,0.033,0.732,0.20598,0.00027,0.007
bladder organ,64214,69.855,0.67,7.347,1.20644,0.00475,0.02687
omentum,597,10.05,0.503,2.01,0.14361,0.00202,0.02052
digestive system,61246,43.404,0.372,17.68,0.77724,0.00336,0.18091
embryo,155448,16.948,0.624,1.375,0.17983,0.00534,0.00936
fallopian tube,203817,45.942,0.283,3.371,0.82142,0.0026,0.01896
vasculature,127607,80.625,5.087,0.375,1.41182,0.04044,0.0021
cortex,149766,3.222,0.11,0.142,0.02925,0.00113,0.001
prostate gland,84035,62.725,0.171,4.955,1.38175,0.00099,0.04422
nose,229794,79.298,0.039,12.171,1.91372,0.00061,0.11846
ovary,160692,15.54,0.111,0.354,0.22781,0.00094,0.00317
reproductive system,364425,26.562,0.624,1.704,0.34762,0.00609,0.01768
mucosa,89383,47.384,0.179,1.771,1.10375,0.00235,0.02748
intestine,200624,55.73,0.793,38.124,0.86052,0.00727,0.47468
esophagus,156094,70.876,0.043,13.717,1.68286,0.00062,0.10727
adrenal gland,6642,7.377,0.045,0.407,0.166,0.00083,0.0064
exocrine gland,191010,55.391,0.362,2.619,1.0471,0.0036,0.01832
placenta,477100,27.773,2.461,1.555,0.36635,0.01748,0.00768
pancreas,346365,22.238,0.404,3.374,0.25137,0.00356,0.02828
uterus,291328,72.275,0.111,7.605,1.2566,0.00073,0.06278
musculature,520985,18.625,0.214,0.252,0.30475,0.00266,0.00335
adipose tissue,426945,15.555,1.651,1.292,0.20578,0.0185,0.0135
large intestine,169923,53.949,0.135,33.319,1.05585,0.00149,0.47659
respiratory system,505639,63.143,0.516,9.338,1.47637,0.00534,0.07071
skin of body,649342,53.322,0.312,2.913,1.08451,0.00343,0.02863
spleen,545844,5.519,1.854,2.086,0.06619,0.01826,0.02041
stomach,249225,22.885,0.324,8.343,0.34693,0.00316,0.10538
central nervous system,742873,25.721,0.126,0.245,0.35496,0.00149,0.00242
bone marrow,670447,11.194,2.352,1.902,0.15927,0.02173,0.02273
endocrine gland,673927,15.566,0.295,2.172,0.23156,0.00253,0.01927
colon,589951,42.918,0.217,24.718,0.83717,0.00231,0.35479
liver,758047,13.178,4.846,8.02,0.19077,0.04328,0.0828
lymph node,916483,3.387,0.174,2.44,0.04966,0.00148,0.02704
kidney,456681,30.707,6.564,16.457,0.52916,0.07667,0.24005
small intestine,1162685,33.295,0.273,24.05,0.53387,0.00224,0.37304
heart,1849042,22.121,1.01,0.199,0.44507,0.01563,0.00245
breast,2332244,53.761,0.421,2.315,0.91621,0.00514,0.0175
lung,2847301,43.716,4.037,4.23,0.82805,0.03025,0.03804
eye,7752294,19.904,0.047,0.984,0.35321,0.00051,0.00804
blood,12990294,3.331,0.165,1.027,0.04538,0.00168,0.01171
brain,15137411,12.972,0.199,1.064,0.17337,0.00242,0.0057
