cell_type,n_cells,CD9_pct,SUCNR1_pct,AMN_pct,CD9_mean,SUCNR1_mean,AMN_mean
neuron,3462898,3.086,0.061,1.561,0.03343,0.00041,0.00526
oligodendrocyte,2471689,45.374,0.017,1.179,0.66402,0.00019,0.01213
"naive thymus-derived CD4-positive, alpha-beta T cell",2398441,1.241,0.007,1.558,0.01573,8e-05,0.01795
fibroblast,2041699,26.354,0.328,0.64,0.38846,0.00377,0.00639
L2/3-6 intratelencephalic projecting glutamatergic neuron,1491898,1.95,0.12,1.193,0.0069,0.00041,0.00331
unknown,1429885,19.135,3.244,1.784,0.32257,0.02877,0.01864
"central memory CD4-positive, alpha-beta T cell",1335353,0.488,0.007,0.819,0.00559,7e-05,0.00914
retinal rod cell,1306527,1.895,0.001,0.11,0.02583,2e-05,0.00135
"CD14-positive, CD16-negative classical monocyte",1210529,9.61,0.238,0.105,0.11204,0.00206,0.00094
astrocyte,986434,25.022,0.019,0.677,0.34465,0.0002,0.00549
"CD16-positive, CD56-dim natural killer cell, human",909011,0.428,0.009,0.338,0.00554,0.00013,0.00436
radial glial cell,881318,13.763,0.061,0.187,0.19033,0.00044,0.0016
macrophage,778861,28.232,9.694,0.478,0.43506,0.08178,0.00418
"effector memory CD4-positive, alpha-beta T cell",741759,0.895,0.008,0.651,0.01083,9e-05,0.00698
"naive thymus-derived CD8-positive, alpha-beta T cell",734620,5.207,0.007,3.427,0.05811,7e-05,0.03638
naive B cell,712345,5.239,0.011,1.778,0.07517,0.00015,0.02352
"effector memory CD8-positive, alpha-beta T cell",675361,0.881,0.006,0.478,0.01152,7e-05,0.00576
natural killer cell,658667,1.744,0.066,0.395,0.02541,0.00081,0.00549
"CD4-positive, alpha-beta T cell",621814,2.808,0.03,0.882,0.03881,0.00035,0.01081
neural cell,566436,3.591,0.015,0.442,0.06074,0.00017,0.0039
glutamatergic neuron,560951,2.9,0.049,0.729,0.02562,0.00041,0.00363
memory B cell,528453,1.802,0.015,4.64,0.02116,0.00016,0.05092
epithelial cell,520629,80.528,0.254,16.118,1.67504,0.00243,0.15139
B cell,488284,4.058,0.07,2.673,0.05851,0.00082,0.03214
oligodendrocyte precursor cell,484286,24.038,0.021,0.569,0.26825,0.00021,0.00496
"CD8-positive, alpha-beta T cell",481462,5.031,0.053,0.899,0.07266,0.00048,0.01085
neuroblast (sensu Vertebrata),444330,8.786,0.057,0.183,0.11349,0.00041,0.00146
endothelial cell,399058,41.058,0.463,0.622,0.78808,0.00571,0.00702
classical monocyte,381125,7.828,0.292,0.131,0.10322,0.00295,0.00149
pericyte,372387,37.908,0.653,0.407,0.71242,0.00985,0.00472
CD14-positive monocyte,367965,7.543,0.18,0.169,0.08382,0.00156,0.00161
T cell,366140,5.95,0.138,0.749,0.09496,0.00172,0.0096
GABAergic amacrine cell,351809,1.158,0.016,0.379,0.01058,0.00013,0.00305
luminal adaptive secretory precursor cell of mammary gland,321201,81.723,0.079,9.504,1.2873,0.00078,0.06431
microglial cell,306498,6.415,3.84,0.354,0.09607,0.05437,0.00449
mesenchymal cell,302163,11.476,0.186,1.094,0.13261,0.00173,0.0118
mucosal invariant T cell,301660,0.763,0.007,0.517,0.00956,8e-05,0.00598
Mueller cell,293258,49.891,0.002,0.106,0.87184,3e-05,0.00119
VIP GABAergic cortical interneuron,291810,2.434,0.023,1.256,0.01439,0.00013,0.00607
pulmonary alveolar type 2 cell,290230,70.498,0.183,10.381,1.33288,0.00153,0.08537
stromal cell,288471,13.164,0.177,0.669,0.16535,0.00138,0.00679
pvalb GABAergic cortical interneuron,282535,2.253,0.028,1.462,0.01015,0.00011,0.0053
sst GABAergic cortical interneuron,280938,2.303,0.016,0.888,0.01496,9e-05,0.00425
stem cell,277856,77.078,0.136,48.131,1.44747,0.00093,0.54192
alveolar macrophage,271684,86.214,16.073,0.3,1.78858,0.10337,0.002
fibroblast of mammary gland,270739,22.036,0.414,0.659,0.3143,0.00514,0.00605
pigmented ciliary epithelial cell,270381,12.163,0.01,0.288,0.16474,0.00014,0.00329
melanocyte,269488,12.529,0.019,0.863,0.18669,0.00025,0.00882
regular ventricular cardiac myocyte,265132,2.945,0.019,0.101,0.04119,0.00025,0.00096
"CD14-low, CD16-positive monocyte",263365,2.987,2.909,0.114,0.02833,0.02394,0.00091
L2/3 intratelencephalic projecting glutamatergic neuron,258042,4.687,0.253,4.792,0.01935,0.00083,0.01516
hematopoietic precursor cell,249685,4.567,0.869,0.719,0.06586,0.00982,0.0089
"CD8-positive, alpha-beta memory T cell",247758,14.075,0.015,1.451,0.1946,0.0002,0.01901
ciliary muscle cell,239140,21.747,0.014,0.214,0.27847,0.00016,0.00221
basal cell,235132,74.283,0.051,6.203,1.45191,0.00033,0.04073
retinal pigment epithelial cell,235001,8.436,0.014,0.212,0.09544,0.00016,0.00211
blood vessel endothelial cell,234765,53.313,0.045,0.273,0.99916,0.00048,0.00297
hematopoietic multipotent progenitor cell,232922,11.007,0.572,1.111,0.14726,0.00633,0.01267
capillary endothelial cell,227706,45.207,0.059,0.314,0.91731,0.0007,0.00278
keratocyte,223737,51.588,0.019,2.221,0.77004,0.00018,0.01717
"double-positive, alpha-beta thymocyte",209688,9.727,0.007,0.643,0.14108,6e-05,0.00609
luminal hormone-sensing cell of mammary gland,207411,84.1,0.003,1.315,1.60166,2e-05,0.0101
enterocyte,206716,56.667,0.525,70.772,0.99106,0.00337,1.37557
monocyte,201548,11.972,1.213,0.442,0.1697,0.0117,0.00467
