gene,label,group,subtype,pct,mean,n_cells,n_donors
CD96,CD96,lead,CEBPA,89.13,1.2837,46,1
CD9,CD9,lead,CEBPA,36.96,0.3704,46,1
SUCNR1,SUCNR1,lead,CEBPA,4.35,0.0168,46,1
IL1RAP,IL1RAP,lead,CEBPA,26.09,0.2691,46,1
FLT3,FLT3,control,CEBPA,65.22,0.8136,46,1
CD33,CD33,clinical,CEBPA,67.39,0.8061,46,1
IL3RA,CD123,clinical,CEBPA,39.13,0.3059,46,1
CLEC12A,CLL-1,clinical,CEBPA,23.91,0.2265,46,1
CD7,CD7,clinical,CEBPA,97.83,0.5539,46,1
TNFRSF4,TNFRSF4,ppac,CEBPA,0.0,0.0,46,1
ABCA7,ABCA7,ppac,CEBPA,8.7,0.0174,46,1
ITGAX,ITGAX,ppac,CEBPA,95.65,0.7216,46,1
CD96,CD96,lead,Complex karyotype,47.82,0.6316,4272,3
CD9,CD9,lead,Complex karyotype,48.95,0.6755,4272,3
SUCNR1,SUCNR1,lead,Complex karyotype,21.32,0.195,4272,3
IL1RAP,IL1RAP,lead,Complex karyotype,30.55,0.2528,4272,3
FLT3,FLT3,control,Complex karyotype,83.66,1.0529,4272,3
CD33,CD33,clinical,Complex karyotype,39.68,0.3958,4272,3
IL3RA,CD123,clinical,Complex karyotype,57.4,0.6071,4272,3
CLEC12A,CLL-1,clinical,Complex karyotype,18.14,0.1443,4272,3
CD7,CD7,clinical,Complex karyotype,26.45,0.2435,4272,3
TNFRSF4,TNFRSF4,ppac,Complex karyotype,30.92,0.3058,4272,3
ABCA7,ABCA7,ppac,Complex karyotype,12.17,0.0895,4272,3
ITGAX,ITGAX,ppac,Complex karyotype,10.7,0.0798,4272,3
CD96,CD96,lead,FLT3-ITD,52.11,0.5402,10528,5
CD9,CD9,lead,FLT3-ITD,48.47,0.5395,10528,5
SUCNR1,SUCNR1,lead,FLT3-ITD,24.33,0.2289,10528,5
IL1RAP,IL1RAP,lead,FLT3-ITD,42.57,0.4165,10528,5
FLT3,FLT3,control,FLT3-ITD,74.3,0.9866,10528,5
CD33,CD33,clinical,FLT3-ITD,52.08,0.5323,10528,5
IL3RA,CD123,clinical,FLT3-ITD,49.09,0.5148,10528,5
CLEC12A,CLL-1,clinical,FLT3-ITD,58.18,0.6386,10528,5
CD7,CD7,clinical,FLT3-ITD,15.4,0.1482,10528,5
TNFRSF4,TNFRSF4,ppac,FLT3-ITD,12.83,0.1318,10528,5
ABCA7,ABCA7,ppac,FLT3-ITD,9.12,0.0771,10528,5
ITGAX,ITGAX,ppac,FLT3-ITD,10.97,0.0945,10528,5
CD96,CD96,lead,KMT2Ar,1.0,0.0063,301,2
