"sample","targetable","source","target","interaction","prob","pval"
"0_HealthyBM1",FALSE,"AML (leukemic)","AML (leukemic)","CD96_NECTIN1",3.71754379755068e-06,1
"0_HealthyBM1",FALSE,"AML (leukemic)","B-lineage","CD96_NECTIN1",2.64856964588974e-06,1
"0_HealthyBM1",FALSE,"AML (leukemic)","Erythroid","CD96_NECTIN1",2.93825681209863e-05,0.01
"0_HealthyBM1",FALSE,"AML (leukemic)","HSPC","CD96_NECTIN1",1.63712914034569e-06,1
"0_HealthyBM1",FALSE,"AML (leukemic)","Mature myeloid","CD96_NECTIN1",2.54394732855655e-05,1
"0_HealthyBM1",FALSE,"AML (leukemic)","Myeloid_Pro","CD96_NECTIN1",2.86415031383744e-06,1
"0_HealthyBM1",FALSE,"AML (leukemic)","NK","CD96_NECTIN1",2.65892901461871e-06,1
"0_HealthyBM1",FALSE,"AML (leukemic)","T cells","CD96_NECTIN1",2.34965508461509e-06,1
"0_HealthyBM1",FALSE,"B-lineage","AML (leukemic)","CD96_NECTIN1",4.48166296093927e-06,1
"0_HealthyBM1",FALSE,"B-lineage","B-lineage","CD96_NECTIN1",3.19290341727431e-06,0.98
"0_HealthyBM1",FALSE,"B-lineage","Erythroid","CD96_NECTIN1",3.53019680943395e-05,0
"0_HealthyBM1",FALSE,"B-lineage","HSPC","CD96_NECTIN1",1.97370776639929e-06,0.98
"0_HealthyBM1",FALSE,"B-lineage","Mature myeloid","CD96_NECTIN1",3.06606409306571e-05,0.99
"0_HealthyBM1",FALSE,"B-lineage","Myeloid_Pro","CD96_NECTIN1",3.45214927340246e-06,0.88
"0_HealthyBM1",FALSE,"B-lineage","NK","CD96_NECTIN1",3.20626918163845e-06,1
"0_HealthyBM1",FALSE,"B-lineage","T cells","CD96_NECTIN1",2.83346469026364e-06,1
"0_HealthyBM1",FALSE,"Erythroid","AML (leukemic)","CD96_NECTIN1",8.11528241336478e-07,1
"0_HealthyBM1",FALSE,"Erythroid","B-lineage","CD96_NECTIN1",5.78185666954021e-07,1
"0_HealthyBM1",FALSE,"Erythroid","Erythroid","CD96_NECTIN1",6.43515898299209e-06,0.96
"0_HealthyBM1",FALSE,"Erythroid","HSPC","CD96_NECTIN1",3.57366894323872e-07,1
"0_HealthyBM1",FALSE,"Erythroid","Mature myeloid","CD96_NECTIN1",5.5547106504507e-06,1
"0_HealthyBM1",FALSE,"Erythroid","Myeloid_Pro","CD96_NECTIN1",6.25358808142226e-07,1
"0_HealthyBM1",FALSE,"Erythroid","NK","CD96_NECTIN1",5.80294441401995e-07,1
"0_HealthyBM1",FALSE,"Erythroid","T cells","CD96_NECTIN1",5.12774154646186e-07,1
"0_HealthyBM1",FALSE,"HSPC","AML (leukemic)","CD96_NECTIN1",5.65618694341923e-07,1
"0_HealthyBM1",FALSE,"HSPC","B-lineage","CD96_NECTIN1",4.02983058602025e-07,1
