gene,group,pct,mean_expr,label,n_pt,mpal
CD96,CN,34.64,0.4536,CD96,5,0
CD9,CN,20.27,0.2497,CD9,5,0
SUCNR1,CN,22.66,0.2772,SUCNR1,5,0
AMN,CN,24.99,0.2794,AMN,5,0
IL1RAP,CN,23.02,0.2624,IL1RAP,5,0
LMBR1L,CN,20.27,0.2183,LMBR1L,5,0
NRXN2,CN,27.16,0.3218,NRXN2,5,0
FURIN,CN,21.77,0.2317,FURIN,5,0
UMODL1,CN,14.35,0.1612,UMODL1,5,0
CD7,CN,9.26,0.1103,CD7,5,0
CD33,CN,54.08,0.7362,CD33,5,0
CD123,CN,39.81,0.5002,CD123,5,0
CLL-1,CN,42.52,0.5501,CLL-1,5,0
CD38,CN,39.52,0.5771,CD38,5,0
CD70,CN,1.04,0.0115,CD70,5,0
FLT3,CN,68.63,1.1483,FLT3,5,0
TNFRSF4,CN,16.5,0.262,TNFRSF4,5,0
ABCA7,CN,13.11,0.1425,ABCA7,5,0
ITGAX,CN,13.74,0.1619,ITGAX,5,0
CD96,del7q,1.01,0.0112,CD96,1,0
CD9,del7q,47.78,0.8376,CD9,1,0
SUCNR1,del7q,4.13,0.0536,SUCNR1,1,0
AMN,del7q,24.42,0.3218,AMN,1,0
IL1RAP,del7q,15.25,0.1897,IL1RAP,1,0
LMBR1L,del7q,14.04,0.173,LMBR1L,1,0
NRXN2,del7q,23.04,0.2921,NRXN2,1,0
FURIN,del7q,13.51,0.1741,FURIN,1,0
UMODL1,del7q,15.47,0.2032,UMODL1,1,0
CD7,del7q,45.55,0.8688,CD7,1,0
CD33,del7q,27.17,0.3909,CD33,1,0
CD123,del7q,33.79,0.4682,CD123,1,0
CLL-1,del7q,15.89,0.213,CLL-1,1,0
CD38,del7q,49.95,0.818,CD38,1,0
CD70,del7q,12.34,0.1782,CD70,1,0
FLT3,del7q,47.09,0.7502,FLT3,1,0
TNFRSF4,del7q,5.51,0.0834,TNFRSF4,1,0
ABCA7,del7q,17.85,0.2413,ABCA7,1,0
ITGAX,del7q,12.08,0.1891,ITGAX,1,0
CD96,t(7;14)(q21;q32),39.8,0.6501,CD96,1,1
CD9,t(7;14)(q21;q32),44.95,0.7316,CD9,1,1
SUCNR1,t(7;14)(q21;q32),41.1,0.7208,SUCNR1,1,1
