gene,group,pct,label,mean_expr
CD96,0_HSPC,2.412,CD96,0.02998
CD33,0_HSPC,16.698,CD33,0.23782
IL3RA,0_HSPC,12.616,CD123,0.18585
CLEC12A,0_HSPC,9.462,CLL-1,0.12967
FLT3,0_HSPC,53.061,FLT3,0.8729
MSLN,0_HSPC,0.0,MSLN,0.0
CD70,0_HSPC,0.0,CD70,0.0
ADGRG1,0_HSPC,40.26,GPR56,0.63682
IL1RAP,0_HSPC,5.751,IL1RAP,0.07597
CD96,Myeloid_Pro,3.016,CD96,0.04043
CD33,Myeloid_Pro,28.709,CD33,0.46612
IL3RA,Myeloid_Pro,7.358,CD123,0.11293
CLEC12A,Myeloid_Pro,29.674,CLL-1,0.49231
FLT3,Myeloid_Pro,24.125,FLT3,0.38028
MSLN,Myeloid_Pro,17.129,MSLN,0.31186
CD70,Myeloid_Pro,0.603,CD70,0.01085
ADGRG1,Myeloid_Pro,0.603,GPR56,0.00774
IL1RAP,Myeloid_Pro,9.65,IL1RAP,0.1455
CD96,FPAC_1,32.772,CD96,0.53927
CD33,FPAC_1,34.384,CD33,0.56716
IL3RA,FPAC_1,18.431,CD123,0.27649
CLEC12A,FPAC_1,29.668,CLL-1,0.46498
FLT3,FPAC_1,51.612,FLT3,0.87698
MSLN,FPAC_1,8.157,MSLN,0.19291
CD70,FPAC_1,3.705,CD70,0.07244
ADGRG1,FPAC_1,13.523,GPR56,0.19027
IL1RAP,FPAC_1,12.753,IL1RAP,0.184
CD96,FPAC_2,84.967,CD96,1.21943
CD33,FPAC_2,58.797,CD33,0.70998
IL3RA,FPAC_2,26.503,CD123,0.28947
CLEC12A,FPAC_2,81.626,CLL-1,1.12049
FLT3,FPAC_2,85.857,FLT3,1.22745
MSLN,FPAC_2,1.114,MSLN,0.01491
CD70,FPAC_2,1.002,CD70,0.01273
ADGRG1,FPAC_2,4.232,GPR56,0.05016
IL1RAP,FPAC_2,17.706,IL1RAP,0.18701
CD96,PPAC_1,33.006,CD96,0.47791
CD33,PPAC_1,51.197,CD33,0.78455
IL3RA,PPAC_1,52.445,CD123,0.8003
CLEC12A,PPAC_1,35.543,CLL-1,0.51805
FLT3,PPAC_1,79.722,FLT3,1.37547
MSLN,PPAC_1,3.131,MSLN,0.05834
CD70,PPAC_1,0.88,CD70,0.0144
ADGRG1,PPAC_1,34.745,GPR56,0.50535
IL1RAP,PPAC_1,25.987,IL1RAP,0.34808
CD96,PPAC_2,59.97,CD96,0.96072
CD33,PPAC_2,29.955,CD33,0.45049
IL3RA,PPAC_2,42.861,CD123,0.6197
CLEC12A,PPAC_2,46.379,CLL-1,0.68398
FLT3,PPAC_2,76.542,FLT3,1.29787
MSLN,PPAC_2,1.729,MSLN,0.0338
CD70,PPAC_2,5.186,CD70,0.08441
ADGRG1,PPAC_2,28.048,GPR56,0.38768
IL1RAP,PPAC_2,23.428,IL1RAP,0.30978
CD96,PPAC_3,8.516,CD96,0.13067
CD33,PPAC_3,30.925,CD33,0.51816
IL3RA,PPAC_3,24.344,CD123,0.39245
CLEC12A,PPAC_3,26.581,CLL-1,0.44024
FLT3,PPAC_3,40.688,FLT3,0.73335
MSLN,PPAC_3,51.484,MSLN,1.18017
CD70,PPAC_3,15.226,CD70,0.28558
ADGRG1,PPAC_3,3.097,GPR56,0.04112
IL1RAP,PPAC_3,15.14,IL1RAP,0.24559
CD96,PPAC_4,34.973,CD96,0.49395
CD33,PPAC_4,34.973,CD33,0.4676
IL3RA,PPAC_4,22.332,CD123,0.29443
CLEC12A,PPAC_4,38.072,CLL-1,0.53446
FLT3,PPAC_4,46.729,FLT3,0.68311
MSLN,PPAC_4,12.543,MSLN,0.21944
CD70,PPAC_4,3.64,CD70,0.0629
ADGRG1,PPAC_4,10.034,GPR56,0.11573
IL1RAP,PPAC_4,17.019,IL1RAP,0.19153
CD96,PPAC_5,0.524,CD96,0.01077
CD33,PPAC_5,54.101,CD33,0.87652
IL3RA,PPAC_5,55.236,CD123,0.91317
CLEC12A,PPAC_5,29.93,CLL-1,0.4648
FLT3,PPAC_5,65.707,FLT3,1.1389
MSLN,PPAC_5,65.969,MSLN,1.25874
CD70,PPAC_5,0.0,CD70,0.0
ADGRG1,PPAC_5,24.346,GPR56,0.37145
IL1RAP,PPAC_5,20.506,IL1RAP,0.31415
