gene,label,group,organ,pct,mean,n
CD96,CD96,lead,adipose tissue,9.967009057982711,0.15205478410624246,309782
CD9,CD9,lead,adipose tissue,17.797031460833747,0.23824767927122945,309782
SUCNR1,SUCNR1,lead,adipose tissue,1.1889005816993885,0.015386627305653653,309782
IL1RAP,IL1RAP,lead,adipose tissue,10.262055251757687,0.12773017299262063,309782
FLT3,FLT3,control,adipose tissue,0.763762904235882,0.00854717210812765,309782
CD33,CD33,clinical,adipose tissue,0.6659521857306105,0.007219706051352241,309782
IL3RA,CD123,clinical,adipose tissue,6.614005978397712,0.08845663108250318,309782
CLEC12A,CLL-1,clinical,adipose tissue,1.082051248942805,0.013035562234087198,309782
CD7,CD7,ppac,adipose tissue,0.634962651154683,0.006094968687657772,309782
TNFRSF4,TNFRSF4,ppac,adipose tissue,0.9203246153746828,0.009272794190753497,309782
ABCA7,ABCA7,ppac,adipose tissue,3.0631218082393423,0.029910426073819656,309782
ITGAX,ITGAX,ppac,adipose tissue,1.2227953851418094,0.013778129297376865,309782
CD96,CD96,lead,bladder organ,47.19891238104168,0.47374183934180303,42662
CD9,CD9,lead,bladder organ,87.91664713328021,1.619637537152501,42662
SUCNR1,SUCNR1,lead,bladder organ,0.16408044629881394,0.001279774975387933,42662
IL1RAP,IL1RAP,lead,bladder organ,23.34161548919413,0.11309897777881955,42662
FLT3,FLT3,control,bladder organ,1.0313628053068304,0.003529502367446439,42662
CD33,CD33,clinical,bladder organ,0.569593549294454,0.002045694763489757,42662
IL3RA,CD123,clinical,bladder organ,0.0,0.0,42662
CLEC12A,CLL-1,clinical,bladder organ,1.1532511368430922,0.005689475176972481,42662
CD7,CD7,ppac,bladder organ,2.203365993155501,0.01031448760020627,42662
TNFRSF4,TNFRSF4,ppac,bladder organ,0.7711780976044255,0.003565768365289954,42662
ABCA7,ABCA7,ppac,bladder organ,13.74759739346491,0.050104598940509115,42662
ITGAX,ITGAX,ppac,bladder organ,2.203365993155501,0.013075879705592798,42662
CD96,CD96,lead,blood,5.385189427465681,0.06927405477169782,57621
CD9,CD9,lead,blood,3.509137293695007,0.04720913798788636,57621
SUCNR1,SUCNR1,lead,blood,0.14925114107703788,0.0016669049478488743,57621
IL1RAP,IL1RAP,lead,blood,2.6153659256173962,0.02408023168636435,57621
FLT3,FLT3,control,blood,2.5737144443865954,0.03106565783308169,57621
CD33,CD33,clinical,blood,3.342531368771802,0.03519965290432308,57621
IL3RA,CD123,clinical,blood,2.8687457697714374,0.02881913469047743,57621
CLEC12A,CLL-1,clinical,blood,5.017268009926936,0.06908234896999359,57621
CD7,CD7,ppac,blood,6.931500668159178,0.12308884833654396,57621
TNFRSF4,TNFRSF4,ppac,blood,1.0603772930008157,0.014318012183058261,57621
ABCA7,ABCA7,ppac,blood,9.244893354853266,0.08929300446017943,57621
ITGAX,ITGAX,ppac,blood,15.791117821627532,0.19335751097690076,57621
CD96,CD96,lead,bone marrow,17.40054714318075,0.2273516673927059,57389
CD9,CD9,lead,bone marrow,13.648957117217586,0.15391230305459236,57389
