partner,label,group,within,between,tox,highly_toxic,base
FLT3,+FLT3,control,66.55,92.86,36.49,False,False
CD33,+CD33,clinical,59.65,85.71,26.6,False,False
CLEC12A,+CLL-1,clinical,59.65,75.0,24.42,False,False
IL3RA,+CD123,clinical,54.83,82.14,11.65,True,False
CD9,+CD9,lead,54.62,75.0,9.54,True,False
IL1RAP,+IL1RAP,lead,49.95,67.86,10.88,True,False
SUCNR1,+SUCNR1,lead,47.98,67.86,8.7,False,False
ITGAX,+ITGAX,ppac,46.17,82.14,7.3,False,False
CD7,+CD7,ppac,45.73,64.29,7.65,False,False
ABCA7,+ABCA7,ppac,44.72,75.0,11.23,True,False
TNFRSF4,+TNFRSF4,ppac,43.49,60.71,3.23,False,False
CD96 alone,CD96 alone,lead,39.81,60.71,2.95,False,True
