"source","target","interaction","ligand","receptor","mean_prob","n_assessable","n_sig","frac_sig"
"AML (leukemic)","AML (leukemic)","CD96_NECTIN1","CD96","NECTIN1",0.00604347068330328,19,7,0.368421052631579
"AML (leukemic)","AML (leukemic)","CD96_PVR","CD96","PVR",0.00471879830784052,19,12,0.631578947368421
"AML (leukemic)","Erythroid","CD96_NECTIN1","CD96","NECTIN1",0.000450724602462821,11,4,0.363636363636364
"T cells","Erythroid","CD96_NECTIN1","CD96","NECTIN1",0.0002981699753441,11,6,0.545454545454545
"T cells","AML (leukemic)","CD96_PVR","CD96","PVR",0.000269427271794949,19,9,0.473684210526316
"T cells","AML (leukemic)","CD96_NECTIN1","CD96","NECTIN1",0.00022269593547665,19,9,0.473684210526316
"AML (leukemic)","Erythroid","CD96_PVR","CD96","PVR",0.000170553265743358,11,4,0.363636363636364
"AML (leukemic)","Mature myeloid","CD96_PVR","CD96","PVR",0.000169824265293155,17,4,0.235294117647059
"AML (leukemic)","Mature myeloid","CD96_NECTIN1","CD96","NECTIN1",0.000126129596821303,17,1,0.0588235294117647
"T cells","Erythroid","CD96_PVR","CD96","PVR",9.43261941390989e-05,11,4,0.363636363636364
"Erythroid","Erythroid","CD96_NECTIN1","CD96","NECTIN1",8.41322144973607e-05,11,0,0
"AML (leukemic)","Myeloid_Pro","CD96_NECTIN1","CD96","NECTIN1",8.04405278008772e-05,9,4,0.444444444444444
"AML (leukemic)","HSPC","CD96_PVR","CD96","PVR",7.6830913048727e-05,2,2,1
"T cells","HSPC","CD96_PVR","CD96","PVR",6.62391484649215e-05,2,2,1
"T cells","Mature myeloid","CD96_PVR","CD96","PVR",6.56853995892974e-05,17,5,0.294117647058824
"AML (leukemic)","T cells","CD96_PVR","CD96","PVR",5.48814993147171e-05,19,1,0.0526315789473684
"Erythroid","AML (leukemic)","CD96_NECTIN1","CD96","NECTIN1",4.67571924770813e-05,11,1,0.0909090909090909
"Erythroid","AML (leukemic)","CD96_PVR","CD96","PVR",3.7578688743873e-05,11,1,0.0909090909090909
"NK","AML (leukemic)","CD96_NECTIN1","CD96","NECTIN1",3.64495512116802e-05,14,5,0.357142857142857
"Erythroid","Erythroid","CD96_PVR","CD96","PVR",3.46414653431793e-05,11,0,0
"T cells","Mature myeloid","CD96_NECTIN1","CD96","NECTIN1",3.27590109017621e-05,17,4,0.235294117647059
"AML (leukemic)","T cells","CD96_NECTIN1","CD96","NECTIN1",3.1683566917771e-05,19,0,0
"AML (leukemic)","HSPC","CD96_NECTIN1","CD96","NECTIN1",3.02090048723347e-05,2,1,0.5
"AML (leukemic)","Myeloid_Pro","CD96_PVR","CD96","PVR",3.00090922279133e-05,9,1,0.111111111111111
"Mature myeloid","AML (leukemic)","CD96_NECTIN1","CD96","NECTIN1",2.8640593677237e-05,17,0,0
"AML (leukemic)","NK","CD96_NECTIN1","CD96","NECTIN1",2.82544216602293e-05,14,2,0.142857142857143
"NK","AML (leukemic)","CD96_PVR","CD96","PVR",2.69545770786541e-05,14,5,0.357142857142857
"T cells","Myeloid_Pro","CD96_NECTIN1","CD96","NECTIN1",2.3715155283186e-05,9,6,0.666666666666667
"Mature myeloid","AML (leukemic)","CD96_PVR","CD96","PVR",2.34938626896371e-05,17,0,0
"T cells","HSPC","CD96_NECTIN1","CD96","NECTIN1",2.33207835041624e-05,2,1,0.5
"B-lineage","AML (leukemic)","CD96_PVR","CD96","PVR",2.21916644754157e-05,17,0,0
"B-lineage","Erythroid","CD96_NECTIN1","CD96","NECTIN1",1.78310560657786e-05,10,2,0.2
"AML (leukemic)","NK","CD96_PVR","CD96","PVR",1.69417105596953e-05,14,1,0.0714285714285714
"B-lineage","AML (leukemic)","CD96_NECTIN1","CD96","NECTIN1",1.68086070931056e-05,17,0,0
"NK","Erythroid","CD96_NECTIN1","CD96","NECTIN1",1.67575391251606e-05,9,3,0.333333333333333
"T cells","T cells","CD96_NECTIN1","CD96","NECTIN1",1.07747415477087e-05,19,0,0
"Myeloid_Pro","AML (leukemic)","CD96_NECTIN1","CD96","NECTIN1",1.01403857954802e-05,9,0,0
"AML (leukemic)","B-lineage","CD96_NECTIN1","CD96","NECTIN1",9.6711339709303e-06,17,0,0
"NK","Mature myeloid","CD96_PVR","CD96","PVR",8.45756766576161e-06,13,5,0.384615384615385
"T cells","NK","CD96_NECTIN1","CD96","NECTIN1",8.33712369208614e-06,14,2,0.142857142857143
"T cells","T cells","CD96_PVR","CD96","PVR",7.14026995427893e-06,19,1,0.0526315789473684
"B-lineage","Mature myeloid","CD96_PVR","CD96","PVR",7.04297728793286e-06,16,1,0.0625
"Myeloid_Pro","AML (leukemic)","CD96_PVR","CD96","PVR",5.68180379813952e-06,9,0,0
"B-lineage","HSPC","CD96_PVR","CD96","PVR",5.35234540553426e-06,2,0,0
"NK","Mature myeloid","CD96_NECTIN1","CD96","NECTIN1",4.87873375408264e-06,13,2,0.153846153846154
"HSPC","AML (leukemic)","CD96_PVR","CD96","PVR",4.5117599933528e-06,2,0,0
"B-lineage","Erythroid","CD96_PVR","CD96","PVR",4.48183766797692e-06,10,1,0.1
"T cells","Myeloid_Pro","CD96_PVR","CD96","PVR",4.45524537956704e-06,9,2,0.222222222222222
"NK","HSPC","CD96_PVR","CD96","PVR",4.17400067917776e-06,2,2,1
"NK","Erythroid","CD96_PVR","CD96","PVR",4.04500959343973e-06,9,3,0.333333333333333
"NK","Myeloid_Pro","CD96_NECTIN1","CD96","NECTIN1",3.81124473094368e-06,7,4,0.571428571428571
"B-lineage","Mature myeloid","CD96_NECTIN1","CD96","NECTIN1",3.51195643033132e-06,16,0,0
"Erythroid","Mature myeloid","CD96_NECTIN1","CD96","NECTIN1",2.91098719235873e-06,9,0,0
"B-lineage","Myeloid_Pro","CD96_NECTIN1","CD96","NECTIN1",2.75224738060259e-06,9,2,0.222222222222222
"T cells","NK","CD96_PVR","CD96","PVR",2.32408407469104e-06,14,1,0.0714285714285714
"Myeloid_Pro","Erythroid","CD96_NECTIN1","CD96","NECTIN1",2.26419555476432e-06,5,0,0
"Erythroid","Mature myeloid","CD96_PVR","CD96","PVR",2.18679146077807e-06,9,0,0
"HSPC","Erythroid","CD96_NECTIN1","CD96","NECTIN1",1.88050616416421e-06,2,0,0
"Mature myeloid","Mature myeloid","CD96_PVR","CD96","PVR",1.78761857673414e-06,17,0,0
"T cells","B-lineage","CD96_NECTIN1","CD96","NECTIN1",1.62334162207945e-06,17,0,0
"Mature myeloid","Mature myeloid","CD96_NECTIN1","CD96","NECTIN1",1.62133552320778e-06,17,0,0
"B-lineage","HSPC","CD96_NECTIN1","CD96","NECTIN1",1.56890724312485e-06,2,0,0
"Mature myeloid","Erythroid","CD96_NECTIN1","CD96","NECTIN1",1.54824715918513e-06,9,0,0
"NK","T cells","CD96_NECTIN1","CD96","NECTIN1",1.54668625838028e-06,14,0,0
"Myeloid_Pro","Mature myeloid","CD96_PVR","CD96","PVR",1.42436486256999e-06,9,0,0
"Mature myeloid","Myeloid_Pro","CD96_NECTIN1","CD96","NECTIN1",1.23375728941082e-06,9,1,0.111111111111111
"B-lineage","NK","CD96_NECTIN1","CD96","NECTIN1",1.21527184074913e-06,13,1,0.0769230769230769
"NK","NK","CD96_NECTIN1","CD96","NECTIN1",1.19599833277256e-06,14,2,0.142857142857143
"AML (leukemic)","B-lineage","CD96_PVR","CD96","PVR",1.17265318304816e-06,17,0,0
"B-lineage","T cells","CD96_NECTIN1","CD96","NECTIN1",1.13308883023984e-06,17,0,0
"NK","HSPC","CD96_NECTIN1","CD96","NECTIN1",1.12032894876079e-06,2,1,0.5
"Erythroid","HSPC","CD96_PVR","CD96","PVR",1.11093641716192e-06,2,0,0
"HSPC","Mature myeloid","CD96_PVR","CD96","PVR",1.08566999791771e-06,2,0,0
"Myeloid_Pro","Mature myeloid","CD96_NECTIN1","CD96","NECTIN1",1.06364600840194e-06,9,0,0
"NK","T cells","CD96_PVR","CD96","PVR",8.95934620611838e-07,14,1,0.0714285714285714
"Erythroid","T cells","CD96_PVR","CD96","PVR",8.61837427526112e-07,11,0,0
"HSPC","AML (leukemic)","CD96_NECTIN1","CD96","NECTIN1",8.17657429209301e-07,2,0,0
"B-lineage","T cells","CD96_PVR","CD96","PVR",7.44276132116262e-07,17,1,0.0588235294117647
"Mature myeloid","Myeloid_Pro","CD96_PVR","CD96","PVR",5.25100448822741e-07,9,0,0
"Mature myeloid","T cells","CD96_NECTIN1","CD96","NECTIN1",5.10020963718735e-07,17,0,0
"Erythroid","B-lineage","CD96_NECTIN1","CD96","NECTIN1",4.56639581612451e-07,10,0,0
"Myeloid_Pro","Erythroid","CD96_PVR","CD96","PVR",4.5660557996116e-07,5,0,0
"Erythroid","HSPC","CD96_NECTIN1","CD96","NECTIN1",4.40370417572269e-07,2,0,0
"Mature myeloid","Erythroid","CD96_PVR","CD96","PVR",4.33046517401245e-07,9,0,0
"Myeloid_Pro","Myeloid_Pro","CD96_NECTIN1","CD96","NECTIN1",4.12144300022142e-07,9,0,0
"Myeloid_Pro","HSPC","CD96_PVR","CD96","PVR",3.76814009579977e-07,2,0,0
"Myeloid_Pro","T cells","CD96_NECTIN1","CD96","NECTIN1",3.64359191968726e-07,9,0,0
"Erythroid","T cells","CD96_NECTIN1","CD96","NECTIN1",3.51968694764897e-07,11,0,0
"NK","Myeloid_Pro","CD96_PVR","CD96","PVR",3.39859761698843e-07,7,2,0.285714285714286
"HSPC","HSPC","CD96_PVR","CD96","PVR",2.95019095990899e-07,2,0,0
"Mature myeloid","T cells","CD96_PVR","CD96","PVR",2.73890882717081e-07,17,1,0.0588235294117647
"Erythroid","Myeloid_Pro","CD96_NECTIN1","CD96","NECTIN1",2.73579424320123e-07,5,0,0
"Mature myeloid","HSPC","CD96_PVR","CD96","PVR",2.57530273222606e-07,2,0,0
"Erythroid","NK","CD96_NECTIN1","CD96","NECTIN1",2.44887763135413e-07,9,0,0
"T cells","B-lineage","CD96_PVR","CD96","PVR",2.23727897218862e-07,17,0,0
"Mature myeloid","NK","CD96_NECTIN1","CD96","NECTIN1",2.22321323526074e-07,13,1,0.0769230769230769
"Myeloid_Pro","NK","CD96_NECTIN1","CD96","NECTIN1",2.13586171373316e-07,7,0,0
"B-lineage","Myeloid_Pro","CD96_PVR","CD96","PVR",1.97903594771696e-07,9,0,0
"Erythroid","NK","CD96_PVR","CD96","PVR",1.76666036218618e-07,9,0,0
"HSPC","Erythroid","CD96_PVR","CD96","PVR",1.76316967773511e-07,2,0,0
"NK","NK","CD96_PVR","CD96","PVR",1.68021219266484e-07,14,1,0.0714285714285714
"NK","B-lineage","CD96_NECTIN1","CD96","NECTIN1",1.58084371657079e-07,13,0,0
"Mature myeloid","B-lineage","CD96_NECTIN1","CD96","NECTIN1",1.51455087858108e-07,16,0,0
