group,group_type,target,label,add,toxicity,efficacy,n_cells
All AML,pooled,CD96,CD96,CD96 alone,3.28,28.9,70108
All AML,pooled,CD9,CD9,+CD9,9.81,43.16,70108
All AML,pooled,SUCNR1,SUCNR1,+SUCNR1,9.04,37.29,70108
All AML,pooled,IL1RAP,IL1RAP,+IL1RAP,12.54,38.58,70108
All AML,pooled,FLT3,FLT3,+FLT3,53.52,56.93,70108
All AML,pooled,CD33,CD33,+CD33,31.86,49.32,70108
All AML,pooled,IL3RA,CD123,+CD123,14.44,44.34,70108
All AML,pooled,CLEC12A,CLL-1,+CLL-1,32.77,47.98,70108
All AML,pooled,CD7,CD7,+CD7,10.93,35.57,70108
All AML,pooled,TNFRSF4,TNFRSF4,+TNFRSF4,3.39,32.46,70108
All AML,pooled,ABCA7,ABCA7,+ABCA7,13.45,39.03,70108
All AML,pooled,ITGAX,ITGAX,+ITGAX,9.72,38.23,70108
CN,cyto,CD96,CD96,CD96 alone,3.28,34.64,12616
CN,cyto,CD9,CD9,+CD9,9.81,46.23,12616
CN,cyto,SUCNR1,SUCNR1,+SUCNR1,9.04,44.44,12616
CN,cyto,IL1RAP,IL1RAP,+IL1RAP,12.54,46.2,12616
CN,cyto,FLT3,FLT3,+FLT3,53.52,76.54,12616
CN,cyto,CD33,CD33,+CD33,31.86,67.3,12616
CN,cyto,IL3RA,CD123,+CD123,14.44,58.23,12616
CN,cyto,CLEC12A,CLL-1,+CLL-1,32.77,59.87,12616
CN,cyto,CD7,CD7,+CD7,10.93,38.92,12616
CN,cyto,TNFRSF4,TNFRSF4,+TNFRSF4,3.39,42.52,12616
CN,cyto,ABCA7,ABCA7,+ABCA7,13.45,43.0,12616
CN,cyto,ITGAX,ITGAX,+ITGAX,9.72,43.02,12616
del7q,cyto,CD96,CD96,CD96 alone,3.28,1.01,1888
del7q,cyto,CD9,CD9,+CD9,9.81,48.41,1888
del7q,cyto,SUCNR1,SUCNR1,+SUCNR1,9.04,4.93,1888
del7q,cyto,IL1RAP,IL1RAP,+IL1RAP,12.54,16.0,1888
del7q,cyto,FLT3,FLT3,+FLT3,53.52,47.4,1888
del7q,cyto,CD33,CD33,+CD33,31.86,27.97,1888
del7q,cyto,IL3RA,CD123,+CD123,14.44,34.22,1888
del7q,cyto,CLEC12A,CLL-1,+CLL-1,32.77,16.53,1888
del7q,cyto,CD7,CD7,+CD7,10.93,46.35,1888
del7q,cyto,TNFRSF4,TNFRSF4,+TNFRSF4,3.39,6.51,1888
del7q,cyto,ABCA7,ABCA7,+ABCA7,13.45,18.7,1888
del7q,cyto,ITGAX,ITGAX,+ITGAX,9.72,13.08,1888
t(7;14)(q21;q32),cyto,CD96,CD96,CD96 alone,3.28,39.8,3168
t(7;14)(q21;q32),cyto,CD9,CD9,+CD9,9.81,57.64,3168
t(7;14)(q21;q32),cyto,SUCNR1,SUCNR1,+SUCNR1,9.04,54.1,3168
t(7;14)(q21;q32),cyto,IL1RAP,IL1RAP,+IL1RAP,12.54,44.63,3168
t(7;14)(q21;q32),cyto,FLT3,FLT3,+FLT3,53.52,49.27,3168
t(7;14)(q21;q32),cyto,CD33,CD33,+CD33,31.86,50.16,3168
t(7;14)(q21;q32),cyto,IL3RA,CD123,+CD123,14.44,43.72,3168
t(7;14)(q21;q32),cyto,CLEC12A,CLL-1,+CLL-1,32.77,62.88,3168
t(7;14)(q21;q32),cyto,CD7,CD7,+CD7,10.93,46.59,3168
t(7;14)(q21;q32),cyto,TNFRSF4,TNFRSF4,+TNFRSF4,3.39,40.06,3168
t(7;14)(q21;q32),cyto,ABCA7,ABCA7,+ABCA7,13.45,44.29,3168
t(7;14)(q21;q32),cyto,ITGAX,ITGAX,+ITGAX,9.72,51.89,3168
PML/RARA,cyto,CD96,CD96,CD96 alone,3.28,35.49,6473
PML/RARA,cyto,CD9,CD9,+CD9,9.81,52.53,6473
PML/RARA,cyto,SUCNR1,SUCNR1,+SUCNR1,9.04,40.51,6473
PML/RARA,cyto,IL1RAP,IL1RAP,+IL1RAP,12.54,39.75,6473
PML/RARA,cyto,FLT3,FLT3,+FLT3,53.52,53.21,6473
PML/RARA,cyto,CD33,CD33,+CD33,31.86,48.9,6473
