group,gene,label,cls,leak,cov_pct,rec_pct,HSPC,Myeloid,in_top5,n_cells,single_patient_flag
All poor LS,CD96,CD96,clinical,3.28,38.46,60.71,2.41,3.28,True,8918,False
All poor LS,CD9,CD9,clinical,7.59,38.01,46.43,7.59,6.78,True,8918,False
All poor LS,SUCNR1,SUCNR1,clinical,6.55,30.52,53.57,6.3,6.55,True,8918,False
All poor LS,AMN,AMN,discovered,4.63,25.24,50.0,4.63,3.73,True,8918,False
All poor LS,IL1RAP,IL1RAP,clinical,9.94,23.96,57.14,5.74,9.94,True,8918,False
All poor LS,FLT3,FLT3,clinical,52.59,57.88,92.86,52.59,25.08,False,8918,False
All poor LS,CD33,CD33,clinical,30.62,36.98,71.43,16.67,30.62,False,8918,False
All poor LS,IL3RA,CD123,clinical,12.22,31.91,71.43,12.22,7.68,False,8918,False
All poor LS,CLEC12A,CLL-1,clinical,31.3,37.4,67.86,9.44,31.3,False,8918,False
All poor LS,CD7,CD7,clinical,9.07,19.2,32.14,9.07,3.05,False,8918,False
All poor LS,TNFRSF4,TNFRSF4,clinical,0.56,4.98,7.14,0.56,0.23,False,8918,False
All poor LS,ABCA7,ABCA7,clinical,10.73,14.43,14.29,5.56,10.73,False,8918,False
All poor LS,ITGAX,ITGAX,clinical,6.55,13.49,17.86,0.93,6.55,False,8918,False
LS_10,CD96,CD96,clinical,3.28,52.37,76.19,2.41,3.28,True,1583,False
LS_10,SUCNR1,SUCNR1,clinical,6.55,35.57,66.67,6.3,6.55,True,1583,False
LS_10,CD9,CD9,clinical,7.59,33.1,47.62,7.59,6.78,True,1583,False
LS_10,NRXN2,NRXN2,discovered,6.55,29.69,47.62,4.44,6.55,True,1583,False
LS_10,IL1RAP,IL1RAP,clinical,9.94,28.17,66.67,5.74,9.94,True,1583,False
LS_10,FLT3,FLT3,clinical,52.59,70.81,95.24,52.59,25.08,False,1583,False
LS_10,CD33,CD33,clinical,30.62,45.29,80.95,16.67,30.62,False,1583,False
LS_10,IL3RA,CD123,clinical,12.22,28.11,61.9,12.22,7.68,False,1583,False
LS_10,CLEC12A,CLL-1,clinical,31.3,46.11,71.43,9.44,31.3,False,1583,False
LS_10,CD7,CD7,clinical,9.07,16.99,23.81,9.07,3.05,False,1583,False
LS_10,TNFRSF4,TNFRSF4,clinical,0.56,3.73,0.0,0.56,0.23,False,1583,False
LS_10,ABCA7,ABCA7,clinical,10.73,15.1,23.81,5.56,10.73,False,1583,False
LS_10,ITGAX,ITGAX,clinical,6.55,6.7,14.29,0.93,6.55,False,1583,False
LS_19,CD96,CD96,clinical,3.28,61.97,75.0,2.41,3.28,True,1291,False
LS_19,SUCNR1,SUCNR1,clinical,6.55,41.21,62.5,6.3,6.55,True,1291,False
LS_19,CD9,CD9,clinical,7.59,35.94,75.0,7.59,6.78,True,1291,False
LS_19,AMN,AMN,discovered,4.63,30.29,50.0,4.63,3.73,True,1291,False
LS_19,IL1RAP,IL1RAP,clinical,9.94,29.82,50.0,5.74,9.94,True,1291,False
LS_19,FLT3,FLT3,clinical,52.59,75.52,100.0,52.59,25.08,False,1291,False
LS_19,CD33,CD33,clinical,30.62,53.21,87.5,16.67,30.62,False,1291,False
LS_19,IL3RA,CD123,clinical,12.22,40.05,100.0,12.22,7.68,False,1291,False
LS_19,CLEC12A,CLL-1,clinical,31.3,50.43,87.5,9.44,31.3,False,1291,False
LS_19,CD7,CD7,clinical,9.07,21.38,37.5,9.07,3.05,False,1291,False
LS_19,TNFRSF4,TNFRSF4,clinical,0.56,8.29,12.5,0.56,0.23,False,1291,False
LS_19,ABCA7,ABCA7,clinical,10.73,8.29,0.0,5.56,10.73,False,1291,False
LS_19,ITGAX,ITGAX,clinical,6.55,11.93,12.5,0.93,6.55,False,1291,False
LS_20,CD96,CD96,clinical,3.28,27.74,58.82,2.41,3.28,True,1251,False
LS_20,CD9,CD9,clinical,7.59,22.62,41.18,7.59,6.78,True,1251,False
LS_20,LMBR1L,LMBR1L,discovered,9.44,17.27,35.29,9.44,4.52,True,1251,False
LS_20,FURIN,FURIN,discovered,10.0,15.59,29.41,10.0,8.36,True,1251,False
LS_20,FGFR1,FGFR1,discovered,6.21,15.03,23.53,5.56,6.21,True,1251,False
