group,target,label,add,toxicity,efficacy,n_cells
All poor LS,CD96,CD96,CD96 alone,3.28,38.46,8918
All poor LS,CD9,CD9,+CD9,9.81,58.08,8918
All poor LS,SUCNR1,SUCNR1,+SUCNR1,9.04,49.67,8918
All poor LS,IL1RAP,IL1RAP,+IL1RAP,12.54,49.94,8918
All poor LS,FLT3,FLT3,+FLT3,53.52,67.57,8918
All poor LS,CD33,CD33,+CD33,31.86,60.26,8918
All poor LS,IL3RA,CD123,+CD123,14.44,57.21,8918
All poor LS,CLEC12A,CLL-1,+CLL-1,32.77,56.41,8918
All poor LS,CD7,CD7,+CD7,10.93,44.82,8918
All poor LS,TNFRSF4,TNFRSF4,+TNFRSF4,3.39,41.44,8918
All poor LS,ABCA7,ABCA7,+ABCA7,13.45,49.69,8918
All poor LS,ITGAX,ITGAX,+ITGAX,9.72,49.76,8918
LS_10,CD96,CD96,CD96 alone,3.28,52.37,1583
LS_10,CD9,CD9,+CD9,9.81,64.18,1583
LS_10,SUCNR1,SUCNR1,+SUCNR1,9.04,64.25,1583
LS_10,IL1RAP,IL1RAP,+IL1RAP,12.54,63.04,1583
LS_10,FLT3,FLT3,+FLT3,53.52,79.79,1583
LS_10,CD33,CD33,+CD33,31.86,71.57,1583
LS_10,IL3RA,CD123,+CD123,14.44,65.0,1583
LS_10,CLEC12A,CLL-1,+CLL-1,32.77,69.61,1583
LS_10,CD7,CD7,+CD7,10.93,56.16,1583
LS_10,TNFRSF4,TNFRSF4,+TNFRSF4,3.39,54.07,1583
LS_10,ABCA7,ABCA7,+ABCA7,13.45,61.09,1583
LS_10,ITGAX,ITGAX,+ITGAX,9.72,56.73,1583
LS_19,CD96,CD96,CD96 alone,3.28,61.97,1291
LS_19,CD9,CD9,+CD9,9.81,76.14,1291
LS_19,SUCNR1,SUCNR1,+SUCNR1,9.04,74.28,1291
LS_19,IL1RAP,IL1RAP,+IL1RAP,12.54,71.88,1291
LS_19,FLT3,FLT3,+FLT3,53.52,87.84,1291
LS_19,CD33,CD33,+CD33,31.86,80.48,1291
LS_19,IL3RA,CD123,+CD123,14.44,77.15,1291
LS_19,CLEC12A,CLL-1,+CLL-1,32.77,76.45,1291
LS_19,CD7,CD7,+CD7,10.93,71.03,1291
LS_19,TNFRSF4,TNFRSF4,+TNFRSF4,3.39,65.38,1291
LS_19,ABCA7,ABCA7,+ABCA7,13.45,65.22,1291
LS_19,ITGAX,ITGAX,+ITGAX,9.72,66.23,1291
LS_20,CD96,CD96,CD96 alone,3.28,27.74,1251
LS_20,CD9,CD9,+CD9,9.81,40.69,1251
LS_20,SUCNR1,SUCNR1,+SUCNR1,9.04,33.97,1251
LS_20,IL1RAP,IL1RAP,+IL1RAP,12.54,34.61,1251
LS_20,FLT3,FLT3,+FLT3,53.52,48.76,1251
LS_20,CD33,CD33,+CD33,31.86,42.45,1251
LS_20,IL3RA,CD123,+CD123,14.44,37.65,1251
LS_20,CLEC12A,CLL-1,+CLL-1,32.77,43.49,1251
LS_20,CD7,CD7,+CD7,10.93,31.89,1251
LS_20,TNFRSF4,TNFRSF4,+TNFRSF4,3.39,28.46,1251
LS_20,ABCA7,ABCA7,+ABCA7,13.45,33.33,1251
LS_20,ITGAX,ITGAX,+ITGAX,9.72,30.7,1251
LS_21,CD96,CD96,CD96 alone,3.28,15.58,1168
LS_21,CD9,CD9,+CD9,9.81,41.27,1168
LS_21,SUCNR1,SUCNR1,+SUCNR1,9.04,21.32,1168
LS_21,IL1RAP,IL1RAP,+IL1RAP,12.54,34.08,1168
LS_21,FLT3,FLT3,+FLT3,53.52,50.86,1168
LS_21,CD33,CD33,+CD33,31.86,46.49,1168
LS_21,IL3RA,CD123,+CD123,14.44,40.92,1168
LS_21,CLEC12A,CLL-1,+CLL-1,32.77,40.15,1168
LS_21,CD7,CD7,+CD7,10.93,21.4,1168
LS_21,TNFRSF4,TNFRSF4,+TNFRSF4,3.39,18.92,1168
LS_21,ABCA7,ABCA7,+ABCA7,13.45,51.46,1168
LS_21,ITGAX,ITGAX,+ITGAX,9.72,57.11,1168
LS_27,CD96,CD96,CD96 alone,3.28,30.73,1064
LS_27,CD9,CD9,+CD9,9.81,47.84,1064
LS_27,SUCNR1,SUCNR1,+SUCNR1,9.04,47.93,1064
LS_27,IL1RAP,IL1RAP,+IL1RAP,12.54,44.27,1064
LS_27,FLT3,FLT3,+FLT3,53.52,60.34,1064
LS_27,CD33,CD33,+CD33,31.86,54.23,1064
LS_27,IL3RA,CD123,+CD123,14.44,45.3,1064
LS_27,CLEC12A,CLL-1,+CLL-1,32.77,61.65,1064
LS_27,CD7,CD7,+CD7,10.93,36.28,1064
LS_27,TNFRSF4,TNFRSF4,+TNFRSF4,3.39,31.48,1064
LS_27,ABCA7,ABCA7,+ABCA7,13.45,37.41,1064
LS_27,ITGAX,ITGAX,+ITGAX,9.72,34.12,1064
