group,group_type,target,label,add,kind,toxicity,efficacy,n_cells
0_HSPC,PAC,CD96,CD96,CD96 alone,CD96,3.02,2.41,539
0_HSPC,PAC,CD33,CD33,+CD33,partner,29.92,18.0,539
0_HSPC,PAC,IL3RA,CD123,+CD123,partner,14.84,14.84,539
0_HSPC,PAC,CLEC12A,CLL-1,+CLL-1,partner,31.12,10.76,539
0_HSPC,PAC,FLT3,FLT3,+FLT3,partner,53.99,53.99,539
0_HSPC,PAC,MSLN,MSLN,+MSLN,partner,19.06,2.41,539
0_HSPC,PAC,CD70,CD70,+CD70,partner,3.5,2.41,539
0_HSPC,PAC,ADGRG1,GPR56,+GPR56,partner,41.93,41.93,539
0_HSPC,PAC,IL1RAP,IL1RAP,+IL1RAP,partner,12.06,8.16,539
Myeloid_Pro,PAC,CD96,CD96,CD96 alone,CD96,3.02,3.02,829
Myeloid_Pro,PAC,CD33,CD33,+CD33,partner,29.92,29.92,829
Myeloid_Pro,PAC,IL3RA,CD123,+CD123,partner,14.84,9.53,829
Myeloid_Pro,PAC,CLEC12A,CLL-1,+CLL-1,partner,31.12,31.12,829
Myeloid_Pro,PAC,FLT3,FLT3,+FLT3,partner,53.99,25.21,829
Myeloid_Pro,PAC,MSLN,MSLN,+MSLN,partner,19.06,19.06,829
Myeloid_Pro,PAC,CD70,CD70,+CD70,partner,3.5,3.5,829
Myeloid_Pro,PAC,ADGRG1,GPR56,+GPR56,partner,41.93,3.5,829
Myeloid_Pro,PAC,IL1RAP,IL1RAP,+IL1RAP,partner,12.06,12.06,829
FPAC_1,PAC,CD96,CD96,CD96 alone,CD96,3.02,32.77,4156
FPAC_1,PAC,CD33,CD33,+CD33,partner,29.92,54.14,4156
FPAC_1,PAC,IL3RA,CD123,+CD123,partner,14.84,44.06,4156
FPAC_1,PAC,CLEC12A,CLL-1,+CLL-1,partner,31.12,50.67,4156
FPAC_1,PAC,FLT3,FLT3,+FLT3,partner,53.99,64.08,4156
FPAC_1,PAC,MSLN,MSLN,+MSLN,partner,19.06,40.38,4156
FPAC_1,PAC,CD70,CD70,+CD70,partner,3.5,35.95,4156
FPAC_1,PAC,ADGRG1,GPR56,+GPR56,partner,41.93,39.99,4156
FPAC_1,PAC,IL1RAP,IL1RAP,+IL1RAP,partner,12.06,40.21,4156
FPAC_2,PAC,CD96,CD96,CD96 alone,CD96,3.02,84.97,898
FPAC_2,PAC,CD33,CD33,+CD33,partner,29.92,91.54,898
FPAC_2,PAC,IL3RA,CD123,+CD123,partner,14.84,88.08,898
FPAC_2,PAC,CLEC12A,CLL-1,+CLL-1,partner,31.12,93.88,898
FPAC_2,PAC,FLT3,FLT3,+FLT3,partner,53.99,96.21,898
FPAC_2,PAC,MSLN,MSLN,+MSLN,partner,19.06,85.08,898
FPAC_2,PAC,CD70,CD70,+CD70,partner,3.5,85.19,898
FPAC_2,PAC,ADGRG1,GPR56,+GPR56,partner,41.93,86.3,898
FPAC_2,PAC,IL1RAP,IL1RAP,+IL1RAP,partner,12.06,87.31,898
PPAC_1,PAC,CD96,CD96,CD96 alone,CD96,3.02,33.01,4887
PPAC_1,PAC,CD33,CD33,+CD33,partner,29.92,64.91,4887
PPAC_1,PAC,IL3RA,CD123,+CD123,partner,14.84,64.78,4887
PPAC_1,PAC,CLEC12A,CLL-1,+CLL-1,partner,31.12,54.29,4887
PPAC_1,PAC,FLT3,FLT3,+FLT3,partner,53.99,85.47,4887
PPAC_1,PAC,MSLN,MSLN,+MSLN,partner,19.06,34.97,4887
PPAC_1,PAC,CD70,CD70,+CD70,partner,3.5,33.7,4887
PPAC_1,PAC,ADGRG1,GPR56,+GPR56,partner,41.93,55.41,4887
PPAC_1,PAC,IL1RAP,IL1RAP,+IL1RAP,partner,12.06,46.86,4887
PPAC_2,PAC,CD96,CD96,CD96 alone,CD96,3.02,59.97,3355
PPAC_2,PAC,CD33,CD33,+CD33,partner,29.92,71.06,3355
PPAC_2,PAC,IL3RA,CD123,+CD123,partner,14.84,75.47,3355
PPAC_2,PAC,CLEC12A,CLL-1,+CLL-1,partner,31.12,70.31,3355
PPAC_2,PAC,FLT3,FLT3,+FLT3,partner,53.99,85.31,3355
PPAC_2,PAC,MSLN,MSLN,+MSLN,partner,19.06,61.22,3355
PPAC_2,PAC,CD70,CD70,+CD70,partner,3.5,64.62,3355
PPAC_2,PAC,ADGRG1,GPR56,+GPR56,partner,41.93,68.58,3355
PPAC_2,PAC,IL1RAP,IL1RAP,+IL1RAP,partner,12.06,67.0,3355
PPAC_3,PAC,CD96,CD96,CD96 alone,CD96,3.02,8.52,2325
PPAC_3,PAC,CD33,CD33,+CD33,partner,29.92,35.74,2325
PPAC_3,PAC,IL3RA,CD123,+CD123,partner,14.84,29.08,2325
PPAC_3,PAC,CLEC12A,CLL-1,+CLL-1,partner,31.12,30.54,2325
PPAC_3,PAC,FLT3,FLT3,+FLT3,partner,53.99,43.1,2325
PPAC_3,PAC,MSLN,MSLN,+MSLN,partner,19.06,59.35,2325
PPAC_3,PAC,CD70,CD70,+CD70,partner,3.5,23.7,2325
PPAC_3,PAC,ADGRG1,GPR56,+GPR56,partner,41.93,10.62,2325
PPAC_3,PAC,IL1RAP,IL1RAP,+IL1RAP,partner,12.06,21.55,2325
PPAC_4,PAC,CD96,CD96,CD96 alone,CD96,3.02,34.97,2033
PPAC_4,PAC,CD33,CD33,+CD33,partner,29.92,54.01,2033
PPAC_4,PAC,IL3RA,CD123,+CD123,partner,14.84,47.52,2033
PPAC_4,PAC,CLEC12A,CLL-1,+CLL-1,partner,31.12,53.62,2033
PPAC_4,PAC,FLT3,FLT3,+FLT3,partner,53.99,57.3,2033
PPAC_4,PAC,MSLN,MSLN,+MSLN,partner,19.06,44.42,2033
PPAC_4,PAC,CD70,CD70,+CD70,partner,3.5,38.27,2033
PPAC_4,PAC,ADGRG1,GPR56,+GPR56,partner,41.93,39.35,2033
PPAC_4,PAC,IL1RAP,IL1RAP,+IL1RAP,partner,12.06,43.33,2033
PPAC_5,PAC,CD96,CD96,CD96 alone,CD96,3.02,0.52,1146
