group,target,label,add,kind,cls,toxicity,efficacy,n_cells,single_patient_flag
All PPAC,CD96,CD96,CD96 alone,CD96,cd96,3.02,33.03,13746,False
All PPAC,CD9,CD9,+CD9,partner,discovered,9.83,54.01,13746,False
All PPAC,SUCNR1,SUCNR1,+SUCNR1,partner,discovered,9.29,44.35,13746,False
All PPAC,CD7,CD7,+CD7,partner,discovered,10.95,43.02,13746,False
All PPAC,IL1RAP,IL1RAP,+IL1RAP,partner,clinical,12.06,44.82,13746,False
All PPAC,CD33,CD33,+CD33,partner,clinical,29.92,58.99,13746,False
All PPAC,IL3RA,CD123,+CD123,partner,clinical,14.84,58.03,13746,False
All PPAC,CLEC12A,CLL-1,+CLL-1,partner,clinical,31.12,52.08,13746,False
All PPAC,FLT3,FLT3,+FLT3,partner,clinical,53.99,72.48,13746,False
All PPAC,MSLN,MSLN,+MSLN,partner,clinical,19.06,49.52,13746,False
All PPAC,CD70,CD70,+CD70,partner,clinical,3.5,37.47,13746,False
All PPAC,ADGRG1,GPR56,+GPR56,partner,clinical,41.93,46.13,13746,False
PPAC_1,CD96,CD96,CD96 alone,CD96,cd96,3.02,33.01,4887,False
PPAC_1,SUCNR1,SUCNR1,+SUCNR1,partner,discovered,9.29,50.07,4887,False
PPAC_1,TNFRSF4,TNFRSF4,+TNFRSF4,partner,discovered,3.02,47.92,4887,False
PPAC_1,CD9,CD9,+CD9,partner,discovered,9.83,50.56,4887,False
PPAC_1,SLC7A6,SLC7A6,+SLC7A6,partner,discovered,10.95,49.42,4887,False
PPAC_1,CD33,CD33,+CD33,partner,clinical,29.92,64.91,4887,False
PPAC_1,IL3RA,CD123,+CD123,partner,clinical,14.84,64.78,4887,False
PPAC_1,CLEC12A,CLL-1,+CLL-1,partner,clinical,31.12,54.29,4887,False
PPAC_1,FLT3,FLT3,+FLT3,partner,clinical,53.99,85.47,4887,False
PPAC_1,MSLN,MSLN,+MSLN,partner,clinical,19.06,34.97,4887,False
PPAC_1,CD70,CD70,+CD70,partner,clinical,3.5,33.7,4887,False
PPAC_1,ADGRG1,GPR56,+GPR56,partner,clinical,41.93,55.41,4887,False
PPAC_1,IL1RAP,IL1RAP,+IL1RAP,partner,clinical,12.06,46.86,4887,False
PPAC_2,CD96,CD96,CD96 alone,CD96,cd96,3.02,59.97,3355,False
PPAC_2,CD9,CD9,+CD9,partner,discovered,9.83,79.73,3355,False
PPAC_2,CD7,CD7,+CD7,partner,discovered,10.95,76.33,3355,False
PPAC_2,SUCNR1,SUCNR1,+SUCNR1,partner,discovered,9.29,67.27,3355,False
PPAC_2,UMODL1,UMODL1,+UMODL1,partner,discovered,3.86,69.63,3355,False
PPAC_2,CD33,CD33,+CD33,partner,clinical,29.92,71.06,3355,False
PPAC_2,IL3RA,CD123,+CD123,partner,clinical,14.84,75.47,3355,False
PPAC_2,CLEC12A,CLL-1,+CLL-1,partner,clinical,31.12,70.31,3355,False
PPAC_2,FLT3,FLT3,+FLT3,partner,clinical,53.99,85.31,3355,False
PPAC_2,MSLN,MSLN,+MSLN,partner,clinical,19.06,61.22,3355,False
