group,gene,label,cls,leak,cov_pct,rec_pct,HSPC,Myeloid,in_top5,n_cells,single_patient_flag
All PPAC,CD9,CD9,discovered,7.61,35.03,64.29,7.61,6.51,True,13746,False
All PPAC,CD96,CD96,clinical,3.02,33.03,60.71,2.41,3.02,True,13746,False
All PPAC,SUCNR1,SUCNR1,discovered,7.12,26.69,46.43,6.31,7.12,True,13746,False
All PPAC,CD7,CD7,discovered,9.09,22.19,25.0,9.09,3.26,True,13746,False
All PPAC,IL1RAP,IL1RAP,clinical,9.65,21.74,42.86,5.75,9.65,True,13746,False
All PPAC,CD33,CD33,clinical,28.71,40.43,64.29,16.7,28.71,False,13746,False
All PPAC,IL3RA,CD123,clinical,12.62,41.13,67.86,12.62,7.36,False,13746,False
All PPAC,CLEC12A,CLL-1,clinical,29.67,36.58,64.29,9.46,29.67,False,13746,False
All PPAC,FLT3,FLT3,clinical,53.06,66.3,89.29,53.06,24.13,False,13746,False
All PPAC,MSLN,MSLN,clinical,17.13,17.6,28.57,0.0,17.13,False,13746,False
All PPAC,CD70,CD70,clinical,0.6,4.69,7.14,0.0,0.6,False,13746,False
All PPAC,ADGRG1,GPR56,clinical,40.26,23.24,28.57,40.26,0.6,False,13746,False
PPAC_1,CD96,CD96,clinical,3.02,33.01,61.54,2.41,3.02,True,4887,False
PPAC_1,SUCNR1,SUCNR1,discovered,7.12,30.1,53.85,6.31,7.12,True,4887,False
PPAC_1,TNFRSF4,TNFRSF4,discovered,0.56,29.73,30.77,0.56,0.12,True,4887,False
PPAC_1,CD9,CD9,discovered,7.61,28.85,84.62,7.61,6.51,True,4887,False
PPAC_1,SLC7A6,SLC7A6,discovered,8.72,27.54,46.15,8.72,5.67,True,4887,False
PPAC_1,CD33,CD33,clinical,28.71,51.2,61.54,16.7,28.71,False,4887,False
PPAC_1,IL3RA,CD123,clinical,12.62,52.45,92.31,12.62,7.36,False,4887,False
PPAC_1,CLEC12A,CLL-1,clinical,29.67,35.54,69.23,9.46,29.67,False,4887,False
PPAC_1,FLT3,FLT3,clinical,53.06,79.72,92.31,53.06,24.13,False,4887,False
PPAC_1,MSLN,MSLN,clinical,17.13,3.13,7.69,0.0,17.13,False,4887,False
PPAC_1,CD70,CD70,clinical,0.6,0.88,0.0,0.0,0.6,False,4887,False
PPAC_1,ADGRG1,GPR56,clinical,40.26,34.75,61.54,40.26,0.6,False,4887,False
PPAC_1,IL1RAP,IL1RAP,clinical,9.65,25.99,30.77,5.75,9.65,False,4887,False
PPAC_2,CD96,CD96,clinical,3.02,59.97,75.0,2.41,3.02,True,3355,False
PPAC_2,CD9,CD9,discovered,7.61,49.75,68.75,7.61,6.51,True,3355,False
PPAC_2,CD7,CD7,discovered,9.09,47.3,43.75,9.09,3.26,True,3355,False
PPAC_2,SUCNR1,SUCNR1,discovered,7.12,42.32,62.5,6.31,7.12,True,3355,False
PPAC_2,UMODL1,UMODL1,discovered,1.48,30.82,37.5,1.48,1.09,True,3355,False
PPAC_2,CD33,CD33,clinical,28.71,29.96,56.25,16.7,28.71,False,3355,False
PPAC_2,IL3RA,CD123,clinical,12.62,42.86,75.0,12.62,7.36,False,3355,False
PPAC_2,CLEC12A,CLL-1,clinical,29.67,46.38,75.0,9.46,29.67,False,3355,False
PPAC_2,FLT3,FLT3,clinical,53.06,76.54,93.75,53.06,24.13,False,3355,False
PPAC_2,MSLN,MSLN,clinical,17.13,1.73,6.25,0.0,17.13,False,3355,False
PPAC_2,CD70,CD70,clinical,0.6,5.19,12.5,0.0,0.6,False,3355,False
PPAC_2,ADGRG1,GPR56,clinical,40.26,28.05,56.25,40.26,0.6,False,3355,False
PPAC_2,IL1RAP,IL1RAP,clinical,9.65,23.43,50.0,5.75,9.65,False,3355,False
PPAC_3,ABCA7,ABCA7,discovered,9.77,38.41,35.29,5.57,9.77,True,2325,False
PPAC_3,ITGAX,ITGAX,discovered,6.63,34.41,47.06,0.93,6.63,True,2325,False
PPAC_3,LAMP5,LAMP5,discovered,1.81,25.29,17.65,0.19,1.81,True,2325,False
PPAC_3,FCGR2A,FCGR2A,discovered,7.0,23.83,35.29,0.74,7.0,True,2325,False
PPAC_3,CD9,CD9,discovered,7.61,22.28,52.94,7.61,6.51,True,2325,False
PPAC_3,CD96,CD96,clinical,3.02,8.52,47.06,2.41,3.02,False,2325,False
PPAC_3,CD33,CD33,clinical,28.71,30.92,70.59,16.7,28.71,False,2325,False
PPAC_3,IL3RA,CD123,clinical,12.62,24.34,76.47,12.62,7.36,False,2325,False
PPAC_3,CLEC12A,CLL-1,clinical,29.67,26.58,64.71,9.46,29.67,False,2325,False
PPAC_3,FLT3,FLT3,clinical,53.06,40.69,88.24,53.06,24.13,False,2325,False
PPAC_3,MSLN,MSLN,clinical,17.13,51.48,23.53,0.0,17.13,False,2325,False
PPAC_3,CD70,CD70,clinical,0.6,15.23,5.88,0.0,0.6,False,2325,False
PPAC_3,ADGRG1,GPR56,clinical,40.26,3.1,23.53,40.26,0.6,False,2325,False
PPAC_3,IL1RAP,IL1RAP,clinical,9.65,15.14,47.06,5.75,9.65,False,2325,False
PPAC_4,CD96,CD96,clinical,3.02,34.97,71.43,2.41,3.02,True,2033,False
PPAC_4,CD9,CD9,discovered,7.61,28.38,57.14,7.61,6.51,True,2033,False
PPAC_4,FGFR1,FGFR1,discovered,6.03,21.64,47.62,5.57,6.03,True,2033,False
PPAC_4,FURIN,FURIN,discovered,9.83,19.68,47.62,9.83,7.12,True,2033,False
PPAC_4,SUSD1,SUSD1,discovered,8.91,18.99,42.86,8.91,7.84,True,2033,False
PPAC_4,CD33,CD33,clinical,28.71,34.97,76.19,16.7,28.71,False,2033,False
PPAC_4,IL3RA,CD123,clinical,12.62,22.33,57.14,12.62,7.36,False,2033,False
PPAC_4,CLEC12A,CLL-1,clinical,29.67,38.07,71.43,9.46,29.67,False,2033,False
PPAC_4,FLT3,FLT3,clinical,53.06,46.73,85.71,53.06,24.13,False,2033,False
PPAC_4,MSLN,MSLN,clinical,17.13,12.54,19.05,0.0,17.13,False,2033,False
PPAC_4,CD70,CD70,clinical,0.6,3.64,9.52,0.0,0.6,False,2033,False
PPAC_4,ADGRG1,GPR56,clinical,40.26,10.03,23.81,40.26,0.6,False,2033,False
PPAC_4,IL1RAP,IL1RAP,clinical,9.65,17.02,42.86,5.75,9.65,False,2033,False
PPAC_5,CD9,CD9,discovered,7.61,55.93,50.0,7.61,6.51,True,1146,True
PPAC_5,DPEP3,DPEP3,discovered,3.53,44.24,50.0,3.53,1.81,True,1146,True
PPAC_5,AMN,AMN,discovered,4.64,36.39,50.0,4.64,4.1,True,1146,True
PPAC_5,ITGAX,ITGAX,discovered,6.63,29.84,50.0,0.93,6.63,True,1146,True
PPAC_5,MRC2,MRC2,discovered,7.42,28.62,50.0,7.42,4.83,True,1146,True
PPAC_5,CD96,CD96,clinical,3.02,0.52,0.0,2.41,3.02,False,1146,True
PPAC_5,CD33,CD33,clinical,28.71,54.1,50.0,16.7,28.71,False,1146,True
PPAC_5,IL3RA,CD123,clinical,12.62,55.24,50.0,12.62,7.36,False,1146,True
PPAC_5,CLEC12A,CLL-1,clinical,29.67,29.93,50.0,9.46,29.67,False,1146,True
PPAC_5,FLT3,FLT3,clinical,53.06,65.71,50.0,53.06,24.13,False,1146,True
PPAC_5,MSLN,MSLN,clinical,17.13,65.97,50.0,0.0,17.13,False,1146,True
PPAC_5,CD70,CD70,clinical,0.6,0.0,0.0,0.0,0.6,False,1146,True
PPAC_5,ADGRG1,GPR56,clinical,40.26,24.35,50.0,40.26,0.6,False,1146,True
PPAC_5,IL1RAP,IL1RAP,clinical,9.65,20.51,50.0,5.75,9.65,False,1146,True
