group,gene,label,cov_pct,rec_pct,HSPC,Myeloid,n_contrib_patients,clinical
PPAC_1,ABCA1,ABCA1,7.18,0.0,2.41,2.17,13,False
PPAC_1,ABCA12,ABCA12,0.06,0.0,0.19,0.0,13,False
PPAC_1,ABCA13,ABCA13,2.37,0.0,3.53,0.72,13,False
PPAC_1,ABCA3,ABCA3,1.76,0.0,1.11,0.6,13,False
PPAC_1,ABCA4,ABCA4,0.0,0.0,0.0,0.0,13,False
PPAC_1,ABCA5,ABCA5,3.4,0.0,5.75,1.09,13,False
PPAC_1,ABCA6,ABCA6,5.85,15.38,0.19,0.48,13,False
PPAC_1,ABCA7,ABCA7,16.37,30.77,5.57,9.77,13,False
PPAC_1,ABCA8,ABCA8,0.04,0.0,0.0,0.0,13,False
PPAC_1,ABCA9,ABCA9,6.34,7.69,0.0,0.0,13,False
PPAC_1,ABCB11,ABCB11,0.06,0.0,0.19,0.0,13,False
PPAC_1,ABCB4,ABCB4,0.14,0.0,0.19,0.24,13,False
PPAC_1,ABCB5,ABCB5,0.08,0.0,0.0,0.0,13,False
PPAC_1,ABCB9,ABCB9,2.62,0.0,2.97,1.69,13,False
PPAC_1,ABCC10,ABCC10,7.67,0.0,4.27,2.29,13,False
PPAC_1,ABCC11,ABCC11,0.57,0.0,0.0,0.24,13,False
PPAC_1,ABCC2,ABCC2,0.41,0.0,0.19,0.24,13,False
PPAC_1,ABCC3,ABCC3,0.0,0.0,0.0,0.36,13,False
PPAC_1,ABCC5,ABCC5,14.94,7.69,7.79,4.22,13,False
PPAC_1,ABCC9,ABCC9,0.02,0.0,0.0,0.0,13,False
PPAC_1,ABCG2,ABCG2,0.16,0.0,0.56,0.12,13,False
PPAC_1,ABCG4,ABCG4,0.0,0.0,0.0,0.0,13,False
PPAC_1,ACE,ACE,1.86,0.0,1.11,0.36,13,False
PPAC_1,ACE2,ACE2,0.02,0.0,0.0,0.0,13,False
PPAC_1,ACHE,ACHE,0.06,0.0,0.37,0.0,13,False
PPAC_1,ACKR1,ACKR1,0.0,0.0,0.0,0.12,13,False
PPAC_1,ACKR2,ACKR2,0.06,0.0,0.0,0.0,13,False
PPAC_1,ACKR3,ACKR3,1.68,0.0,1.3,1.21,13,False
PPAC_1,ACKR4,ACKR4,0.39,0.0,0.0,0.12,13,False
PPAC_1,ACVR1,ACVR1,10.05,7.69,2.23,1.21,13,False
PPAC_1,ACVR1B,ACVR1B,4.83,0.0,4.45,4.58,13,False
PPAC_1,ACVR1C,ACVR1C,0.2,0.0,0.19,0.0,13,False
PPAC_1,ACVR2A,ACVR2A,0.41,0.0,1.86,0.12,13,False
PPAC_1,ACVR2B,ACVR2B,0.39,0.0,2.41,1.57,13,False
PPAC_1,ACVRL1,ACVRL1,0.08,0.0,0.19,1.81,13,False
PPAC_1,ADAM11,ADAM11,0.55,0.0,0.74,0.12,13,False
PPAC_1,ADAM12,ADAM12,0.57,0.0,0.37,0.24,13,False
PPAC_1,ADAM19,ADAM19,0.9,0.0,0.93,0.24,13,False
PPAC_1,ADAM20,ADAM20,0.1,0.0,0.0,0.0,13,False
PPAC_1,ADAM21,ADAM21,0.04,0.0,0.19,0.0,13,False
PPAC_1,ADAM22,ADAM22,2.5,0.0,8.91,0.6,13,False
PPAC_1,ADAM23,ADAM23,0.63,0.0,0.0,0.24,13,False
PPAC_1,ADAM30,ADAM30,0.0,0.0,0.0,0.0,13,False
PPAC_1,ADAM32,ADAM32,0.06,0.0,1.3,0.36,13,False
PPAC_1,ADAM33,ADAM33,0.0,0.0,0.0,0.0,13,False
PPAC_1,ADAM9,ADAM9,3.74,0.0,4.82,6.63,13,False
PPAC_1,ADCY2,ADCY2,5.79,7.69,0.0,0.0,13,False
PPAC_1,ADCY5,ADCY5,0.0,0.0,0.0,0.0,13,False
PPAC_1,ADCY6,ADCY6,5.63,0.0,1.11,1.21,13,False
PPAC_1,ADCY9,ADCY9,2.46,0.0,1.67,6.39,13,False
PPAC_1,ADORA1,ADORA1,0.0,0.0,0.0,0.0,13,False
PPAC_1,ADORA2A,ADORA2A,2.46,0.0,1.86,1.57,13,False
PPAC_1,ADORA2B,ADORA2B,4.19,0.0,2.41,1.81,13,False
PPAC_1,ADORA3,ADORA3,0.18,0.0,0.0,0.12,13,False
PPAC_1,ADRA1B,ADRA1B,0.02,0.0,0.0,0.0,13,False
PPAC_1,ADRA1D,ADRA1D,0.1,0.0,0.0,0.0,13,False
PPAC_1,ADRA2A,ADRA2A,0.74,0.0,3.71,0.12,13,False
PPAC_1,ADRA2B,ADRA2B,0.08,0.0,0.0,0.12,13,False
PPAC_1,ADRA2C,ADRA2C,0.1,0.0,0.0,0.0,13,False
PPAC_1,ADRB1,ADRB1,1.6,0.0,0.74,1.33,13,False
PPAC_1,ADRB3,ADRB3,0.02,0.0,0.0,0.0,13,False
PPAC_1,AGER,AGER,4.58,0.0,3.53,2.65,13,False
PPAC_1,AGTR1,AGTR1,0.0,0.0,0.0,0.0,13,False
PPAC_1,AJAP1,AJAP1,0.0,0.0,0.0,0.0,13,False
PPAC_1,ALK,ALK,0.08,0.0,0.0,0.0,13,False
PPAC_1,ALPL,ALPL,0.0,0.0,0.0,0.0,13,False
PPAC_1,ALPP,ALPP,0.04,0.0,0.0,0.0,13,False
PPAC_1,AMHR2,AMHR2,0.02,0.0,0.37,0.0,13,False
PPAC_1,AMIGO1,AMIGO1,0.41,0.0,0.37,0.36,13,False
PPAC_1,AMIGO2,AMIGO2,0.86,0.0,0.37,0.6,13,False
PPAC_1,AMIGO3,AMIGO3,0.02,0.0,0.0,0.12,13,False
PPAC_1,AMN,AMN,22.08,38.46,4.64,4.1,13,False
PPAC_1,ANKH,ANKH,1.74,0.0,9.28,4.22,13,False
PPAC_1,ANO1,ANO1,0.0,0.0,0.0,0.0,13,False
PPAC_1,ANO2,ANO2,0.1,0.0,0.0,0.0,13,False
PPAC_1,ANO5,ANO5,0.1,0.0,1.3,0.24,13,False
PPAC_1,ANO7,ANO7,1.21,0.0,0.56,0.97,13,False
PPAC_1,ANO9,ANO9,0.29,0.0,1.86,0.0,13,False
PPAC_1,ANTXR1,ANTXR1,0.04,0.0,0.37,0.0,13,False
PPAC_1,ANTXRL,ANTXRL,0.02,0.0,0.0,0.0,13,False
PPAC_1,AOC3,AOC3,0.04,0.0,0.0,0.0,13,False
PPAC_1,APCDD1,APCDD1,0.47,0.0,0.37,0.36,13,False
PPAC_1,APLNR,APLNR,0.0,0.0,0.0,0.0,13,False
PPAC_1,APLP1,APLP1,0.02,0.0,0.0,0.0,13,False
PPAC_1,AQP1,AQP1,0.06,0.0,0.0,0.12,13,False
PPAC_1,AQP10,AQP10,0.08,0.0,0.19,0.0,13,False
PPAC_1,AQP5,AQP5,0.0,0.0,0.0,0.0,13,False
PPAC_1,AQP8,AQP8,0.04,0.0,0.0,0.0,13,False
PPAC_1,AQP9,AQP9,0.04,0.0,0.0,0.12,13,False
PPAC_1,ART3,ART3,0.02,0.0,0.0,0.12,13,False
PPAC_1,ART4,ART4,0.02,0.0,0.0,0.0,13,False
PPAC_1,ASGR2,ASGR2,0.94,0.0,0.37,3.74,13,False
PPAC_1,ASIC1,ASIC1,0.2,0.0,0.19,0.36,13,False
PPAC_1,ASIC4,ASIC4,0.0,0.0,0.0,0.0,13,False
PPAC_1,ASTN1,ASTN1,0.02,0.0,0.0,0.0,13,False
PPAC_1,ASTN2,ASTN2,0.29,0.0,0.19,0.0,13,False
PPAC_1,ATG9A,ATG9A,10.42,7.69,9.09,4.7,13,False
PPAC_1,ATP1A2,ATP1A2,0.0,0.0,0.0,0.12,13,False
PPAC_1,ATP1A3,ATP1A3,3.07,0.0,3.9,0.6,13,False
PPAC_1,ATP1A4,ATP1A4,0.04,0.0,0.0,0.0,13,False
PPAC_1,ATP1B2,ATP1B2,0.1,0.0,0.74,0.0,13,False
PPAC_1,ATP1B4,ATP1B4,0.02,0.0,0.0,0.0,13,False
PPAC_1,ATP2B2,ATP2B2,0.02,0.0,0.0,0.0,13,False
PPAC_1,ATP2B3,ATP2B3,0.02,0.0,0.0,0.36,13,False
PPAC_1,ATP4B,ATP4B,0.0,0.0,0.0,0.0,13,False
PPAC_1,ATRNL1,ATRNL1,0.02,0.0,0.0,0.0,13,False
PPAC_1,AVPR1A,AVPR1A,1.21,0.0,0.19,0.0,13,False
PPAC_1,AVPR1B,AVPR1B,0.04,0.0,1.3,0.0,13,False
PPAC_1,AVPR2,AVPR2,0.12,0.0,0.0,0.0,13,False
PPAC_1,AXL,AXL,0.06,0.0,0.0,0.24,13,False
PPAC_1,BACE2,BACE2,1.23,0.0,4.27,0.6,13,False
PPAC_1,BAMBI,BAMBI,2.25,0.0,1.3,0.84,13,False
PPAC_1,BCAM,BCAM,2.62,0.0,4.82,0.6,13,False
PPAC_1,BCAN,BCAN,0.04,0.0,0.0,0.0,13,False
PPAC_1,BEST2,BEST2,0.02,0.0,0.0,0.0,13,False
PPAC_1,BEST4,BEST4,0.37,0.0,0.74,0.12,13,False
PPAC_1,BMPR1A,BMPR1A,0.61,0.0,0.19,0.6,13,False
PPAC_1,BOC,BOC,0.68,0.0,0.0,0.0,13,False
PPAC_1,BTC,BTC,0.0,0.0,0.56,0.0,13,False
PPAC_1,BTLA,BTLA,1.1,0.0,0.0,0.24,13,False
PPAC_1,BTN1A1,BTN1A1,0.02,0.0,0.0,0.0,13,False
PPAC_1,BTN2A2,BTN2A2,8.14,0.0,6.31,5.07,13,False
PPAC_1,BTN3A1,BTN3A1,12.5,0.0,7.79,3.5,13,False
PPAC_1,BTN3A3,BTN3A3,11.03,7.69,7.24,2.41,13,False
PPAC_1,BTNL3,BTNL3,0.0,0.0,0.0,0.0,13,False
PPAC_1,BTNL9,BTNL9,0.06,0.0,0.0,0.0,13,False
PPAC_1,BVES,BVES,0.02,0.0,0.0,0.0,13,False
PPAC_1,C11orf24,C11orf24,7.71,0.0,7.79,8.08,13,False
PPAC_1,C14orf132,C14orf132,0.0,0.0,0.19,0.0,13,False
PPAC_1,C19orf18,C19orf18,0.18,0.0,0.0,0.0,13,False
PPAC_1,C1orf159,C1orf159,5.07,0.0,5.75,5.19,13,False
PPAC_1,C3AR1,C3AR1,5.95,0.0,0.0,0.36,13,False
PPAC_1,C5AR1,C5AR1,0.1,0.0,0.74,1.57,13,False
PPAC_1,C5AR2,C5AR2,0.04,0.0,0.19,0.48,13,False
PPAC_1,CA12,CA12,0.0,0.0,0.0,0.0,13,False
PPAC_1,CA14,CA14,0.08,0.0,0.0,0.0,13,False
PPAC_1,CA4,CA4,0.0,0.0,0.0,0.0,13,False
PPAC_1,CACHD1,CACHD1,2.54,0.0,2.78,0.24,13,False
PPAC_1,CACNA1C,CACNA1C,1.23,0.0,1.48,0.36,13,False
PPAC_1,CACNA1G,CACNA1G,0.02,0.0,0.37,0.12,13,False
PPAC_1,CACNA1I,CACNA1I,0.0,0.0,0.0,0.0,13,False
PPAC_1,CACNG4,CACNG4,0.02,0.0,0.0,0.0,13,False
PPAC_1,CACNG6,CACNG6,0.04,0.0,0.0,0.0,13,False
PPAC_1,CACNG7,CACNG7,0.0,0.0,0.0,0.0,13,False
PPAC_1,CACNG8,CACNG8,0.14,0.0,0.0,0.0,13,False
PPAC_1,CADM1,CADM1,0.53,0.0,0.19,0.12,13,False
PPAC_1,CADM2,CADM2,0.1,0.0,0.37,0.0,13,False
PPAC_1,CADM3,CADM3,0.02,0.0,0.0,0.0,13,False
PPAC_1,CADM4,CADM4,0.16,0.0,0.0,0.12,13,False
PPAC_1,CALCRL,CALCRL,15.16,7.69,8.35,0.72,13,False
PPAC_1,CALY,CALY,0.02,0.0,0.0,0.0,13,False
PPAC_1,CASR,CASR,0.0,0.0,0.0,0.0,13,False
PPAC_1,CATSPERD,CATSPERD,0.02,0.0,0.0,0.12,13,False
