Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0_HealthyBM1,-0.07301043,-0.124212936,-0.3880566,-0.093397595,0.1532249,0.15024745,-0.012012445,-0.17290826,0.11711663,-0.12687282,-0.029004462,-0.015409287,-0.05668156,-0.064616755,0.1909246,0.04916457,-0.0034807925,0.010408784,-0.019082956,-0.022476856,-0.033881407,0.08892318,0.054149598,0.012017408,0.0043799705,-0.10087778,-0.0781729,-0.028632004,0.020983232,0.100591674,-0.035557903,0.054751404,0.01437009,0.03344942,0.048731197,0.014767219,-0.010029084,0.04515367,-0.047500126,-0.01224691,-0.011264282,0.06625036,0.0058717187,0.04801922,2.2903423e-05,0.07441911,-0.023020186,0.04559335,0.025442468,0.0038015791
0_HealthyBM2,-0.100539945,-0.14020784,-0.33184722,-0.09497632,0.14273675,0.090273395,-0.032665458,-0.1447621,0.060125742,-0.08231534,-0.04335815,-0.016133504,-0.096024185,-0.076805204,0.12257387,0.04055053,-0.024444086,-0.015083011,-0.020350037,0.014094911,-0.021299537,0.043995272,0.033719003,0.0056748814,0.016205488,-0.074912846,-0.070330076,-0.032011643,0.0066057844,0.058811,-0.029336754,0.04472567,0.003004031,0.039655667,0.045006968,0.009202203,-0.034008376,0.041281074,-0.014404585,-0.007046296,-0.0022767112,0.037127167,-0.006653298,0.027275557,0.0036815787,0.04746124,-0.027649652,0.031466395,0.022741234,0.0019658392
AML335-M5a-FLT3/ITD,0.017087283,0.048991274,-0.03001303,0.002328762,-0.102613166,-0.024824373,-0.037079684,-0.004017846,-0.011193865,0.04329845,-0.012447002,0.0041072485,-0.014509402,0.002316077,-0.012796488,-0.06860047,-0.015414015,-0.023335882,-0.012400792,-0.018789556,0.0060444647,-0.017881151,-0.010165196,-0.013681231,-0.004305751,-0.014419532,0.025745535,0.0020016595,-0.015112066,-0.019068386,-0.0028474648,-0.00028363947,-0.00048976205,-0.003142587,-0.005437051,0.00047579609,0.0066211517,0.024930011,0.00212503,-0.0002871649,0.00147996,-0.00659356,-0.006865327,-0.0024929205,0.0057832766,-0.0059777307,0.012903362,0.031627007,0.009142756,0.0003667887
AML647-M4-del7q,0.06868145,-0.093338735,0.02077296,-0.050326362,0.06091928,-0.018970843,0.09269341,0.0022151498,0.009410163,0.07099652,0.030063132,-0.025194,-0.03682481,-0.0061193462,-0.0137998555,-0.004280148,0.040440954,0.133348,0.021020427,0.06370418,0.05475974,0.003214335,-0.015865993,-0.013164642,-0.049491033,0.031922393,-0.042737152,0.065541536,0.01200557,-0.035427872,-0.025623493,-0.011775559,0.0077825687,-0.0043687527,0.046231072,0.028891446,0.0863807,-0.008770763,0.029872362,-0.0019478225,-0.0003709977,-0.026293159,-0.020456443,0.006344971,-0.008484676,0.003518472,-0.017346509,-0.0022717693,0.02535091,0.034478754
AML882-MPAL-t(7;14)(q21;q32),-0.014888724,-0.030659894,-0.040084038,-0.06484784,-0.07872352,0.023622336,0.015501641,0.031748828,0.058600366,0.018551933,0.10045681,0.0041336482,0.08222472,0.10877067,-0.07560054,0.058720652,-0.0014587273,0.048425213,0.009280389,0.03838003,0.037291788,-0.00810801,0.025422458,-0.03481213,-0.027468149,-0.017379796,0.009791822,0.053465858,0.023197277,-0.037325125,-0.0021631543,0.04066711,0.0062956037,0.016607607,0.021755261,0.0024517085,0.009755942,0.041640345,0.026172204,-0.0097950725,0.0075604217,0.009275334,0.021522764,-0.044136338,0.009261347,0.021024745,0.00022197138,-0.026876016,0.012278477,0.009694336
AML948-M2-FLT3/ITD,-0.0070288363,-0.010977184,0.045172222,0.0006622875,-0.024479147,-0.0019652804,-0.04520674,-0.014707654,-0.007046626,-0.011903246,0.01728068,0.02152991,-0.016808977,-0.005168713,0.011394264,0.005455391,0.0037465654,-0.013411196,-0.027408406,0.033523653,0.012952425,-0.0057262545,-0.01551734,-0.028210754,-0.010016911,-0.03223956,0.013701399,-0.016237352,-0.014849061,-0.0008610731,0.007837071,-0.0014058503,-0.011279436,0.0041755107,-0.023818463,0.004669647,-0.010695089,0.0189484,0.011428207,-0.0005167663,-0.0047586123,0.0024695243,-0.0048049926,-0.0060395603,-0.0050636847,-0.01052064,-0.008808221,7.9852936e-05,0.0022916503,-0.009164051
AML1355-M3-PML/RARA,-0.051970854,0.056651264,-0.027923904,0.076826595,0.013451766,-0.018360445,-0.047927517,0.0015708023,-0.0325449,-0.008907395,-0.0035458645,0.013621921,-0.026048597,0.017194692,0.035768326,0.029731665,-0.014123293,-0.026171068,0.010200037,0.008832247,0.013363729,-0.015745586,-0.011877075,0.024910823,0.003950966,0.021949971,0.017370068,-0.0012943478,0.00829066,-0.00953407,0.026073908,-0.002270173,-0.006061826,6.25532e-05,-0.0019212846,0.013778257,0.0063306266,-0.013203077,-0.0073848614,-0.017447721,-0.013345873,-0.0041732187,-0.017382387,0.007957125,-0.011714344,-0.013278358,-0.00250233,0.0027634744,0.0030373693,0.010689183
AML3082-M4Eo-CBFB/MYH11,0.024807665,-0.030569317,0.014221204,0.0074362056,-0.0058984486,-0.019501483,0.03511606,0.048838444,-0.009893949,-0.032303896,-0.00076802395,0.019954767,0.029047115,-0.024334272,0.008511649,-0.023750724,0.027291765,-0.03250555,0.01888992,-0.056622274,0.0012013093,0.031729367,0.012864725,-0.013039796,0.04389584,0.025786575,-0.01563528,-0.023030765,-0.025348047,0.0026649302,0.018846676,-0.00029898985,0.024989586,-0.023478054,-0.007927471,3.5114834e-05,-0.017419219,-0.010258934,-0.026550608,-0.04677024,-0.017614583,-0.029292405,-0.0050945296,0.0035008094,0.00913164,0.0075339805,0.0059024086,-0.00024839814,-0.009793538,-0.012174139
AML3121-MPAL-t(2;3)(p15;q26.2),-0.01652174,-0.046320014,0.053076755,0.0048656533,-0.022387136,-0.007913073,-0.020827645,-0.017895123,0.016515832,0.017797822,0.01496748,0.009105744,0.033130452,0.007920827,-0.007287404,-0.0038121066,0.0009429193,0.038608033,-0.015703404,0.03223154,-0.022384133,0.018823344,-0.008627123,-0.028505845,-0.002328866,-0.015037331,0.01148028,-0.022972869,0.0025040272,-0.021191373,0.016796194,0.006578491,-0.003870876,0.0010693046,0.0029553126,-0.002751331,-0.0003919296,0.0038346883,0.006726671,0.00067665975,0.012098933,-0.0058280807,-0.0015637567,0.00065616966,-0.0053171283,-0.008611349,-0.0051394603,0.00498915,-0.0023952266,-0.0005279098
AML3210-M5a-MLLr,-0.00020130585,0.17009665,-0.040695414,-0.027861623,-0.005849482,0.037963025,0.001629548,-0.046949085,-0.0072098975,-0.029181413,0.00682135,-0.026674932,0.02789607,0.008567272,-0.017880972,0.017831624,-0.010552326,0.02691617,-0.011175994,-0.010714614,-0.028950015,-0.0072195064,-0.009742954,-0.003978205,-0.012225358,0.013425518,0.0058618803,0.0039245808,0.0033758592,0.0017287539,0.0075420532,0.020804143,-0.0004960761,0.002619736,-0.0093727,0.0060461066,-0.0037431004,0.0034929079,-0.009232975,-0.0087763285,-0.009312474,0.0019762008,0.01831657,0.0005887512,-0.003455998,0.0049679456,0.0059939264,-0.0055343932,0.00915115,0.011749151
AML3371-M5b-FLT3/ITD-Tri(15),-0.014402011,-0.03130992,0.02295899,0.050479032,0.0012643895,-0.015093949,0.043941937,0.017452246,0.005214073,-0.033066433,0.0068954867,0.004566534,-0.008923503,-0.011850853,0.038055968,0.0074132616,0.014194658,-0.0155475065,-0.020337947,0.013102718,-0.0017286266,-0.0027283635,0.0037557662,0.01171952,-0.011436737,0.015124713,0.020502608,-0.011625799,0.0033083493,-0.007962497,-0.0057217777,-0.03222442,-0.014498632,0.0028594362,-0.0010129408,0.011957639,0.012753155,0.019541442,0.014421975,0.000293655,-0.005093667,0.018257855,-0.00103702,0.0059918477,-0.005593273,0.0019009833,-0.0010612222,-0.013120842,-0.006828796,-0.0037796476
AML3492-M3-PML/RARA,-0.022487653,-0.009236887,-0.018594012,0.08097105,-0.01576757,-0.009259635,-0.0008615286,0.0080305785,-0.016408656,-0.0045308345,-0.012848459,0.0065480075,-0.010238257,-0.0007765381,0.018509367,0.035480313,0.005419568,-0.011628509,-0.022104353,0.0033481296,0.0063705323,-0.012850532,-0.016013606,0.015825244,0.0025542777,0.015098109,0.011718689,0.008930615,0.014094108,-0.0008404692,0.011182651,-0.007791642,-0.018989429,0.0016308811,-0.003994512,0.0148466,-0.009306962,0.0019586084,0.0055231,-0.009430621,-0.0052527236,-0.00022641559,0.0055515566,0.003333025,-0.0015269265,-0.023923896,0.013897129,-0.012138902,-0.018273998,0.0060042916
AML4000-M2-MLLr,0.026002334,-0.01931074,0.034860466,0.034153458,0.07829384,-0.017432617,-5.0919284e-06,0.01812366,-0.054447416,-0.0084639825,-0.005465806,-0.03527158,-0.03618691,0.0010100933,-0.006426909,-0.023846744,-0.038986113,0.03190655,-0.0024164713,-0.009572062,0.012266144,-0.0019017747,0.03140377,0.013751002,0.004451419,0.009999451,0.005736279,0.0063296044,0.018373458,-0.0025136978,-0.027934304,0.022595057,0.0011744736,-0.016818697,-0.006432957,0.031094285,0.00952521,-0.023124395,0.017323973,0.00026909425,-0.015818287,-0.024106761,-0.0039052237,0.010712037,-0.0013610985,-0.017164743,-0.0058575296,0.0033099179,0.007005406,0.0026965535
AML4010-FLT3/ITD,0.05809969,-0.07677733,0.04721589,0.1228501,0.1639512,0.025817469,-0.060762256,-0.030309182,-0.049923517,-0.011721131,-0.08370868,-0.06461291,-0.026854947,0.00043851446,-0.005114142,0.08825958,-0.048266903,0.02146515,0.05136144,-0.0033005225,-0.03556217,0.021738112,0.123570934,-0.035205808,-0.029023848,-0.02282382,0.055584036,0.05997763,0.050581325,0.031577118,0.005800491,-0.00056293415,-0.0046993694,0.013084503,0.023983877,0.08623074,0.06490309,-0.037223145,-0.011912507,0.0030901572,0.010626473,0.009320342,-0.021014975,0.06250638,-0.0556041,0.0011220385,-0.008540078,0.025231699,-0.053601522,-0.034113202
AML4035-M6-MYB/GATA1,-0.037607234,-0.049659096,-0.04974564,-0.003571056,0.021055184,0.017234454,-0.019502368,-0.016051471,0.010128529,0.010384162,-0.005184384,-0.003605036,0.005981157,-0.01697932,-0.011811711,-0.013213983,0.005114368,0.008608793,-0.004815424,0.007834925,-0.0130396765,0.008630459,-0.013083175,0.005427234,0.00025947476,-0.013390805,-0.007604789,-0.007558048,-0.004451142,0.013452227,0.00082366687,-0.019412456,-0.00095763284,-0.0033060734,-0.008601731,-0.006024496,-0.009148998,-0.0038762395,0.002229715,0.0006091548,-0.0010306528,-0.004995229,-0.004510541,-0.005238518,-0.0012153616,-0.017832413,0.0053346874,0.0026455116,3.0488676e-05,0.0027294636
AML4048-M5-MLLr,0.15554695,0.33089033,-0.05152526,-0.24448277,-0.027888363,0.1256782,-0.048733577,-0.066394225,-0.06788439,0.15114966,-0.15165713,-0.07541465,0.044741433,0.039758943,-0.055422537,0.008026202,-0.010066361,0.0939065,0.01650729,0.02213745,0.06713945,-0.032672297,0.06944745,0.0025101737,-0.00772906,0.09225123,0.012478847,-0.019058585,-0.07770914,-0.015537213,0.039869305,-0.0033003516,0.0072705224,-0.02022152,-0.019357825,0.0077976733,0.018848417,0.004136608,0.016690362,0.015013295,0.0014963715,0.022348695,-0.040327433,0.071054496,0.031826098,0.039499488,0.05033785,0.056862853,0.08300031,0.028119525
AML4062-CBFB/MYH11,0.51443595,0.4869482,0.08798422,-0.4024813,0.37443453,0.34180498,-0.17107406,0.059804447,0.1430795,0.028195608,0.089284666,-0.12322137,0.13166733,0.21506107,-0.06597777,-0.09985778,0.088004455,-0.2173269,0.1925668,-0.18994096,0.035635114,0.014243296,0.009730021,0.1914649,0.19805694,0.04042264,-0.27225277,0.26475346,-0.13108376,0.0049137506,0.2534957,0.12153876,0.20849179,-0.18286431,0.08501451,-0.022464527,-0.07809578,0.07379258,-0.061253663,-0.15203765,-0.12336022,-0.1318609,-0.03637865,-0.046264935,0.09815861,0.02295011,0.09409164,-0.09530871,-0.109431215,0.014079284
AML4068-M5b-FLT3/TKD,0.0013387385,0.007758578,0.018847212,-0.03279769,-0.046500687,-0.0039576897,-0.014177371,-0.009621215,-0.010321814,0.006133482,-0.0134055745,0.0067736013,-0.018889064,-0.02281225,-0.002702113,-0.011948065,0.0019779638,-0.017172925,-0.017802404,0.0019730856,0.0048967195,0.003988852,-0.022067515,-0.006387544,-0.0053705024,-0.0077050426,0.009073121,0.0059084957,0.009706567,0.012016109,-0.017796196,-0.024394149,-0.0039439606,-0.002735078,-0.023287574,0.010919803,-0.008234362,-0.0068054483,0.005970582,-0.0095524,-0.011573774,0.004537241,0.011902523,-0.012401812,-0.011384184,0.0002822884,-0.014694535,0.005405376,-0.0018400821,0.010134468
