Mixture,AML_16,AML_19,AML_6,AML_15,AML_1,AML_8,AML_24,AML_2,AML_9,AML_10,AML_13,AML_4,AML_12,AML_5,AML_11,AML_20,AML_26,AML_7,AML_18,AML_23,AML_14,AML_17,AML_21,AML_3,AML_22,Myeloid_Pro,AML_27,AML_25,0_HSPC,P-value,Correlation,RMSE
TARGET.20.PAUPTI.09A,0.00637786254964033,0,0.0207151703424811,0.00931395214087872,0,0,0.0177067076178462,0,0,0,0,0.0304924984076959,0,0.0158525771886124,0,0,0.00759104279383152,0.112362396960881,0.0359575841097637,0,0.0109005366969025,0,0.0995340782751865,0.578994795587759,0.00236271346594166,0.0518380838625792,0,0,0,0,0.639959694696908,0.776097344183665
TARGET.20.PATJVL.09A,0.017475250570718,0,0,0.0156328855150757,0,0,0.0162052152408506,0,0,0,0,0.0554704109583685,0.17340232861778,0.0941199425460323,0.0654775990468759,0,0,0.0560668653319685,0.0169241585313741,0,0,0.001646402291103,0.0790224041407864,0.305670017458294,0,0.102886519750773,0,0,0,0,0.566384539300798,0.837705577654841
TARGET.20.PAXDMP.09A,0,0,0,0,0,0,0.118178778376621,0.0392494541517191,0,0.058905142816326,0,0.11080944003802,0.0693626350782862,0.0629163176755233,0.120438593047787,0.0446044342504252,0,0.0126032036321307,0.0414337513626947,0,0,0,0.140153246197643,0.0957957282353753,0,0.0839466996904274,0,0.00160257544702065,0,0,0.832398728410062,0.554010499261365
TARGET.20.PAWWEE.09A,0.071321726595841,0.00334476042555173,0.00817436258871894,0.00744554331569746,0,0.0212321498987546,0.158244446713719,0.0436203732010417,0,0,0,0.0701465195552089,0.062252904574091,0,0,0,0.00957166119058849,0.0999647804108024,0,0.0208227128267815,0,0.00180556921007226,0.356337077200082,0.00600912407243154,0,0.0597062882206181,0,0,0,0,0.965652099381843,0.333039234960101
TARGET.20.PAUJMC.09A,0.0435598391721864,0,0,0,0,0,0,0,0.00346925278304094,0.0662012314986712,0,0,0.0697614163332128,0.189488600242086,0.0691545143431246,0.0747370380702972,0,0,0.0294893725686734,0,0.037353252778748,0.0527544312431353,0.253519027628001,0.0129495477565265,0,0.00310838785107025,0,0,0.0944540877312268,0,0.93356808423334,0.365436771093397
TARGET.20.PAVENG.09A,0.0351438039407427,0,0,0,0,0,0.220285162389984,0,0,0.0471153716223183,0,0.0173228292773863,0.107684668066748,0.14453610167279,0,0.0032676677905786,0,0.00420064451672682,0.0365420388674214,0.020032622018351,0.0227265410764039,0,0.118435126896898,0.133978943642237,0.0102861662559551,0.0641727320777879,0,0.0142695798876716,0,0,0.858891698375895,0.52035178845397
TARGET.20.PASPYW.09A,0.00315229108845577,0,0.05873547098658,0.00790379884613575,0,0.0120356212792377,0,0.180756069762597,0,0.122963499229588,0,0.0436913278785657,0,0.106710376241657,0,0.113786349418547,0,0,0,0,0.0401933661668217,0.0335459199753084,0.129701026148266,0,0,0,0.0683208643951265,0.0008377181000862,0.0776663004830274,0,0.930220924147545,0.380336136691647
TARGET.20.PAWFZT.09A,0.00438463817938563,0,0,0,0,0,0.121332056186992,0,0,0.0863250256066247,0,0.0340224771866059,0.123872446788671,0.0397558474754161,0.0457947140374161,0,0,0.0455803013347042,0.028159098043955,0,0,0,0.303191483576333,0.079032794827805,0,0.0885491167560909,0,0,0,0,0.950344270196142,0.326341153984045
TARGET.20.PARCEV.09A,0.0394983771137277,0,0,0.0122604410942906,0,0.0959565792883319,0.00264540719909659,0.0903978716674774,0,0.0716333875685625,0,0.00517352602361658,0.153245044619541,0.0331361797583836,0,0.140800480805021,0,0.0319395505862392,0,0,0,0.0489538028090748,0.0136588769847863,0,0.0283067799246576,0.0951624277099122,0.120352027711237,0,0.0168792391360448,0,0.870963776332287,0.556899912084572
TARGET.20.PAULDS.09A,0.078301318675324,0,0,0.00293512433144633,0,0,0.162897108194246,0,0,0,0,0.00620688808191241,0.175514660008623,0.0931290615828471,0.0582451772894838,0,0.00444606900427216,0.0859828205932401,0,0.0124045199442651,0,0.0442900695314699,0.131140850462306,0.0401873842475994,0,0.0961484913799683,0,0.00817045667299668,0,0,0.818281057419909,0.57489613165982
TARGET.20.PAEHXE.09A,0,0.00114697708683708,0,0.0582385647642718,0,0,0,0.00527045293403067,0,0,0,0.0581063555777701,0.142328385820266,0,0.218291338889354,0,0.0255336302657149,0,0.00775327511619493,0,0,0.0322728616732531,0.25179306580089,0.141773967913028,0,0.00249173813694919,0.0517581199941313,0.0032412660273085,0,0,0.95928949892782,0.289318037440897
TARGET.20.PAVXSH.09A,0,0.232100597293434,0.00475394096798538,0.0460490952438983,0,0,0,0,0,0.0510751095773144,0,0,0.0511215612579716,0.104275526728734,0,0.0317628840447176,0,0,0.124337067397997,0,0.0136891006519811,0.0388560465639811,0.227392027376057,0,0.014889839397093,0,0.0236993952871731,0.00404624374489071,0.031951564466772,0,0.901973762044142,0.438825648174896
TARGET.20.PASWGL.09A,0.00968956974916679,0,0.0481436476136313,0.0272792756083295,0,0,0,0.039772541013137,0.00260819459004783,0.120165790179128,0,0.129093189959527,0,0,0.141714174129038,0,0.0484463542557556,0.0445704293203242,0,0,0,0,0.260820481313801,0,0,0.117218918497314,0,0.0104774337707993,0,0,0.96554501010642,0.271521345735563
TARGET.20.PAWESF.09A,0,0,0,0.00753133928319567,0,0,0.106016748175557,0,0,0.0993039356571595,0,0.0282406218227872,0.138915214388062,0.0947942150883667,0.01833687302925,0.00763636691254703,0.0202927918229947,0.0635740837185285,0.0628138432997449,0.00962282842014851,0,0,0.0629272477682629,0.113887864978683,0,0.153671021324326,0,0.0124350043103854,0,0,0.716474278327001,0.697730554007174
TARGET.20.PASCCS.09A,0.0655682043562934,0.00713155543241245,0,0.0162795462438326,0,0,0,0,0.0188838355621738,0.0110221058229976,0,0,0,0.292653793342952,0.031415416146574,0.0123042429031435,0,0,0,0,0.056845952644665,0.101649166288144,0.202135377813125,0.0376414939375658,0.016966736732619,0,0.0555536354081311,0.00154067048843881,0.0724082668769327,0,0.854794838915245,0.526243107900309
TARGET.20.PASRSY.09A,0,0.0247690599025787,0,0.0317893958951351,0.0473616508476097,0,0,0.0595185534352828,0,0.090556529943488,0.0591219599114769,0,0.0728322959512221,0.0380125923696162,0.137755158956627,0,0.0469295623270701,0,0.0298697865381015,0,0,0,0.341311509078171,0,0,0,0.0141264243428809,0.00191495756777046,0.00413056293296984,0,0.963729042358037,0.344607081103411
TARGET.20.PAVAZN.09A,0,0,0.0278510224280211,0.00245315008704991,0.00585919712988035,0,0,0.0275032896550312,0,0,0,0.0315450700486003,0.00928061028670849,0,0.123410260713718,0,0.0338363667224012,0.0404530654345527,0.0990310241915448,0.0251956722255248,0,0,0.197899089544375,0.338300963634992,0,0.0373812178976002,0,0,0,0,0.862735731337908,0.507107776443786
TARGET.20.PAEIKD.09A,0.0721593873128529,0,0.0122251312869433,0.00374218490837684,0,0.0155758024686179,0.010391679682808,0,0,0.0270078304464405,0,0.0244167725827553,0.0388165182769825,0.0860634940420926,0,0.149790047321645,0,0,0,0.0108440216986008,0.274974573583254,0.033457835634892,0,0.0902085774011712,0.04855913193905,0.011131655772295,0.0131710131081042,0,0.0774643425331176,0,0.563695376783429,0.82586991903806
TARGET.20.PAVUJA.09A,0,0,0,0.0165637964952414,0,0,0,0,0,0.0152650743947014,0,0.0442000815297303,0.207938704487758,0.0212713560876887,0.0751721070785221,0.0333306105327902,0,0,0.0373081503119208,0,0.00458897006391063,0.0349122714631586,0.257823967962305,0.164546244059258,0,0.0240663577144472,0,0.0145159868340902,0.0484963209844779,0,0.833678899260495,0.567593697213738
TARGET.20.PAWNBB.09A,0.039069936196122,0.00814456162014538,0.00316825986852785,0.0115634395952747,0.00769113987323826,0,0,0.127762246844106,0,0.0303530785684635,0,0.00451072562759916,0.0634481649064917,0.0597215848572581,0.173832394462517,0,0.0332233166888394,0,0.059354573240945,0.0215813965625422,0,0,0.330098403915793,0,0,0,0,0,0.0264767771721367,0,0.949237600358351,0.388717782146813
TARGET.20.PAVTIP.09A,0.0310620480928315,0,0,0.00602412472668472,0,0,0.0807672758705496,0,0,0,0.0285282217762489,0.0760516977560158,0.136391351684018,0.0802461757857212,0.082494959351235,0,0.0114190482013073,0.00985743191380924,0,0.00893497046671357,0,0.0110059923667035,0.285284672593041,0.0850736784823619,0.0370906551443337,0.0297676957884254,0,0,0,0,0.969802503940366,0.261644434236697
TARGET.20.PARTYV.09A,0,0,0,0,0,0.092058820176832,0.244201341256225,0,0,0.00932022696604425,0,0.0579229060569387,0.0399595039599577,0.00288098107182354,0.117058077672535,0.210340420699012,0,0.00303930291663233,0,0,0.0536059644400631,0.0401014755753565,0,0.101893603014736,0,0.0087116930644948,0,0,0.018905683129349,0,0.745531890760009,0.674702773928453
TARGET.20.PAVAGA.09A,0.0714708408850261,0,0,0,0,0,0.0990053940769572,0,0.00267185397081636,0.0495223475708026,0,0,0.00800050313161901,0.0488604651200897,0,0.0657920577905216,0,0,0.0255425253715026,0.0672329502298214,0.123815219108298,0,0.247332374288581,0.165127937364576,0,0.011741525906941,0,0.0138840051844473,0,0,0.692967419916644,0.760650520759479
TARGET.20.PAXHPH.09A,0.115111631928326,0,0,0.00677905783079347,0,0,0,0,0,0.0359497144042593,0,0.00467494641877211,0.130423682028931,0.0895486210742129,0.0599910209116549,0.062441358002211,0,0,0.053590474352355,0,0,0.0122756031877732,0.300109015051668,0.0121680379488387,0.00765641545433964,0.0301233523812582,0,0.0242288236172719,0.0549282454073335,0,0.943421279215622,0.350892732926364
TARGET.20.PATHIW.09A,0.0410465811528048,0.0296931898066174,0.0262935827946397,0.0339322873089724,0,0,0,0.0442307145488393,0,0,0,0.0504889818365252,0.0604087354917717,0.102775492035971,0.0565339988551777,0,0.0524924825268295,0.0974787666830802,0.0177886769796872,0.0343085982962656,0,0,0.280114514640259,0,0,0,0.0187421648014358,0,0.0536712322411237,0,0.969160471836345,0.284238087303681
TARGET.20.PAUXYG.09A,0.102803991343543,0.00454829136506372,0,0.0332475775076918,0,0,0,0.0535812218491359,0,0.0980622704316332,0.0097195901113515,0,0.0997202398055215,0,0.116264894618194,0.00680213861648089,0,0,0.0403709545794102,0.0438971086110352,0,0.0442801418126373,0.315135678308899,0,0,0,0,0.00191796016433685,0.0296479408750659,0,0.957616423321168,0.316758533359931
TARGET.20.PASYWA.09A,0,0,0,0,0,0,0,0,0.00362421914870804,0.084091975300924,0,0,0.0366759427404272,0.259338181836959,0.144701992576182,0.136993868150531,0,0.000601967479789327,0.00135274159754331,0,0,0.0216966916418758,0.135578750444444,0,0.116868089457664,0.00843589803510429,0.033537325836289,0,0.0165023557535583,0,0.956088534771243,0.300188325712597
