subtype,n,PAC,mean_pct
PML-RARA,55,FPAC_1,37.90829876459409
PML-RARA,55,FPAC_2,1.1729499404980746
PML-RARA,55,PPAC_1,1.1414745580614531
PML-RARA,55,PPAC_2,5.501066326136009
PML-RARA,55,PPAC_3,0.6898164150374467
PML-RARA,55,PPAC_4,0.8736318898081143
PML-RARA,55,PPAC_5,1.5590595378251704
t(8;21),184,FPAC_1,6.6588812372448185
t(8;21),184,FPAC_2,15.150762849118712
t(8;21),184,PPAC_1,0.6913191801046297
t(8;21),184,PPAC_2,4.5985486547628
t(8;21),184,PPAC_3,1.6294478034989215
t(8;21),184,PPAC_4,1.717957804423187
t(8;21),184,PPAC_5,1.3218988139252958
inv(16),129,FPAC_1,7.0374302665408495
inv(16),129,FPAC_2,5.728124615867599
inv(16),129,PPAC_1,0.41350184201155654
inv(16),129,PPAC_2,3.8502102061623287
inv(16),129,PPAC_3,2.2408599623934298
inv(16),129,PPAC_4,1.2915500690790567
inv(16),129,PPAC_5,0.4878509740636066
Normal,296,FPAC_1,6.298005486216985
Normal,296,FPAC_2,4.353770970788155
Normal,296,PPAC_1,2.870868432295676
Normal,296,PPAC_2,4.688083156060861
Normal,296,PPAC_3,1.828725891829713
Normal,296,PPAC_4,2.9415915854900745
Normal,296,PPAC_5,1.8707001066319278
Other,184,FPAC_1,4.330577868764339
Other,184,FPAC_2,2.7351195738923346
Other,184,PPAC_1,3.615553683758839
Other,184,PPAC_2,6.580451384388643
Other,184,PPAC_3,2.846666548935569
Other,184,PPAC_4,2.4305630811516132
Other,184,PPAC_5,1.2876585442200692
KMT2A(MLL),266,FPAC_1,6.016827600549076
KMT2A(MLL),266,FPAC_2,1.8685917362729048
KMT2A(MLL),266,PPAC_1,1.1889910974497886
KMT2A(MLL),266,PPAC_2,2.2740862341833976
KMT2A(MLL),266,PPAC_3,11.331025890611498
KMT2A(MLL),266,PPAC_4,3.089993672847548
KMT2A(MLL),266,PPAC_5,1.9218094296512196
NUP98-r,27,FPAC_1,3.838842740523378
NUP98-r,27,FPAC_2,2.888899382432899
NUP98-r,27,PPAC_1,2.820398429874849
NUP98-r,27,PPAC_2,7.602606416976212
NUP98-r,27,PPAC_3,2.146244683828349
NUP98-r,27,PPAC_4,4.153237469867155
NUP98-r,27,PPAC_5,0.7461028671246362
CBFA2T3-GLIS2,9,FPAC_1,3.1487614751680133
CBFA2T3-GLIS2,9,FPAC_2,0.7674439099447344
CBFA2T3-GLIS2,9,PPAC_1,0.3020122694333344
CBFA2T3-GLIS2,9,PPAC_2,4.644904693066616
CBFA2T3-GLIS2,9,PPAC_3,2.0329309745910122
CBFA2T3-GLIS2,9,PPAC_4,5.744248380897235
CBFA2T3-GLIS2,9,PPAC_5,0.5374124299034223
t(6;9),19,FPAC_1,6.159683855489149
t(6;9),19,FPAC_2,2.8858835893268586
t(6;9),19,PPAC_1,1.9950362196740203
t(6;9),19,PPAC_2,4.9179463644398025
t(6;9),19,PPAC_3,0.8868484402510541
t(6;9),19,PPAC_4,0.9145648548807558
t(6;9),19,PPAC_5,3.785993493830111
mono7/del7q,47,FPAC_1,4.178702433186855
mono7/del7q,47,FPAC_2,2.0685530232339064
mono7/del7q,47,PPAC_1,3.548577939041669
mono7/del7q,47,PPAC_2,7.129599281904074
mono7/del7q,47,PPAC_3,1.559078430454951
mono7/del7q,47,PPAC_4,1.675263490604055
mono7/del7q,47,PPAC_5,1.065063900332163
complex(>=3),78,FPAC_1,3.977019707555842
complex(>=3),78,FPAC_2,1.7848477735131096
complex(>=3),78,PPAC_1,2.3054315459346078
complex(>=3),78,PPAC_2,5.74939065935895
complex(>=3),78,PPAC_3,2.7677751575347553
complex(>=3),78,PPAC_4,4.190130455317944
complex(>=3),78,PPAC_5,1.0517300712123554
