subtype,n,PAC,mean_pct,pval,fdr,neglog10fdr
FLT3-ITD,200,FPAC_1,6.1966257962731,0.548781941809523,0.9999999999674882,1.4119682765502757e-11
FLT3-ITD,200,FPAC_2,4.362794123571505,0.07160930465126424,0.1927942817534037,0.7149058513448645
FLT3-ITD,200,PPAC_1,3.8764393685583265,1.3281625569629e-08,1.1621422373425374e-07,6.934740714361725
FLT3-ITD,200,PPAC_2,4.075958509748062,0.9999300285055047,0.9999999999674882,1.4119682765502757e-11
FLT3-ITD,200,PPAC_3,2.3943696088694297,0.7743808185022318,0.9999999999674882,1.4119682765502757e-11
FLT3-ITD,200,PPAC_4,2.5567428143889104,0.03308066581814046,0.09648527530290968,1.0155389596368418
FLT3-ITD,200,PPAC_5,2.122362101997801,1.364937347435591e-11,2.388640358012284e-10,9.621849234213467
NPM1-mut,113,FPAC_1,5.192783276870965,0.9879206160428718,0.9999999999674882,1.4119682765502757e-11
NPM1-mut,113,FPAC_2,1.6110572378811725,0.9999085078002036,0.9999999999674882,1.4119682765502757e-11
NPM1-mut,113,PPAC_1,3.407962701785231,3.001999751952248e-05,0.00017511665219721446,3.756672554010785
NPM1-mut,113,PPAC_2,4.506040015467547,0.8868885597855585,0.9999999999674882,1.4119682765502757e-11
NPM1-mut,113,PPAC_3,1.9719658339234805,0.9757708203282679,0.9999999999674882,1.4119682765502757e-11
NPM1-mut,113,PPAC_4,2.415473590321436,0.5916485338061686,0.9999999999674882,1.4119682765502757e-11
NPM1-mut,113,PPAC_5,1.9985632831073468,3.624959005747359e-05,0.00018124795028736794,3.741726896116522
CEBPA-mut,80,FPAC_1,9.58435084731644,4.4962577055308e-09,5.2456339897859334e-08,7.280202015263333
CEBPA-mut,80,FPAC_2,11.472556762930463,1.3082254858216365e-20,4.578789200375727e-19,16.0
CEBPA-mut,80,PPAC_1,1.8678716355304876,0.15698482924156443,0.39246207310391107,0.4062023064029278
CEBPA-mut,80,PPAC_2,3.707533485093381,0.9850332562321522,0.9999999999674882,1.4119682765502757e-11
CEBPA-mut,80,PPAC_3,1.4928121797892793,0.9880101344272746,0.9999999999674882,1.4119682765502757e-11
CEBPA-mut,80,PPAC_4,3.8580099266779895,7.5424271207272245e-06,5.2796989845090565e-05,4.277390837521737
CEBPA-mut,80,PPAC_5,0.7572043645918634,0.6183343706691682,0.9999999999674882,1.4119682765502757e-11
WT1-mut,31,FPAC_1,5.344624272423942,0.7354954937477509,0.9999999999674882,1.4119682765502757e-11
WT1-mut,31,FPAC_2,5.30987096425984,0.19753287651771345,0.46091004520799805,0.336383826631689
WT1-mut,31,PPAC_1,3.7260474299236463,0.004940825085954127,0.017292887800839443,1.7621324762896637
WT1-mut,31,PPAC_2,7.867506801570946,0.38514620322624027,0.8425073195574005,0.0744263173651337
WT1-mut,31,PPAC_3,2.093186393402171,0.6051021690075877,0.9999999999674882,1.4119682765502757e-11
WT1-mut,31,PPAC_4,3.762760364683125,0.010811142096244092,0.03439908848804938,1.463453065273096
WT1-mut,31,PPAC_5,0.04501858080135161,0.9997779865292966,0.9999999999674882,1.4119682765502757e-11
Triple-neg,1391,FPAC_1,6.707247222489217,0.9062121447211826,0.9999999999674882,1.4119682765502757e-11
Triple-neg,1391,FPAC_2,4.327242034115339,0.9994741095391032,0.9999999999674882,1.4119682765502757e-11
Triple-neg,1391,PPAC_1,1.8742925925618306,0.9999999987489855,0.9999999999674882,1.4119682765502757e-11
Triple-neg,1391,PPAC_2,5.464600547033934,0.00022534089355544506,0.0009858664093050722,3.0061819305276862
Triple-neg,1391,PPAC_3,3.8341674118278033,0.0017879475278150519,0.006953129274836313,2.157819695995351
Triple-neg,1391,PPAC_4,2.330307831525045,0.9996617441423955,0.9999999999674882,1.4119682765502757e-11
Triple-neg,1391,PPAC_5,1.2027319322752785,0.9999999999674881,0.9999999999674882,1.4119682765502757e-11
