subtype,n,PAC,mean_pct
FLT3-ITD,200,FPAC_1,6.1966257962731
FLT3-ITD,200,FPAC_2,4.362794123571505
FLT3-ITD,200,PPAC_1,3.8764393685583265
FLT3-ITD,200,PPAC_2,4.075958509748062
FLT3-ITD,200,PPAC_3,2.3943696088694297
FLT3-ITD,200,PPAC_4,2.5567428143889104
FLT3-ITD,200,PPAC_5,2.122362101997801
NPM1-mut,113,FPAC_1,5.192783276870965
NPM1-mut,113,FPAC_2,1.6110572378811725
NPM1-mut,113,PPAC_1,3.407962701785231
NPM1-mut,113,PPAC_2,4.506040015467547
NPM1-mut,113,PPAC_3,1.9719658339234805
NPM1-mut,113,PPAC_4,2.415473590321436
NPM1-mut,113,PPAC_5,1.9985632831073468
CEBPA-mut,80,FPAC_1,9.58435084731644
CEBPA-mut,80,FPAC_2,11.472556762930463
CEBPA-mut,80,PPAC_1,1.8678716355304876
CEBPA-mut,80,PPAC_2,3.707533485093381
CEBPA-mut,80,PPAC_3,1.4928121797892793
CEBPA-mut,80,PPAC_4,3.8580099266779895
CEBPA-mut,80,PPAC_5,0.7572043645918634
WT1-mut,31,FPAC_1,5.344624272423942
WT1-mut,31,FPAC_2,5.30987096425984
WT1-mut,31,PPAC_1,3.7260474299236463
WT1-mut,31,PPAC_2,7.867506801570946
WT1-mut,31,PPAC_3,2.093186393402171
WT1-mut,31,PPAC_4,3.762760364683125
WT1-mut,31,PPAC_5,0.04501858080135161
Triple-neg,1391,FPAC_1,6.707247222489217
Triple-neg,1391,FPAC_2,4.327242034115339
Triple-neg,1391,PPAC_1,1.8742925925618306
Triple-neg,1391,PPAC_2,5.464600547033934
Triple-neg,1391,PPAC_3,3.8341674118278033
Triple-neg,1391,PPAC_4,2.330307831525045
Triple-neg,1391,PPAC_5,1.2027319322752785
