PAC,gene,log2FC,pval_adj,score
FPAC_1,CFD,2.5421944,0.0,50.52566
FPAC_1,AZU1,2.8803837,0.0,46.39457
FPAC_1,CST7,3.1749313,0.0,45.940678
FPAC_1,CTSG,3.0969164,0.0,45.775173
FPAC_1,ELANE,3.5102127,0.0,45.065025
FPAC_1,MPO,3.0451236,0.0,43.30649
FPAC_1,P4HB,1.3727535,0.0,43.09079
FPAC_1,SNHG29,0.81197107,0.0,42.52493
FPAC_1,CALR,1.190903,0.0,41.434814
FPAC_1,IGFBP2,2.7606986,0.0,37.825283
FPAC_1,PRSS57,1.057649,7.900413614000165e-294,36.841206
FPAC_1,SRGN,1.3303344,3.4998434514150303e-272,35.456493
FPAC_1,RNASE2,1.7193011,2.944692620588991e-265,35.002712
FPAC_1,FTL,0.4949507,1.4096423487843702e-247,33.81378
FPAC_1,PPIB,0.8827962,7.113171476504432e-246,33.695347
FPAC_1,NME2,0.5530416,2.149809805410967e-220,31.901865
FPAC_1,ATP5MC2,0.41476828,2.6866901502872148e-219,31.820776
FPAC_1,TSPOAP1,2.1079834,3.44767884037827e-209,31.077066
FPAC_1,PTGDS,3.782485,5.223658177383847e-209,31.062895
FPAC_1,TPT1,0.39693695,3.8856839714703805e-208,30.997498
FPAC_1,SSR4,0.6827381,2.833022655776447e-206,30.85818
FPAC_1,PRTN3,1.9820465,2.3433862331782956e-197,30.184618
FPAC_1,CLEC11A,1.1814429,4.804873637417948e-195,30.007193
FPAC_1,CSF3R,1.1190199,3.1571418494116544e-194,29.943724
FPAC_1,NACA,0.39848128,7.066787017202716e-192,29.761248
FPAC_1,MGST1,0.9391566,1.076771029361155e-190,29.668316
FPAC_1,CPA3,2.2798748,4.445854550403397e-190,29.61987
FPAC_1,RAB32,1.005841,2.0508756622968022e-183,29.096504
FPAC_1,CYTL1,1.8950273,1.8169963076019003e-176,28.540163
FPAC_1,HGF,2.357677,9.665396361310624e-168,27.8263
FPAC_1,MFSD10,0.8716139,7.352804851316581e-165,27.586555
FPAC_1,LYST,1.1806425,1.8826103429509313e-161,27.29977
FPAC_1,NUCB2,0.79438996,2.055130397016254e-160,27.211603
FPAC_1,HOMER3,1.4688765,6.237376956203961e-159,27.084913
FPAC_1,BTF3,0.3366457,1.7800136581818717e-158,27.045658
FPAC_1,NDUFB9,0.8318284,2.943378710480008e-153,26.596624
FPAC_1,EEF1D,0.3755635,9.01046612293968e-150,26.29192
FPAC_1,CEBPD,1.5318636,3.885873858601768e-144,25.793928
FPAC_1,UBA52,0.34640875,3.494636532484596e-141,25.52822
FPAC_1,NPW,1.5773131,1.0536914311298536e-140,25.483986
FPAC_1,FAU,0.28807968,9.362872494602573e-140,25.396751
FPAC_1,MIF,0.51023954,2.9235172646696415e-139,25.35146
FPAC_1,IER2,0.7404794,5.563095874545937e-129,24.397667
FPAC_1,EGR1,1.2426438,2.3443751956043256e-121,23.666553
FPAC_1,GADD45B,0.8524645,1.2061665474254005e-117,23.300648
FPAC_1,STAB1,1.3774211,6.735609946037202e-116,23.127254
FPAC_1,PABPC1,0.28422755,7.017050196565234e-109,22.416878
FPAC_1,FNDC3B,1.1435488,5.116718101709533e-108,22.327408
FPAC_1,COMT,0.49079716,1.518304737884079e-104,21.965872
FPAC_1,EEF1G,0.29103747,8.013539559190954e-104,21.889751
FPAC_1,RACK1,0.26782835,3.1013593207637535e-102,21.722036
FPAC_1,DENND10,1.4546566,1.254219665395516e-99,21.442892
FPAC_1,EEF1B2,0.33692834,9.290691362826462e-99,21.349102
FPAC_1,CTSW,0.7404689,1.0319331267654425e-97,21.235481
FPAC_1,CITED2,0.71546966,2.0544743880277414e-97,21.20271
FPAC_1,TRAPPC5,0.51488924,3.465294115605324e-95,20.958063
FPAC_1,PVT1,2.1104796,1.3344587119719498e-87,20.1049
FPAC_1,HSPA5,0.79668796,1.4617319835972355e-87,20.10002
FPAC_1,PLAC8,0.6543644,1.785336551839091e-87,20.089733
FPAC_1,ATF4,0.6916411,2.153444133360527e-86,19.964293
FPAC_1,COX4I1,0.26674923,1.9435419174375244e-85,19.853024
FPAC_1,MS4A3,1.98775,2.4393703262844463e-85,19.84126
FPAC_1,GIHCG,0.6281224,3.521696095991721e-83,19.587996
FPAC_1,SERP1,0.32659715,2.617836208264362e-81,19.36505
FPAC_1,HSP90B1,0.63443166,8.615166621352122e-81,19.302319
FPAC_1,RNASEK,0.36563724,1.70171120302138e-80,19.2668
FPAC_1,NDUFC2,0.53245205,6.402892664270351e-78,18.955772
FPAC_1,NDUFB11,0.4154464,2.969639935148727e-77,18.873344
FPAC_1,HINT1,0.24170712,6.1204232584327214e-77,18.834568
FPAC_1,PFDN5,0.24028128,8.959953420040294e-76,18.690958
FPAC_1,C12orf57,0.5501488,9.861323798499767e-75,18.561966
FPAC_1,PPIA,0.22101325,1.2633333532655045e-74,18.548359
FPAC_1,SERF2,0.30903023,1.4923647851323606e-73,18.414259
FPAC_1,BTG1,0.61709446,2.1319495727706198e-73,18.394644
FPAC_1,LINC00926,2.1680994,3.963743540271005e-73,18.360418
FPAC_1,RNASE3,1.8968922,1.6184277461493556e-72,18.282713
FPAC_1,CLU,1.5144641,1.0238413551398253e-70,18.053997
FPAC_1,TENT5A,0.7430105,1.9795390569909242e-70,18.01699
FPAC_1,GAS5,0.36646444,3.4604114259085553e-70,17.98578
FPAC_1,FOSB,0.62732565,6.260349662571335e-70,17.952612
FPAC_1,SNRPD2,0.33929968,9.763157889448835e-70,17.927364
FPAC_1,GAPDH,0.24128191,1.977221567095157e-68,17.758469
FPAC_1,NDUFS5,0.49721482,3.886579935770792e-67,17.589123
FPAC_1,MNDA,1.4521357,4.482653217809473e-67,17.580765
FPAC_1,CEBPE,2.7056706,1.1183052662271381e-66,17.528587
FPAC_1,JUN,0.72366536,4.251852845151648e-65,17.318344
FPAC_1,EIF3K,0.26924953,1.5853730422515876e-64,17.241396
FPAC_1,CITED4,0.8920636,1.6755288889602918e-64,17.23794
FPAC_1,MYC,0.8176168,3.856094987728172e-64,17.189167
FPAC_1,DMXL2,1.3652207,6.478203658131662e-63,17.023273
FPAC_1,ARMH1,0.53440267,2.9278730054535644e-62,16.934235
FPAC_1,EIF3A,0.4393936,2.87578414893836e-61,16.798502
FPAC_1,NPM1,0.33840537,2.1815545259153496e-60,16.677122
FPAC_1,SEC61B,0.4256193,1.4107558343316207e-59,16.563982
FPAC_1,ACTN1,0.7039198,5.921252845227243e-59,16.476496
FPAC_1,NFKBIZ,0.77491707,1.0172946655584254e-57,16.30242
FPAC_1,ALKBH7,0.4305641,6.980493596788047e-56,16.039547
FPAC_1,XIST,0.91691333,1.7659581275264487e-54,15.834624
FPAC_1,APRT,0.29237044,7.374696724849903e-54,15.74423
FPAC_1,RFLNB,0.6525217,7.787992518926343e-54,15.740554
FPAC_1,SNHG5,0.57182914,8.527933941513886e-53,15.585918
FPAC_1,CST3,0.62816954,3.262320316519047e-52,15.499074
FPAC_1,PLPPR3,1.0635265,6.817089792874947e-52,15.451211
FPAC_1,KDM5B,0.5323444,1.2662124550986752e-50,15.260225
FPAC_1,TIMM13,0.45978394,5.80796165022178e-50,15.159438
FPAC_1,FARSA,0.57869834,8.354676292425698e-50,15.135114
FPAC_1,GPI,0.45280603,8.494570496932745e-50,15.13381
FPAC_1,MYDGF,0.49491993,2.443419384751954e-49,15.063296
FPAC_1,CUTA,0.37210026,3.903911188622109e-49,15.031875
FPAC_1,CRNDE,0.956923,8.513653374773322e-49,14.979313
FPAC_1,SNHG8,0.39566302,1.1981876265435003e-48,14.956171
FPAC_1,CANX,0.36824912,1.9030524612048418e-47,14.768911
FPAC_1,COX7C,0.31758165,5.560623028889729e-46,14.536469
FPAC_1,CCNL1,0.3871886,1.2275952329005973e-45,14.481362
FPAC_1,MT2A,1.2640417,4.094665134135654e-45,14.397172
FPAC_1,PLEK,0.4278521,1.4165050332860842e-44,14.309405
FPAC_1,BSG,0.33446124,1.6297272973389456e-44,14.299462
FPAC_1,AFF2,2.816523,3.5565165582405247e-44,14.244673
FPAC_1,HLA-A,0.30981392,1.2608200053258387e-43,14.154305
FPAC_1,ZFAS1,0.2889162,1.3863962709498946e-43,14.147445
FPAC_1,PAM16,0.87428904,3.8349461828421115e-43,14.075149
FPAC_1,SLC25A37,0.91619647,2.485044348907462e-42,13.940592
FPAC_1,KCNE5,1.0429205,2.9729331839878475e-41,13.760529
FPAC_1,UQCRH,0.2497248,6.333488488986552e-41,13.704854
FPAC_1,MLEC,0.43894914,8.275489848849285e-41,13.684897
FPAC_1,RSL1D1,0.30220565,1.4226685699176491e-39,13.473765
FPAC_1,TXN,0.28410256,2.122988472230624e-39,13.44367
FPAC_1,MZT2B,0.2891682,4.3709378141907673e-39,13.388609
FPAC_1,HSP90AB1,0.23947349,4.794681544154044e-38,13.206831
FPAC_1,PNRC1,0.2190253,1.3898714052682888e-37,13.125632
FPAC_1,EIF4A1,0.18138804,4.8282909157558685e-37,13.029167
FPAC_1,COMMD6,0.28518513,5.6578932802161326e-37,13.01674
FPAC_1,EMILIN2,0.8196295,5.989417430266625e-37,13.01223
FPAC_1,NAP1L1,0.20844172,2.424133596990613e-36,12.90369
FPAC_1,MYB,0.4494312,5.2551687612879165e-36,12.843149
FPAC_1,AIG1,1.6400061,6.95329479312353e-36,12.820985
FPAC_1,NDUFA11,0.24752556,3.290679769984783e-35,12.698326
FPAC_1,ACSM3,1.4782624,8.082274304317492e-35,12.626094
FPAC_1,UXT,0.2787784,1.9876672710743396e-34,12.5542965
FPAC_1,MTDH,0.22627778,2.2887191998812994e-34,12.542519
FPAC_1,CCDC85B,0.39273617,6.148346664129764e-34,12.462019
FPAC_1,LAMTOR4,0.31728628,3.3168759940646984e-33,12.324969
FPAC_1,VAT1,0.6646017,4.678827580940061e-33,12.296912
FPAC_1,LTC4S,0.7488756,1.1825889834409781e-32,12.220741
FPAC_1,PTMA,0.15222737,1.1837524697815627e-32,12.220516
FPAC_1,FBL,0.29999667,1.206130352422425e-31,12.028594
FPAC_1,STAR,1.6695565,3.0116270532718216e-31,11.951785
FPAC_1,TNFSF13B,0.55819213,6.978847080493752e-31,11.880171
FPAC_1,MANF,0.78551996,9.44470751153494e-31,11.854568
FPAC_1,ATP5MG,0.1788688,5.857397478032116e-30,11.697891
FPAC_1,RHOB,0.58849865,1.3407452050116367e-29,11.625734
FPAC_1,VAMP8,0.19928497,2.8075048256187374e-29,11.561356
FPAC_1,EIF3H,0.17036664,9.070194423247113e-29,11.458731
FPAC_1,NOCT,1.2174398,1.570122732810645e-28,11.41056
FPAC_1,ZFAND5,0.4393242,5.5814880429214414e-28,11.297693
FPAC_1,GPT2,1.5370386,7.253969738794653e-28,11.273985
FPAC_1,WDR83OS,0.21509594,3.7639039826800594e-27,11.124715
FPAC_1,TXNDC5,0.6893243,4.742492557662698e-27,11.103442
FPAC_1,NDUFA13,0.1984497,6.221544480734226e-27,11.078776
FPAC_1,PDIA6,0.39288312,1.1241423612151829e-26,11.0244
FPAC_1,ANTKMT,0.6483502,2.4695735978378175e-26,10.952342
FPAC_1,CERCAM,1.2905929,3.1687282284712785e-25,10.713524
FPAC_1,TOMM7,0.26819834,2.712372052946489e-24,10.509916
FPAC_1,TRA2B,0.3266241,4.385718755732837e-24,10.462825
FPAC_1,RAB44,1.1289569,6.4981469974581786e-24,10.425159
FPAC_1,SNORC,1.5118439,9.1548187973173e-24,10.391814
FPAC_1,RETN,1.4303883,1.3710678523842284e-23,10.3522835
FPAC_1,MRPL12,0.44065094,1.7631305352563025e-22,10.09884
FPAC_1,LYZ,0.6105194,1.9650234325404274e-22,10.0877495
FPAC_1,GRN,0.28848782,2.1301041720978376e-22,10.079713
FPAC_1,TENT5C,1.2892362,3.6326568699023775e-22,10.025555
FPAC_1,SLC39A3,0.36795074,5.520789160038799e-22,9.983345
FPAC_1,EIF3B,0.35491094,8.027614033189619e-22,9.945255
FPAC_1,TBCA,0.29009327,8.557160449534424e-22,9.938561
FPAC_1,SRRM2,0.1515395,1.839476780479419e-21,9.860157
FPAC_1,GADD45GIP1,0.30386654,2.4219463692886327e-21,9.831519
FPAC_1,MAP3K1,0.7054523,2.865310494783869e-21,9.814469
FPAC_1,ATP5F1D,0.16507731,3.756278380918489e-21,9.7863655
FPAC_1,COX7A2L,0.25423047,5.923716211368711e-21,9.739533
FPAC_1,GCSH,0.57357407,9.458646292583253e-21,9.690466
FPAC_1,ATP6V0B,0.20689535,1.1254179884808935e-20,9.672379
FPAC_1,IGLL1,0.500973,2.257540381578524e-20,9.598876
FPAC_1,LSM7,0.21540207,2.68379693377923e-20,9.580504
FPAC_1,HSPD1,0.20595041,2.893516186271228e-20,9.572416
FPAC_1,EBPL,0.24457406,3.4825245653686474e-20,9.552514
FPAC_1,SEC61G,0.49695283,3.8735939251608485e-20,9.541173
FPAC_1,HNRNPA1,0.12472283,4.245342366834675e-20,9.53125
FPAC_1,IL17RE,1.3325906,5.609774596275023e-20,9.501348
FPAC_1,SUB1,0.19263884,9.249379381551144e-20,9.448626
FPAC_1,PXK,0.5635376,3.5939179571440883e-19,9.302074
FPAC_1,FAM118A,1.3053081,4.0283442641849673e-19,9.289531
FPAC_1,NAALADL1,1.1944882,4.1842679217134527e-19,9.285386
FPAC_1,ASS1,3.2226593,4.564152956474702e-19,9.275926
FPAC_1,SLC25A29,0.5162586,4.778103060556935e-19,9.2706375
FPAC_1,NME4,0.2893481,4.915818423617484e-19,9.2674055
FPAC_1,MARC1,2.6909409,6.11303986634159e-19,9.243319
FPAC_1,CAT,0.24119201,1.0475881628182924e-18,9.184126
FPAC_1,SMIM24,0.35689366,1.1571281452628152e-18,9.172919
FPAC_1,CHCHD2,0.10112689,1.457652288220139e-18,9.146721
FPAC_1,NTNG2,1.8353539,1.490166000285727e-18,9.144235
FPAC_1,HAL,1.6231408,1.5054214947695211e-18,9.142941
FPAC_1,COL23A1,1.0142876,1.6621362181790478e-18,9.131838
FPAC_1,ERLIN1,0.59372246,2.207662850409394e-18,9.100382
FPAC_1,OSTC,0.24223898,3.059211700925963e-18,9.064009
FPAC_1,EDF1,0.13006045,3.071322690109984e-18,9.063481
FPAC_1,MMP2,1.1280905,4.228154263225916e-18,9.027882
FPAC_1,PDIA3,0.21807456,6.16625511029739e-18,8.985425
FPAC_1,P2RY8,0.46421373,7.75685912595877e-18,8.9595785
FPAC_1,LINC00623,0.878813,1.2299231819178796e-17,8.907264
FPAC_1,RNASET2,0.2423086,1.5950185874065475e-17,8.877343
FPAC_1,SDF2L1,0.62990654,4.7567011762905766e-17,8.75144
FPAC_1,CHID1,0.48715794,5.175074706140468e-17,8.741737
FPAC_1,EIF5,0.1782141,8.193322727107741e-17,8.6884775
FPAC_1,MRPS34,0.27722993,1.1950131014848185e-16,8.644099
FPAC_1,TM7SF3,0.3187008,1.6138175041564238e-16,8.608711
FPAC_1,EVA1B,0.53028774,1.731727090290436e-16,8.6003475
FPAC_1,ATP5MC1,0.31022105,1.7746950424231467e-16,8.59726
FPAC_1,ZBTB16,0.81735575,2.0189271422911166e-16,8.581808
FPAC_1,POMC,0.91178024,2.1094858703523822e-16,8.57667
FPAC_1,COX6A1,0.1417291,4.625375109988239e-16,8.483403
FPAC_1,SNHG1,0.35103592,6.334987134265027e-16,8.446294
FPAC_1,HNRNPDL,0.13435826,6.709975872873551e-16,8.439305
FPAC_1,SNHG12,0.548777,6.742310682564377e-16,8.438563
FPAC_1,PLIN2,0.76147133,7.035112094105533e-16,8.433323
FPAC_1,A1BG,0.8331647,1.1481339348646633e-15,8.37458
FPAC_1,SLPI,2.3802543,1.2214388358248973e-15,8.36711
FPAC_1,CSTA,0.6733656,2.1153940219719427e-15,8.300519
FPAC_1,TIMP1,0.30896583,3.5787635058702745e-15,8.235967
FPAC_1,MEG3,3.740455,3.972202902369954e-15,8.222944
FPAC_1,SRM,0.26550615,6.4345139163401396e-15,8.163338
FPAC_1,ST3GAL4,0.54972017,6.782968021053821e-15,8.156881
FPAC_1,HYOU1,0.8006073,7.100137370648561e-15,8.150835
FPAC_1,PTRHD1,0.3400723,7.681109038146796e-15,8.141059
FPAC_1,FAM174C,0.3949463,8.835849752257188e-15,8.123393
FPAC_1,SNHG7,0.21197414,9.459565853431011e-15,8.114855
FPAC_1,ELOB,0.24031116,1.6733814459045248e-14,8.043052
FPAC_1,SND1,0.28266722,1.8499569394861053e-14,8.030413
FPAC_1,MRPL57,0.19950524,1.9365412721785085e-14,8.024543
FPAC_1,PPP1R27,1.3877864,2.1012698481581752e-14,8.0141735
FPAC_1,AGAP9,2.0310807,2.2278377352326936e-14,8.006895
FPAC_1,NXF1,0.5971662,2.6529756475617254e-14,7.984444
FPAC_1,PDZD8,0.6577704,2.7337241425439248e-14,7.980575
FPAC_1,NME1,0.27622297,3.025130462495727e-14,7.967556
FPAC_1,PDIA4,0.55838877,4.128935242174797e-14,7.927409
FPAC_1,HERPUD1,0.72986084,5.913525686830971e-14,7.8811536
FPAC_1,C16orf74,0.72211903,9.468262342328928e-14,7.820052
FPAC_1,TMA7,0.19190957,1.0819692922843433e-13,7.8026614
FPAC_1,ATP5PF,0.18826535,1.1478384833308472e-13,7.794627
FPAC_1,H2AFV,0.1726103,1.3253505861198638e-13,7.77571
FPAC_1,MYO15B,0.43511868,1.478889506738447e-13,7.7612514
FPAC_1,SPCS1,0.18511257,1.5135267673448694e-13,7.758152
FPAC_1,MCRIP2,0.54199934,1.9485635968694971e-13,7.724817
FPAC_1,BRD2,0.21640752,3.6209546247111567e-13,7.6424155
FPAC_1,MRPL33,0.3095603,5.113848565431117e-13,7.595702
FPAC_1,PRDX6,0.130825,5.21539777520673e-13,7.5929976
FPAC_1,NTPCR,0.56478834,6.411168702635738e-13,7.5656605
FPAC_1,METRN,1.1454977,6.639808961233612e-13,7.5609465
FPAC_1,MCL1,0.21815991,8.112389772922111e-13,7.533983
FPAC_1,GOLGA8A,0.9314375,8.168656007514565e-13,7.5330024
FPAC_1,LDHB,0.16516623,8.269553155466683e-13,7.531243
FPAC_1,RSL24D1,0.19698244,9.313045275446407e-13,7.514772
FPAC_1,PNPLA2,0.2391674,9.803589358723005e-13,7.5077405
FPAC_1,ZNF593,0.48502988,1.3094029896875936e-12,7.468812
FPAC_1,EIF3M,0.14903559,1.3940575010410397e-12,7.460018
FPAC_1,DPP7,0.21980022,1.732737443048683e-12,7.4301457
FPAC_1,YBX1,0.06150005,2.137374547489232e-12,7.4012537
FPAC_1,NDRG1,0.7063862,2.927028277632794e-12,7.357704
FPAC_1,RFX8,1.2322565,3.655727684190724e-12,7.32674
FPAC_1,DERL3,1.3960227,3.7739637633706895e-12,7.322319
FPAC_1,AC244502.1,0.36361414,3.907969806395086e-12,7.3173327
FPAC_1,S100B,1.1372793,5.428155965945459e-12,7.271653
FPAC_1,LGALS12,1.5463157,6.24978612758831e-12,7.251688
FPAC_1,ATP5F1E,0.14214094,6.9549736366236755e-12,7.236521
FPAC_1,EIF4EBP1,0.3311087,9.473457798049312e-12,7.1920786
FPAC_1,TMEM147,0.28048885,9.564042299041623e-12,7.1904836
FPAC_1,EIF1,0.06641685,1.025272590564743e-11,7.1806145
FPAC_1,KRT18,0.58416945,1.0496395461444119e-11,7.177255
FPAC_1,LRMDA,0.4738987,1.207874561800058e-11,7.157435
FPAC_1,UBC,0.11844221,1.2766367866321122e-11,7.1496177
FPAC_1,FABP5,0.36308903,1.2851668840473955e-11,7.1485558
FPAC_1,MATK,0.44837582,1.3458116988728848e-11,7.141928
FPAC_1,ADRB2,0.6956943,1.3903068092795707e-11,7.13731
FPAC_1,AC099489.1,1.3841164,1.678538831344478e-11,7.1106234
FPAC_1,FKBP11,0.7880879,1.850650738724556e-11,7.096773
FPAC_1,AL118516.1,0.75391,2.479608604622239e-11,7.0548906
FPAC_1,UQCRB,0.16653976,2.600715674216196e-11,7.047819
FPAC_1,RCN1,0.42117625,2.9608612857122924e-11,7.028944
FPAC_1,YBX3,0.16555484,3.798915642718945e-11,6.9927006
FPAC_1,HSPB1,0.24178492,4.5149049129280524e-11,6.967361
FPAC_1,AAK1,0.6703211,4.938712584515417e-11,6.9539323
FPAC_1,C1QBP,0.12533973,5.6101328990610935e-11,6.9352202
FPAC_1,GRHPR,0.25077498,5.952471380968836e-11,6.9264846
FPAC_1,TRGC2,0.8769953,6.033775817911511e-11,6.9244213
FPAC_1,HNRNPH1,0.18650715,6.724564077626143e-11,6.908631
FPAC_1,SURF4,0.45000407,8.129531096697225e-11,6.8804474
FPAC_1,IRF2BP2,0.1939734,1.0294027947039243e-10,6.845252
FPAC_1,ATP5MPL,0.26613504,1.0512045929816284e-10,6.841899
FPAC_1,LARP1,0.34747842,1.0667881249605586e-10,6.8397202
FPAC_1,SNHG3,0.3219876,1.1029860324991345e-10,6.8345866
FPAC_1,HRH2,0.7168153,1.1938653873647945e-10,6.822384
FPAC_1,ST13,0.12738718,1.3272446663225143e-10,6.806597
FPAC_1,SRSF6,0.3123487,1.5478194234797007e-10,6.783526
FPAC_1,ANKRD18A,3.6126456,2.3598978335920113e-10,6.720609
FPAC_1,SMIM10,1.5912601,2.753233296909109e-10,6.6973476
FPAC_1,APLP2,0.2073509,3.3077410742096075e-10,6.6690865
FPAC_1,UGT3A2,2.356931,3.8908265565330973e-10,6.644318
FPAC_1,PXDN,1.631858,3.920515243550299e-10,6.642992
FPAC_1,RGCC,0.7736,4.574453211815075e-10,6.6187854
FPAC_1,AZI2,0.73474026,4.797267787494669e-10,6.6114087
FPAC_1,TOMM22,0.21059395,5.287692411714396e-10,6.5965776
FPAC_1,KRTCAP2,0.14378735,5.341968416545749e-10,6.5948586
FPAC_1,SSBP1,0.19203103,6.453861831469794e-10,6.565116
FPAC_1,PLAUR,0.6202431,6.979571927662382e-10,6.553031
FPAC_1,APOC2,0.5603188,7.470637439666431e-10,6.5424013
FPAC_1,ST3GAL6,1.1053119,7.872409063816811e-10,6.5341606
FPAC_1,PHPT1,0.23141144,1.308410888420949e-09,6.454852
FPAC_1,TSPO,0.23450622,1.5802851642389291e-09,6.4247956
FPAC_1,FAM53C,0.5839028,1.7279362538458857e-09,6.410528
FPAC_1,LIN7A,2.2214699,2.0035469663658797e-09,6.3867345
FPAC_1,SELENOH,0.08301675,2.2737332195284107e-09,6.3665586
FPAC_1,NDUFB2,0.20730297,2.5418825136180997e-09,6.34844
FPAC_1,TMEM258,0.23196264,5.106444966294684e-09,6.2358665
