subtype,n_patients,PAC,mean_pct,prevalence_pct_gt10
PML-RARA,55,FPAC_1,0.76,1.8
PML-RARA,55,FPAC_2,39.56,96.4
PML-RARA,55,PPAC_1,1.12,3.6
PML-RARA,55,PPAC_2,0.0,0.0
PML-RARA,55,PPAC_3,0.0,0.0
PML-RARA,55,PPAC_4,0.74,1.8
PML-RARA,55,PPAC_5,0.0,0.0
t(8;21),182,FPAC_1,0.34,1.1
t(8;21),182,FPAC_2,22.23,68.7
t(8;21),182,PPAC_1,0.09,0.5
t(8;21),182,PPAC_2,0.3,1.1
t(8;21),182,PPAC_3,0.06,0.0
t(8;21),182,PPAC_4,0.29,0.0
t(8;21),182,PPAC_5,0.01,0.0
inv(16),128,FPAC_1,0.06,0.0
inv(16),128,FPAC_2,9.5,42.2
inv(16),128,PPAC_1,0.46,1.6
inv(16),128,PPAC_2,0.31,1.6
inv(16),128,PPAC_3,0.07,0.0
inv(16),128,PPAC_4,0.99,3.9
inv(16),128,PPAC_5,0.0,0.0
MLL,259,FPAC_1,0.2,0.8
MLL,259,FPAC_2,1.6,5.8
MLL,259,PPAC_1,4.06,11.2
MLL,259,PPAC_2,2.45,10.0
MLL,259,PPAC_3,13.7,45.6
MLL,259,PPAC_4,2.54,10.0
MLL,259,PPAC_5,2.28,5.0
Normal,318,FPAC_1,0.46,1.6
Normal,318,FPAC_2,5.79,20.8
Normal,318,PPAC_1,7.58,18.6
Normal,318,PPAC_2,3.2,11.6
Normal,318,PPAC_3,4.62,17.0
Normal,318,PPAC_4,3.14,9.1
Normal,318,PPAC_5,2.35,7.2
Other,346,FPAC_1,0.39,1.4
Other,346,FPAC_2,3.75,14.2
Other,346,PPAC_1,11.76,26.0
Other,346,PPAC_2,3.45,11.6
Other,346,PPAC_3,4.22,14.5
Other,346,PPAC_4,2.93,9.2
Other,346,PPAC_5,1.7,5.5
Unknown,26,FPAC_1,0.0,0.0
Unknown,26,FPAC_2,8.82,26.9
Unknown,26,PPAC_1,7.19,15.4
Unknown,26,PPAC_2,5.05,19.2
Unknown,26,PPAC_3,2.68,7.7
Unknown,26,PPAC_4,1.7,3.8
Unknown,26,PPAC_5,0.0,0.0
