bin,x,y,n_cells
0,-33.2190,-15.8410,2
1,-33.2190,-15.2408,8
2,-33.2190,-14.6407,2
3,-33.2190,-14.0406,13
4,-33.2190,-13.4404,12
5,-33.2190,-9.2395,1
6,-33.2190,-8.6394,3
7,-33.2190,-8.0393,2
8,-32.6350,-17.0412,21
9,-32.6350,-16.4411,22
10,-32.6350,-15.8410,24
11,-32.6350,-11.0399,10
12,-32.6350,-10.4398,31
13,-32.6350,-9.8396,17
14,-32.6350,-9.2395,32
15,-32.6350,-8.6394,32
16,-32.6350,-8.0393,28
17,-32.6350,-7.4391,29
18,-32.6350,-6.8390,18
19,-32.6350,-6.2389,17
20,-32.6350,-5.6387,7
21,-32.6350,-5.0386,14
22,-32.6350,-4.4385,9
23,-32.6350,-3.8383,8
24,-32.6350,-3.2382,7
25,-32.6350,-2.6381,1
26,-32.0510,-17.6414,35
27,-32.0510,-17.0412,50
28,-32.0510,-16.4411,9
29,-32.0510,-12.2402,9
30,-32.0510,-11.6400,11
31,-32.0510,-11.0399,10
32,-32.0510,-10.4398,7
33,-32.0510,-9.8396,5
34,-32.0510,-9.2395,9
35,-32.0510,-8.6394,18
36,-32.0510,-8.0393,14
37,-32.0510,-7.4391,19
38,-32.0510,-6.8390,22
39,-32.0510,-6.2389,13
40,-32.0510,-5.6387,7
41,-32.0510,-5.0386,5
42,-32.0510,-4.4385,10
43,-32.0510,-3.8383,16
44,-32.0510,-3.2382,11
45,-32.0510,-2.6381,22
46,-32.0510,-2.0379,22
47,-32.0510,-1.4378,35
48,-32.0510,-0.8377,1
49,-31.4669,-18.2415,2
50,-31.4669,-17.6414,69
51,-31.4669,-17.0412,22
52,-31.4669,-16.4411,1
53,-31.4669,-12.8403,11
54,-31.4669,-12.2402,14
55,-31.4669,-11.6400,6
56,-31.4669,-11.0399,3
57,-31.4669,-10.4398,5
58,-31.4669,-9.8396,16
59,-31.4669,-9.2395,14
60,-31.4669,-8.6394,18
61,-31.4669,-8.0393,14
62,-31.4669,-7.4391,14
63,-31.4669,-6.8390,8
64,-31.4669,-5.6387,5
65,-31.4669,-5.0386,7
66,-31.4669,-4.4385,12
67,-31.4669,-3.8383,5
68,-31.4669,-2.0379,2
69,-31.4669,-1.4378,4
70,-31.4669,-0.8377,16
71,-31.4669,-0.2375,9
72,-30.8829,-18.8416,1
73,-30.8829,-18.2415,10
74,-30.8829,-17.6414,44
75,-30.8829,-12.8403,2
76,-30.8829,-12.2402,16
77,-30.8829,-11.6400,59
78,-30.8829,-11.0399,56
79,-30.8829,-10.4398,22
80,-30.8829,-9.8396,7
81,-30.8829,-9.2395,14
82,-30.8829,-8.6394,12
83,-30.8829,-8.0393,14
84,-30.8829,-7.4391,19
85,-30.8829,-6.8390,4
86,-30.8829,-6.2389,4
87,-30.8829,-5.6387,5
88,-30.8829,-5.0386,3
89,-30.8829,-3.8383,1
90,-30.8829,-0.8377,1
91,-30.8829,-0.2375,3
92,-30.8829,0.3626,2
93,-30.8829,0.9627,2
94,-30.8829,8.7645,30
95,-30.8829,9.3646,106
96,-30.8829,9.9647,30
97,-30.8829,10.5648,2
98,-30.2989,-18.2415,8
99,-30.2989,-17.6414,16
100,-30.2989,-12.2402,14
101,-30.2989,-11.6400,15
102,-30.2989,-11.0399,21
103,-30.2989,-10.4398,18
104,-30.2989,-9.8396,13
105,-30.2989,-9.2395,21
106,-30.2989,-8.6394,5
107,-30.2989,-8.0393,3
108,-30.2989,-7.4391,3
109,-30.2989,-6.8390,6
110,-30.2989,-6.2389,1
111,-30.2989,-4.4385,1
112,-30.2989,8.1643,50
113,-30.2989,8.7645,72
114,-30.2989,9.3646,43
115,-30.2989,9.9647,56
116,-30.2989,10.5648,32
117,-29.7149,-18.8416,3
118,-29.7149,-18.2415,5
119,-29.7149,-17.6414,2
120,-29.7149,-12.2402,2
121,-29.7149,-11.6400,1
122,-29.7149,-11.0399,2
123,-29.7149,-10.4398,3
124,-29.7149,-9.8396,28
125,-29.7149,-9.2395,15
