"LS","Description","p.adjust","term"
"LS_3","GOBP_CELLULAR_EXTRAVASATION",0.00334223275942964,"cellular extravasation"
"LS_3","GOBP_NEUTROPHIL_MEDIATED_KILLING_OF_BACTERIUM",0.00334223275942964,"neutrophil mediated killing of bacterium"
"LS_3","GOBP_REGULATION_OF_HEART_RATE",0.00334223275942964,"regulation of heart rate"
"LS_3","GOBP_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY",0.00334223275942964,"myeloid leukocyte mediated immunity"
"LS_3","GOBP_NEUTROPHIL_MEDIATED_CYTOTOXICITY",0.00334223275942964,"neutrophil mediated cytotoxicity"
"LS_3","GOBP_LEUKOCYTE_MIGRATION",0.00334223275942964,"leukocyte migration"
"LS_3","GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_COMMUNICATION",0.00334223275942964,"atrial cardiac muscle cell to av node cell communication"
"LS_3","GOBP_LEUKOCYTE_MEDIATED_IMMUNITY",0.00566482562474775,"leukocyte mediated immunity"
"LS_3","GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE",0.00657890163632887,"antimicrobial humoral response"
"LS_3","GOBP_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION",0.00719399888624575,"cell cell signaling involved in cardiac conduction"
"LS_3","GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL",0.00817797157264235,"ventricular cardiac muscle cell action potential"
"LS_3","GOBP_REGULATION_OF_HEART_CONTRACTION",0.00817797157264235,"regulation of heart contraction"
"LS_3","GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_SYMBIONT",0.00817797157264235,"biological process involved in interaction with symbiont"
"LS_3","GOBP_NEUTROPHIL_MEDIATED_IMMUNITY",0.00817797157264235,"neutrophil mediated immunity"
"LS_3","GOBP_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION",0.00817797157264235,"regulation of heart rate by cardiac conduction"
"LS_3","GOBP_PHAGOCYTOSIS",0.00851343462951848,"phagocytosis"
"LS_3","GOBP_HEART_PROCESS",0.0112151839070027,"heart process"
"LS_3","GOBP_REGULATION_OF_BLOOD_CIRCULATION",0.0112151839070027,"regulation of blood circulation"
"LS_3","GOBP_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION",0.0121370684884088,"cell communication involved in cardiac conduction"
"LS_3","GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION",0.0121370684884088,"cardiac muscle cell action potential involved in contraction"
"LS_3","GOBP_CONNECTIVE_TISSUE_DEVELOPMENT",0.0121370684884088,"connective tissue development"
"LS_3","GOBP_HUMORAL_IMMUNE_RESPONSE",0.0121370684884088,"humoral immune response"
"LS_3","GOBP_REGULATION_OF_ENDOCYTOSIS",0.0128652434925713,"regulation of endocytosis"
