LS,n_cells,lineage_program,prog_score,n_cyto>=10%,eff_n_cyto,top_cyto,patient_class,n_patients,apl_frac
LS_1,2790,Erythroid,1.65,5,9.4,BCR/ABL(18%),multi-pt,7,0.05
LS_2,2525,unresolved,0.15,1,1.3,CBFB/MYH11(95%),multi-pt,3,0.0
LS_3,2524,unresolved,1.12,4,8.3,MLLr(27%),multi-pt,5,0.15
LS_4,2320,Cell-cycle,1.56,3,9.6,CN(25%),multi-pt,6,0.09
LS_5,2209,Macrophage,2.9,3,3.9,CBFB/MYH11(59%),multi-pt,6,0.0
LS_6,2173,B/plasma,0.94,1,3.4,CN(69%),multi-pt,4,0.07
LS_7,1812,B/plasma,0.64,4,6.1,RUNX1/RUNX1T1(34%),multi-pt,7,0.16
LS_8,1755,GMP,1.21,3,5.6,PML/RARA(39%),multi-pt,6,0.39
LS_9,1711,unresolved,1.09,4,6.7,MLLr(32%),multi-pt,6,0.2
LS_10,1709,GMP,1.57,3,4.8,PML/RARA(50%),multi-pt,4,0.5
LS_11,1656,Cell-cycle,2.61,4,9.9,CBFB/MYH11(17%),multi-pt,6,0.09
LS_12,1604,HSC/MPP,0.78,2,5.4,MLLr(50%),multi-pt,4,0.05
LS_13,1603,Monocyte,1.96,2,3.5,MLLr(63%),multi-pt,3,0.04
LS_14,1566,T/NK,1.15,3,3.9,BCR/ABL(62%),few-pt,2,0.14
LS_15,1553,Erythroid,1.91,1,1.4,MYB/GATA1(94%),single-pt,1,0.0
LS_16,1484,B/plasma,0.87,2,4.2,CN(47%),multi-pt,4,0.03
LS_17,1430,Megakaryocyte,4.57,3,8.5,CN(31%),multi-pt,6,0.01
LS_18,1298,unresolved,1.54,4,7.4,MLLr(26%),multi-pt,7,0.01
LS_19,1224,unresolved,0.66,3,4.0,Tri(15)(55%),multi-pt,4,0.09
LS_20,1215,Cell-cycle,2.03,4,9.3,CBFB/MYH11(19%),multi-pt,8,0.1
LS_21,1211,unresolved,0.55,1,2.4,CN(79%),multi-pt,3,0.01
LS_22,1206,GMP,1.57,3,4.7,Tri(15)(50%),multi-pt,4,0.05
LS_23,1168,unresolved,0.48,1,3.7,RUNX1/RUNX1T1(66%),multi-pt,3,0.05
LS_24,1159,unresolved,0.59,1,1.3,NUP98/NSD1(94%),single-pt,1,0.0
LS_25,1147,T/NK,1.16,1,1.4,t(7;14)(q21;q32)(92%),single-pt,1,0.0
LS_26,1144,GMP,1.39,3,6.3,CBFB/MYH11(35%),multi-pt,8,0.0
LS_27,1110,unresolved,0.79,5,8.5,CN(25%),multi-pt,7,0.11
LS_28,1092,cDC,3.95,3,5.0,CBFB/MYH11(37%),multi-pt,7,0.01
LS_29,1090,B/plasma,0.76,2,3.7,del7q(53%),few-pt,2,0.0
LS_30,1057,T/NK,1.04,6,9.1,CN(20%),multi-pt,7,0.11
LS_31,1050,unresolved,0.27,2,2.8,CBFB/MYH11(69%),multi-pt,4,0.0
LS_32,1010,HSC/MPP,0.75,3,5.4,t(2;3)(p15;q26.2)(46%),multi-pt,4,0.05
LS_33,997,unresolved,0.42,2,2.9,RUNX1/RUNX1T1(71%),multi-pt,3,0.0
LS_34,980,Cell-cycle,3.1,3,10.3,CN(21%),multi-pt,5,0.09
LS_35,951,unresolved,0.33,1,2.1,RUNX1/RUNX1T1(83%),single-pt,2,0.0
LS_36,932,Neutrophil,4.0,1,1.8,t(7;14)(q21;q32)(86%),single-pt,1,0.0
LS_37,886,Cell-cycle,2.12,2,5.3,CBFB/MYH11(53%),multi-pt,4,0.01
LS_38,854,B/plasma,2.23,2,3.5,CBFB/MYH11(57%),multi-pt,6,0.02
LS_39,828,unresolved,0.26,3,3.0,CBFB/MYH11(65%),multi-pt,6,0.01
LS_40,628,unresolved,0.98,1,2.7,MLLr(76%),few-pt,1,0.01
LS_41,594,unresolved,0.19,1,3.3,RUNX1/RUNX1T1(69%),few-pt,2,0.02
LS_42,543,HSC/MPP,2.23,2,3.4,RUNX1/RUNX1T1(57%),multi-pt,3,0.01
LS_43,533,Monocyte,1.59,3,3.6,NUP98/NSD1(57%),multi-pt,3,0.01
LS_44,531,unresolved,0.8,1,1.1,Tri(8)(98%),single-pt,1,0.0
LS_45,402,Macrophage,1.85,1,1.4,RUNX1/RUNX1T1(91%),single-pt,2,0.0
LS_46,402,GMP,0.85,2,1.9,RUNX1/RUNX1T1(69%),few-pt,2,0.0
LS_47,360,Macrophage,1.52,3,6.9,CN(33%),multi-pt,8,0.09
LS_48,347,unresolved,0.23,1,1.8,MLLr(86%),single-pt,2,0.01
