"LS","HR","lo","hi","p","fdr","dir","lineage_program","stem_z","LSc"
"LS_42",1.23,0.98,1.55,0.0781606982051403,0.710756129011435,"poor","HSC/MPP",2.03275101062702,"LS42"
"LS_33",1.203,0.97,1.48,0.0858640254642242,0.710756129011435,"poor","unresolved",0.128888553895871,"LS33"
"LS_18",1.209,0.97,1.51,0.0932113286019225,0.710756129011435,"poor","unresolved",-0.586570680403345,"LS18"
"LS_21",1.19,0.97,1.47,0.101836337322828,0.710756129011435,"poor","unresolved",0.465805996583562,"LS21"
"LS_30",1.21,0.96,1.53,0.10565876777374,0.710756129011435,"poor","T/NK",-0.304931480693571,"LS30"
"LS_4",1.188,0.96,1.47,0.115769976583875,0.710756129011435,"poor","Cell-cycle",-0.325739779248114,"LS4"
"LS_43",0.81,0.62,1.05,0.116791388608677,0.710756129011435,"favorable","Monocyte",-0.515370600384968,"LS43"
"LS_39",1.178,0.95,1.46,0.132647089132048,0.710756129011435,"poor","unresolved",0.535611679627647,"LS39"
"LS_12",1.176,0.94,1.48,0.164960429753941,0.710756129011435,"poor","HSC/MPP",0.196520901981324,"LS12"
"LS_8",0.831,0.63,1.09,0.176897978035631,0.710756129011435,"favorable","GMP",-0.309802967462064,"LS8"
"LS_40",1.138,0.93,1.39,0.206145409709762,0.710756129011435,"poor","unresolved",-0.586292466749231,"LS40"
"LS_9",0.847,0.65,1.1,0.219729071380054,0.710756129011435,"favorable","unresolved",-0.440250413807472,"LS9"
"LS_23",1.14,0.92,1.41,0.221787088677641,0.710756129011435,"poor","unresolved",-0.245792993718872,"LS23"
"LS_11",1.143,0.91,1.43,0.24149669539534,0.710756129011435,"poor","Cell-cycle",-0.380487507440235,"LS11"
"LS_7",0.852,0.65,1.12,0.255213549268713,0.710756129011435,"favorable","B/plasma",0.202087381952408,"LS7"
"LS_38",0.86,0.66,1.12,0.261980561099754,0.710756129011435,"favorable","B/plasma",-0.0635722009698619,"LS38"
"LS_26",0.86,0.66,1.12,0.269395523743685,0.710756129011435,"favorable","GMP",-0.54451477344573,"LS26"
"LS_14",0.867,0.67,1.13,0.290489118031931,0.710756129011435,"favorable","T/NK",-0.0381290697184093,"LS14"
"LS_24",0.855,0.64,1.15,0.29849996978057,0.710756129011435,"favorable","unresolved",1.11971890441265,"LS24"
"LS_22",0.874,0.66,1.15,0.339568542102774,0.710756129011435,"favorable","GMP",-0.184678003995804,"LS22"
"LS_47",0.86,0.63,1.18,0.345042342983655,0.710756129011435,"favorable","Macrophage",-0.0992487571573583,"LS47"
"LS_25",1.113,0.89,1.39,0.345797106666534,0.710756129011435,"poor","T/NK",0.0285994301027094,"LS25"
"LS_44",1.115,0.88,1.41,0.358018356572601,0.710756129011435,"poor","unresolved",0.767482260524788,"LS44"
"LS_37",0.878,0.66,1.16,0.364807479559213,0.710756129011435,"favorable","Cell-cycle",-0.488965948532866,"LS37"
"LS_19",1.103,0.89,1.37,0.370185483860122,0.710756129011435,"poor","unresolved",1.49823057887558,"LS19"
"LS_17",0.898,0.69,1.16,0.417053156446002,0.725891132918255,"favorable","Megakaryocyte",-0.12579036813912,"LS17"
"LS_13",1.088,0.89,1.33,0.417510582158938,0.725891132918255,"poor","Monocyte",-0.599661255227777,"LS13"
"LS_1",0.903,0.7,1.17,0.44024817968664,0.725891132918255,"favorable","Erythroid",-0.087324050767976,"LS1"
"LS_31",0.891,0.66,1.21,0.45302973336011,0.725891132918255,"favorable","unresolved",0.0556271341394263,"LS31"
"LS_15",0.901,0.68,1.18,0.454197269387333,0.725891132918255,"favorable","Erythroid",-1.20983779873094,"LS15"
"LS_41",1.081,0.87,1.35,0.48718768112636,0.725891132918255,"poor","unresolved",0.162137262251058,"LS41"
"LS_48",0.914,0.71,1.18,0.493379952497056,0.725891132918255,"favorable","unresolved",-0.508081555137021,"LS48"
"LS_28",0.912,0.7,1.19,0.501300513993621,0.725891132918255,"favorable","cDC",-0.414820846127749,"LS28"
"LS_20",1.08,0.86,1.36,0.51626126009908,0.725891132918255,"poor","Cell-cycle",-0.551879146206628,"LS20"
"LS_3",0.922,0.72,1.19,0.529295617752894,0.725891132918255,"favorable","unresolved",-0.333135860435503,"LS3"
"LS_16",0.938,0.72,1.22,0.627415133973115,0.8199319841937,"favorable","B/plasma",1.34719342054984,"LS16"
"LS_46",1.057,0.83,1.34,0.64671177676182,0.8199319841937,"poor","GMP",-0.223482592386513,"LS46"
"LS_29",0.942,0.73,1.22,0.649112820820013,0.8199319841937,"favorable","B/plasma",1.40931207621629,"LS29"
"LS_35",0.95,0.74,1.22,0.686487152555461,0.824235827645792,"favorable","unresolved",-0.127886259338901,"LS35"
"LS_45",1.048,0.83,1.33,0.700535480093554,0.824235827645792,"poor","Macrophage",-0.60386783160239,"LS45"
"LS_5",1.044,0.84,1.31,0.704034769447447,0.824235827645792,"poor","Macrophage",-0.491999741268929,"LS5"
"LS_32",1.037,0.85,1.27,0.726036950988345,0.825833362735062,"poor","HSC/MPP",0.329346899985401,"LS32"
"LS_27",0.958,0.74,1.23,0.739809054116827,0.825833362735062,"favorable","unresolved",0.00554654869580506,"LS27"
"LS_6",1.026,0.81,1.3,0.832269998228611,0.907930907158485,"poor","B/plasma",0.935761806420308,"LS6"
