"LS","HR","p","dir"
"LS_12",1.26844988603816,0.00222508788559554,"poor"
"LS_33",1.21867919752334,0.00717621379266542,"poor"
"LS_39",1.18917140979302,0.0225769093224121,"poor"
"LS_2",1.19110027490667,0.0240895429223094,"poor"
"LS_42",1.19893290126495,0.0321983888153022,"poor"
"LS_40",1.15797354008713,0.047496597855284,"poor"
"LS_3",0.847638646066651,0.0715428748299282,"favorable"
"LS_14",0.850151264914873,0.0807934994946085,"favorable"
"LS_18",1.14161253362226,0.104447025325201,"poor"
"LS_21",1.13602536030799,0.113868328073245,"poor"
"LS_17",0.870704079047384,0.131696920328922,"favorable"
"LS_24",1.12404308766438,0.139735055714953,"poor"
"LS_31",0.845503124488824,0.142599713153896,"favorable"
"LS_22",0.873196749505949,0.152854361289692,"favorable"
"LS_47",0.861925735442191,0.173265584489361,"favorable"
"LS_5",1.10362682114534,0.181152514054945,"poor"
"LS_27",0.886566805183687,0.182714229045815,"favorable"
"LS_43",0.897189617266768,0.228282079111455,"favorable"
"LS_32",1.07592432367013,0.233884906514181,"poor"
"LS_37",0.89246626430767,0.247451658375669,"favorable"
"LS_35",0.902005774383607,0.249582643478943,"favorable"
"LS_8",0.904935484298349,0.264178959155906,"favorable"
"LS_29",0.905380101866241,0.277123163976967,"favorable"
"LS_20",1.09101866808009,0.308192725670983,"poor"
"LS_25",1.08125509559771,0.32899062707876,"poor"
"LS_46",0.916473864207728,0.3314311642735,"favorable"
"LS_23",0.913484972367714,0.339272625043935,"favorable"
"LS_4",1.07699106259726,0.360051759617687,"poor"
"LS_26",0.922224377596272,0.369359768559143,"favorable"
"LS_41",1.07287217805341,0.373411724811877,"poor"
"LS_19",1.07125183168854,0.392854641074955,"poor"
"LS_6",0.927796556800631,0.419079128774199,"favorable"
"LS_30",1.07210140902146,0.432152097131584,"poor"
"LS_13",1.05037878356741,0.516385542678666,"poor"
"LS_10",0.942736905211221,0.522013238401381,"favorable"
"LS_15",0.944083163591178,0.531411431006501,"favorable"
"LS_11",1.05746938892939,0.534735778746455,"poor"
"LS_45",1.04978763471449,0.561199303668146,"poor"
"LS_9",0.95103425735559,0.567535596997903,"favorable"
"LS_1",1.04234846017274,0.636362033812114,"poor"
"LS_48",0.965763687230607,0.690278022894922,"favorable"
"LS_44",1.0288724411809,0.748327343269044,"poor"
"LS_38",1.01699332269887,0.843392895593433,"poor"
"LS_36",1.01640277233989,0.852361227371137,"poor"
"LS_34",0.987599914884566,0.889223395422555,"favorable"
"LS_7",1.01165403892059,0.890268711973807,"poor"
"LS_16",1.01149935275047,0.892313699504174,"poor"
"LS_28",0.995711383479593,0.960864990897547,"favorable"
