LS,closest_program
LS_1,Erythroid
LS_2,HSC/MPP
LS_3,Macrophage
LS_4,Cell-cycle
LS_5,Macrophage
LS_6,B/plasma
LS_7,B/plasma
LS_8,GMP
LS_9,Macrophage
LS_10,GMP
LS_11,Cell-cycle
LS_12,HSC/MPP
LS_13,Monocyte
LS_14,T/NK
LS_15,Erythroid
LS_16,B/plasma
LS_17,Megakaryocyte
LS_18,GMP
LS_19,B/plasma
LS_20,Cell-cycle
LS_21,B/plasma
LS_22,GMP
LS_23,B/plasma
LS_24,HSC/MPP
LS_25,T/NK
LS_26,GMP
LS_27,Erythroid
LS_28,cDC
LS_29,B/plasma
LS_30,T/NK
LS_31,Cell-cycle
LS_32,HSC/MPP
LS_33,Erythroid
LS_34,Cell-cycle
LS_35,B/plasma
LS_36,Neutrophil
LS_37,Cell-cycle
LS_38,B/plasma
LS_39,HSC/MPP
LS_40,GMP
LS_41,B/plasma
LS_42,HSC/MPP
LS_43,Monocyte
LS_44,Erythroid
LS_45,Macrophage
LS_46,GMP
LS_47,Macrophage
LS_48,Monocyte
