LS,HR,p,fdr,dir,lineage_program,n_cyto>=10%,eff_n_cyto,patient_class,apl_frac,LSc
LS_35,0.685,3.38477648497878e-10,1.62469271278982e-08,favorable,unresolved,1,2.1,single-pt,0.0,LS35
LS_8,0.723,3.97117003041978e-07,9.53080807300748e-06,favorable,GMP,3,5.6,multi-pt,0.39,LS8
LS_40,1.167,2.94831253999638e-05,0.0004717300063994,poor,unresolved,1,2.7,few-pt,0.01,LS40
LS_18,1.175,0.0001041946247685,0.0012503354972231,poor,unresolved,4,7.4,multi-pt,0.01,LS18
LS_19,1.144,0.001073258976889,0.0103032861781353,poor,unresolved,3,4.0,multi-pt,0.09,LS19
LS_28,1.137,0.0015005865258544,0.0120046922068357,poor,cDC,3,5.0,multi-pt,0.01,LS28
LS_1,0.863,0.0038578431012638,0.0234114283957279,favorable,Erythroid,5,9.4,multi-pt,0.05,LS1
LS_27,0.868,0.0039019047326213,0.0234114283957279,favorable,unresolved,5,8.5,multi-pt,0.11,LS27
LS_25,1.122,0.0056392944510229,0.0300762370721223,poor,T/NK,1,1.4,single-pt,0.0,LS25
LS_21,1.112,0.0091750470408152,0.0440402257959133,poor,unresolved,1,2.4,multi-pt,0.01,LS21
LS_9,1.115,0.0146850369765446,0.0640801613521946,poor,unresolved,4,6.7,multi-pt,0.2,LS9
LS_46,0.889,0.0211755567844702,0.0847022271378807,favorable,GMP,2,1.9,few-pt,0.0,LS46
LS_20,1.102,0.0253272100154547,0.0935158523647558,poor,Cell-cycle,4,9.3,multi-pt,0.1,LS20
LS_2,0.896,0.0286140270493451,0.0981052355977545,favorable,unresolved,1,1.3,multi-pt,0.0,LS2
LS_36,1.092,0.0362928621924902,0.116137159015969,poor,Neutrophil,1,1.8,single-pt,0.0,LS36
LS_42,1.088,0.0460912331014384,0.133243267248745,poor,HSC/MPP,2,3.4,multi-pt,0.01,LS42
LS_3,0.905,0.0471903238172637,0.133243267248745,favorable,unresolved,4,8.3,multi-pt,0.15,LS3
LS_43,0.907,0.0502572128680671,0.134019234314846,favorable,Monocyte,3,3.6,multi-pt,0.01,LS43
LS_44,0.913,0.0666138629264365,0.165153893968622,favorable,unresolved,1,1.1,single-pt,0.0,LS44
LS_16,1.085,0.068814122486926,0.165153893968622,poor,B/plasma,2,4.2,multi-pt,0.03,LS16
LS_30,1.083,0.0769056249366637,0.175784285569517,poor,T/NK,6,9.1,multi-pt,0.11,LS30
LS_48,1.081,0.0852033599548403,0.18589823990147,poor,unresolved,1,1.8,single-pt,0.01,LS48
LS_23,1.072,0.0955218866130215,0.199350024235871,poor,unresolved,1,3.7,multi-pt,0.05,LS23
LS_17,1.072,0.118324011133818,0.236648022267635,poor,Megakaryocyte,3,8.5,multi-pt,0.01,LS17
LS_7,0.929,0.135368581410302,0.25990767630778,favorable,B/plasma,4,6.1,multi-pt,0.16,LS7
LS_15,1.062,0.162529446873568,0.300054363458895,poor,Erythroid,1,1.4,single-pt,0.0,LS15
LS_4,1.061,0.178959174501116,0.31814964355754,poor,Cell-cycle,3,9.6,multi-pt,0.09,LS4
LS_47,1.052,0.208377504573176,0.357218579268301,poor,Macrophage,3,6.9,multi-pt,0.09,LS47
LS_26,0.948,0.257860060484083,0.422916148649632,favorable,GMP,3,6.3,multi-pt,0.0,LS26
LS_14,1.05,0.26432259290602,0.422916148649632,poor,T/NK,3,3.9,few-pt,0.14,LS14
LS_13,1.044,0.275849318900666,0.427121526039741,poor,Monocyte,2,3.5,multi-pt,0.04,LS13
LS_45,0.951,0.330606670860313,0.482428307577071,favorable,Macrophage,1,1.4,single-pt,0.0,LS45
LS_22,1.045,0.332171654487197,0.482428307577071,poor,GMP,3,4.7,multi-pt,0.05,LS22
LS_41,0.955,0.341720051200425,0.482428307577071,favorable,unresolved,1,3.3,few-pt,0.02,LS41
LS_33,0.965,0.463633027610071,0.633945294755234,favorable,unresolved,2,2.9,multi-pt,0.0,LS33
LS_24,1.032,0.475458971066426,0.633945294755234,poor,unresolved,1,1.3,single-pt,0.0,LS24
LS_32,1.028,0.507189533647856,0.65797561121884,poor,HSC/MPP,3,5.4,multi-pt,0.05,LS32
LS_11,1.03,0.525607927491735,0.663925803147455,poor,Cell-cycle,4,9.9,multi-pt,0.09,LS11
LS_39,0.978,0.629920416784533,0.775286666811733,favorable,unresolved,3,3.0,multi-pt,0.01,LS39
LS_29,1.018,0.693214896498754,0.831857875798505,poor,B/plasma,2,3.7,few-pt,0.0,LS29
LS_37,1.012,0.78463243575391,0.918594071126529,poor,Cell-cycle,2,5.3,multi-pt,0.01,LS37
LS_38,0.991,0.8493848025745,0.954988939628753,favorable,B/plasma,2,3.5,multi-pt,0.02,LS38
LS_34,1.006,0.891327057840327,0.954988939628753,poor,Cell-cycle,3,10.3,multi-pt,0.09,LS34
LS_12,1.006,0.896354203552809,0.954988939628753,poor,HSC/MPP,2,5.4,multi-pt,0.05,LS12
LS_6,1.005,0.907594836862019,0.954988939628753,poor,B/plasma,1,3.4,multi-pt,0.07,LS6
LS_10,0.996,0.926592188468727,0.954988939628753,favorable,GMP,3,4.8,multi-pt,0.5,LS10
LS_5,1.004,0.93509333671982,0.954988939628753,poor,Macrophage,3,3.9,multi-pt,0.0,LS5
LS_31,1.001,0.986949587640867,0.986949587640867,poor,unresolved,2,2.8,multi-pt,0.0,LS31
