"LS","HR_adj","lo","hi","p_adj","fdr_adj","dir","fdr_uni","lineage_program","apl_frac","LSc"
"LS_27",0.86,0.78,0.95,0.00323587566744815,0.155322032037511,"favorable",0.0234114283957279,"unresolved",0.11,"LS27"
"LS_35",0.86,0.76,0.98,0.0195061459997985,0.340493641321313,"favorable",1.62469271278982e-08,"unresolved",0,"LS35"
"LS_10",1.087,1.01,1.17,0.0299220520781854,0.340493641321313,"poor",0.954988939628753,"GMP",0.5,"LS10"
"LS_8",0.892,0.8,0.99,0.0393704195226284,0.340493641321313,"favorable",9.53080807300748e-06,"GMP",0.39,"LS8"
"LS_41",1.108,1,1.23,0.0476568910720057,0.340493641321313,"poor",0.482428307577071,"unresolved",0.02,"LS41"
"LS_25",1.088,1,1.18,0.0514894336048106,0.340493641321313,"poor",0.0300762370721223,"T/NK",0,"LS25"
"LS_18",1.086,1,1.18,0.063383491176781,0.340493641321313,"poor",0.00125033549722315,"unresolved",0.01,"LS18"
"LS_1",0.912,0.83,1.01,0.0721601757258882,0.340493641321313,"favorable",0.0234114283957279,"Erythroid",0.05,"LS1"
"LS_32",1.08,0.99,1.18,0.0771836141205945,0.340493641321313,"poor",0.65797561121884,"HSC/MPP",0.05,"LS32"
"LS_44",0.916,0.83,1.01,0.0785285526026285,0.340493641321313,"favorable",0.165153893968622,"unresolved",0,"LS44"
"LS_4",1.081,0.99,1.18,0.0800525986553313,0.340493641321313,"poor",0.31814964355754,"Cell-cycle",0.09,"LS4"
"LS_21",1.076,0.99,1.17,0.0851234103303283,0.340493641321313,"poor",0.0440402257959133,"unresolved",0.01,"LS21"
"LS_23",1.079,0.99,1.18,0.100425969122288,0.351774250486881,"poor",0.199350024235871,"unresolved",0.05,"LS23"
"LS_36",1.074,0.99,1.17,0.102600823058674,0.351774250486881,"poor",0.116137159015969,"Neutrophil",0,"LS36"
"LS_28",1.074,0.98,1.17,0.115027268014591,0.36808725764669,"poor",0.0120046922068357,"cDC",0.01,"LS28"
"LS_6",0.929,0.84,1.03,0.1545768516905,0.453485064785244,"favorable",0.954988939628753,"B/plasma",0.07,"LS6"
"LS_34",0.936,0.85,1.03,0.160609293778107,0.453485064785244,"favorable",0.954988939628753,"Cell-cycle",0.09,"LS34"
"LS_43",0.941,0.85,1.04,0.226342169266221,0.591507434973776,"favorable",0.134019234314846,"Monocyte",0.01,"LS43"
"LS_19",1.056,0.97,1.16,0.23413835967712,0.591507434973776,"poor",0.0103032861781353,"unresolved",0.09,"LS19"
"LS_45",1.06,0.96,1.17,0.253063452191657,0.607352285259977,"poor",0.482428307577071,"Macrophage",0,"LS45"
"LS_46",1.058,0.95,1.18,0.297378833631681,0.672524356252702,"poor",0.0847022271378807,"GMP",0,"LS46"
"LS_42",1.043,0.96,1.13,0.318654172843798,0.672524356252702,"poor",0.133243267248745,"HSC/MPP",0.01,"LS42"
"LS_30",0.953,0.87,1.05,0.322251254037753,0.672524356252702,"favorable",0.175784285569517,"T/NK",0.11,"LS30"
"LS_33",1.043,0.95,1.15,0.383576493123494,0.747226959262374,"poor",0.633945294755234,"unresolved",0,"LS33"
"LS_38",0.961,0.87,1.06,0.408050998777092,0.747226959262374,"favorable",0.954988939628753,"B/plasma",0.02,"LS38"
"LS_39",1.04,0.94,1.15,0.428577374345215,0.747226959262374,"poor",0.775286666811733,"unresolved",0.01,"LS39"
"LS_22",1.037,0.95,1.13,0.429985031817597,0.747226959262374,"poor",0.482428307577071,"GMP",0.05,"LS22"
"LS_3",0.964,0.87,1.06,0.464562740333239,0.747226959262374,"favorable",0.133243267248745,"unresolved",0.15,"LS3"
"LS_2",1.038,0.94,1.15,0.471366048624463,0.747226959262374,"poor",0.0981052355977545,"unresolved",0,"LS2"
"LS_29",0.967,0.88,1.06,0.474722108798943,0.747226959262374,"favorable",0.831857875798505,"B/plasma",0,"LS29"
"LS_20",1.032,0.95,1.12,0.48258407785695,0.747226959262374,"poor",0.0935158523647558,"Cell-cycle",0.1,"LS20"
"LS_16",1.029,0.94,1.13,0.530495269446422,0.776397680800607,"poor",0.165153893968622,"B/plasma",0.03,"LS16"
"LS_37",1.029,0.94,1.12,0.533773405550417,0.776397680800607,"poor",0.918594071126529,"Cell-cycle",0.01,"LS37"
"LS_14",1.025,0.94,1.12,0.567661997148941,0.800933799681727,"poor",0.422916148649632,"T/NK",0.14,"LS14"
"LS_24",0.974,0.89,1.07,0.584014228934593,0.800933799681727,"favorable",0.633945294755234,"unresolved",0,"LS24"
"LS_17",1.025,0.93,1.12,0.603944679887922,0.805259573183896,"poor",0.236648022267635,"Megakaryocyte",0.01,"LS17"
"LS_15",1.021,0.93,1.12,0.645529489153657,0.809440933725714,"poor",0.300054363458895,"Erythroid",0,"LS15"
"LS_48",0.979,0.89,1.07,0.653819944312983,0.809440933725714,"favorable",0.18589823990147,"unresolved",0.01,"LS48"
"LS_11",1.019,0.93,1.11,0.669037710050754,0.809440933725714,"poor",0.663925803147455,"Cell-cycle",0.09,"LS11"
"LS_40",1.017,0.94,1.11,0.686452195149966,0.809440933725714,"poor",0.00047173000639942,"unresolved",0.01,"LS40"
"LS_7",0.98,0.89,1.08,0.691397464224047,0.809440933725714,"favorable",0.25990767630778,"B/plasma",0.16,"LS7"
"LS_9",1.017,0.93,1.11,0.715823930694198,0.81808449222194,"poor",0.0640801613521946,"unresolved",0.2,"LS9"
"LS_26",1.015,0.92,1.11,0.748700399429173,0.835758585409309,"poor",0.422916148649632,"GMP",0,"LS26"
"LS_31",0.988,0.9,1.08,0.802266194457019,0.875199484862202,"favorable",0.986949587640867,"unresolved",0,"LS31"
"LS_47",1.008,0.93,1.09,0.847896895568438,0.904423355273,"poor",0.357218579268301,"Macrophage",0.09,"LS47"
"LS_12",0.994,0.91,1.09,0.903487558916805,0.942769626695796,"favorable",0.954988939628753,"HSC/MPP",0.05,"LS12"
"LS_5",1.002,0.92,1.09,0.960472170794652,0.978565591827687,"poor",0.954988939628753,"Macrophage",0,"LS5"
"LS_13",1.001,0.92,1.09,0.978565591827687,0.978565591827687,"poor",0.427121526039741,"Monocyte",0.04,"LS13"
