"LS","HR","p","fdr","dir","HR_within","p_within","fdr_within","lineage_program","breadth","LSc"
"LS_35",0.685,3.38477648497878e-10,1.62469271278982e-08,"favorable",0.821,0.00181677687894968,0.0290684300631949,"unresolved",1,"LS35"
"LS_8",0.723,3.97117003041978e-07,9.53080807300748e-06,"favorable",0.846,0.0225186257289722,0.270223508747666,"GMP",3,"LS8"
"LS_40",1.167,2.94831253999638e-05,0.00047173000639942,"poor",1.062,0.15800001599173,0.379200038380153,"unresolved",1,"LS40"
"LS_18",1.175,0.000104194624768596,0.00125033549722315,"poor",1.15,0.00128660935170667,0.0290684300631949,"unresolved",4,"LS18"
"LS_19",1.144,0.00107325897688909,0.0103032861781353,"poor",1.071,0.131253983263345,0.379200038380153,"unresolved",3,"LS19"
"LS_28",1.137,0.00150058652585446,0.0120046922068357,"poor",1.1,0.0355337166063675,0.28426973285094,"cDC",3,"LS28"
"LS_1",0.863,0.00385784310126388,0.0234114283957279,"favorable",0.903,0.0442296341612216,0.302489076020319,"Erythroid",5,"LS1"
"LS_27",0.868,0.00390190473262133,0.0234114283957279,"favorable",0.844,0.000810109138618612,0.0290684300631949,"unresolved",5,"LS27"
"LS_25",1.122,0.00563929445102294,0.0300762370721223,"poor",1.084,0.0629594811726068,0.325986604991813,"T/NK",1,"LS25"
"LS_21",1.112,0.00917504704081526,0.0440402257959133,"poor",1.087,0.0504148460033865,0.302489076020319,"unresolved",1,"LS21"
"LS_9",1.115,0.0146850369765446,0.0640801613521946,"poor",1.041,0.39060812500634,0.694414444455716,"unresolved",4,"LS9"
"LS_46",0.889,0.0211755567844702,0.0847022271378807,"favorable",1.003,0.963633606545586,0.963633606545586,"GMP",2,"LS46"
"LS_20",1.102,0.0253272100154547,0.0935158523647558,"poor",1.059,0.19563121963687,0.422609039333263,"Cell-cycle",4,"LS20"
"LS_2",0.896,0.0286140270493451,0.0981052355977545,"favorable",1.021,0.696174823654516,0.817369733790934,"unresolved",1,"LS2"
"LS_36",1.092,0.0362928621924902,0.116137159015969,"poor",1.076,0.0898715323947519,0.359486129579008,"Neutrophil",1,"LS36"
"LS_42",1.088,0.0460912331014384,0.133243267248745,"poor",1.062,0.149341899636905,0.379200038380153,"HSC/MPP",2,"LS42"
"LS_3",0.905,0.0471903238172637,0.133243267248745,"favorable",0.927,0.130874091203598,0.379200038380153,"unresolved",4,"LS3"
"LS_43",0.907,0.0502572128680671,0.134019234314846,"favorable",0.912,0.067913876039961,0.325986604991813,"Monocyte",3,"LS43"
"LS_44",0.913,0.0666138629264365,0.165153893968622,"favorable",0.897,0.0289534643838196,0.277953258084669,"unresolved",1,"LS44"
"LS_16",1.085,0.068814122486926,0.165153893968622,"poor",1.03,0.529132273017379,0.77990023510425,"B/plasma",2,"LS16"
"LS_30",1.083,0.0769056249366637,0.175784285569517,"poor",0.966,0.479685040567395,0.77990023510425,"T/NK",6,"LS30"
"LS_48",1.081,0.0852033599548403,0.18589823990147,"poor",0.968,0.524058954490025,0.77990023510425,"unresolved",1,"LS48"
"LS_23",1.072,0.0955218866130215,0.199350024235871,"poor",1.069,0.156880227333485,0.379200038380153,"unresolved",1,"LS23"
"LS_17",1.072,0.118324011133818,0.236648022267635,"poor",1.007,0.890382522678043,0.909326831671193,"Megakaryocyte",3,"LS17"
"LS_7",0.929,0.135368581410302,0.25990767630778,"favorable",0.992,0.870497132801824,0.909326831671193,"B/plasma",4,"LS7"
"LS_15",1.062,0.162529446873568,0.300054363458895,"poor",0.992,0.872429875330181,0.909326831671193,"Erythroid",1,"LS15"
"LS_4",1.061,0.178959174501116,0.31814964355754,"poor",1.061,0.172065817427691,0.39329329697758,"Cell-cycle",3,"LS4"
"LS_47",1.052,0.208377504573176,0.357218579268301,"poor",1.02,0.630282970793139,0.77990023510425,"Macrophage",3,"LS47"
"LS_26",0.948,0.257860060484083,0.422916148649632,"favorable",1.015,0.766353551714093,0.855464429820383,"GMP",3,"LS26"
"LS_14",1.05,0.26432259290602,0.422916148649632,"poor",1.024,0.601006202420376,0.77990023510425,"T/NK",3,"LS14"
"LS_13",1.044,0.275849318900666,0.427121526039741,"poor",1.021,0.616085056556213,0.77990023510425,"Monocyte",2,"LS13"
"LS_45",0.951,0.330606670860313,0.482428307577071,"favorable",1.065,0.211304519666632,0.422609039333263,"Macrophage",1,"LS45"
"LS_22",1.045,0.332171654487197,0.482428307577071,"poor",1.073,0.125918572120079,0.379200038380153,"GMP",3,"LS22"
"LS_41",0.955,0.341720051200425,0.482428307577071,"favorable",1.075,0.151847316970016,0.379200038380153,"unresolved",1,"LS41"
"LS_33",0.965,0.463633027610071,0.633945294755234,"favorable",1.033,0.522310769311089,0.77990023510425,"unresolved",2,"LS33"
"LS_24",1.032,0.475458971066426,0.633945294755234,"poor",1.012,0.798575721918486,0.871173514820167,"unresolved",1,"LS24"
"LS_32",1.028,0.507189533647856,0.65797561121884,"poor",1.024,0.606457307471782,0.77990023510425,"HSC/MPP",3,"LS32"
"LS_11",1.03,0.525607927491735,0.663925803147455,"poor",1.017,0.698169980946423,0.817369733790934,"Cell-cycle",4,"LS11"
