LS,LSn,LSC_Eppert,HSC,prognosis
LS37,37,-0.007613949582436719,-0.08580556574226922,ns
LS42,42,0.3764373741433875,0.13814022617189572,ns
LS3,3,0.03397680965704401,-0.06053349961795568,ns
LS37,37,0.10247078604497034,-0.12780180735568122,ns
LS27,27,0.1803211194278453,-0.05589563244890912,favorable
LS37,37,0.1017435019687414,-0.11246360874575052,ns
LS3,3,0.18478612844563397,-0.07945340846871732,ns
LS11,11,-0.044293445958425964,-0.09833407860919521,ns
LS35,35,0.09344907696989241,-0.022292579156691653,favorable
LS45,45,0.09066420019511057,-0.06875615008560115,ns
LS42,42,0.19306135848102934,0.07463652382121239,ns
LS42,42,0.2696338576786703,0.1903566235512547,ns
LS42,42,0.2560409091542436,0.10567204871550687,ns
LS10,10,0.07402786105534312,-0.08646285563832047,ns
LS42,42,0.03463967983013411,-0.041835652020995207,ns
LS37,37,0.018872887101553354,-0.14101390120374607,ns
LS37,37,0.09648729823396196,-0.061638483585211984,ns
LS37,37,0.055844085289487366,-0.10267236522557174,ns
LS3,3,0.084599120774018,-0.03236208480771117,ns
LS42,42,0.2839422160217773,0.1637140570944077,ns
LS42,42,0.36841605128353216,0.09357376456241742,ns
LS37,37,0.08620722339210479,-0.06486071343202471,ns
LS37,37,0.005602690152698611,-0.07687372822143045,ns
LS37,37,-0.02208986826629261,-0.07775728233688546,ns
LS1,1,-0.027035360596611838,-0.05925197202291449,favorable
LS37,37,0.03638600921841209,-0.11331355521868462,ns
LS3,3,0.06751167711752784,-0.061600778491925995,ns
LS20,20,0.0613863082309383,-0.16548704333770303,poor
LS38,38,0.1364265822628033,-0.10212863712806797,ns
LS2,2,0.23385938902613806,-0.012859913737243156,favorable
LS34,34,-0.03231961187463114,-0.21214918830903504,ns
LS42,42,0.1659961802459204,0.047352319687808536,ns
LS30,30,0.009344227162148971,-0.07899952314142566,ns
LS42,42,0.3719341908074425,-0.05857582839829242,ns
LS37,37,0.044020951205059805,-0.05260185879182591,ns
LS37,37,2.3370410970724453e-05,-0.08227281131504968,ns
LS37,37,-0.039364476357736905,-0.1141381691348331,ns
LS13,13,-0.00966043632681915,-0.18005048041563154,ns
LS37,37,-0.03446667010967547,-0.12245217806125784,ns
LS33,33,0.013489750288129015,-0.04135834970853572,ns
LS37,37,0.05549388093530294,-0.07529729739392652,ns
LS37,37,-0.032333824172439324,-0.16189148715350418,ns
LS37,37,-0.020676123001439395,-0.0834727685561745,ns
LS37,37,0.0018542357834699652,-0.026381817139796843,ns
LS11,11,0.009831398815894413,-0.08730053123569888,ns
LS37,37,-0.02934501254594718,-0.13247647465023535,ns
LS20,20,0.2747774915587386,0.027797277925454056,poor
LS42,42,0.13220877866952718,0.012980044849671135,ns
LS11,11,-0.03029475647258731,-0.12971857940801518,ns
LS37,37,0.03587990711633912,-0.09878813201268277,ns
LS37,37,-0.03580423160002913,-0.11687638669831982,ns
LS34,34,0.1403109306207136,-0.10446432584499216,ns
LS37,37,0.009815926521581059,-0.11242851571040186,ns
LS42,42,0.26243687123019144,0.05861216178858886,ns
LS1,1,0.09150274417142024,0.023501834891609043,favorable
LS37,37,-0.042288407629963304,-0.13486352920481717,ns
LS37,37,-0.064753663615481,-0.11189386216167625,ns
LS37,37,0.014390538933193642,-0.11931998919243593,ns
LS42,42,0.27381768028105724,0.23925974528533558,ns
LS37,37,-0.03260690317293287,-0.03532636964809187,ns
LS42,42,0.3826761279909414,0.1303095006834153,ns
LS37,37,0.061391449184959396,-0.0036384142680754294,ns
LS9,9,0.024237190753525525,-0.08327404963920305,poor
LS37,37,-0.018069395323512233,-0.09550267303339108,ns
LS17,17,0.2214398948095178,0.008569849358859655,ns
LS42,42,0.1310725794503733,0.12753297092487648,ns
LS37,37,-0.020666376434149453,-0.13324255524320083,ns
LS37,37,0.11757556314733952,0.033693368623938694,ns
LS3,3,0.06693884831405651,-0.0728444561716624,ns
LS37,37,0.011388600940772708,-0.13881022377442484,ns
LS12,12,0.12052079814177821,-0.03427171927880864,ns
LS37,37,0.025482397024250897,-0.10677796048599307,ns
LS3,3,0.13052700622238864,-0.0830607585827177,ns
LS42,42,0.2809744530681214,0.14982264518586264,ns
LS1,1,0.11733415181360067,-0.04542180950513717,favorable
LS42,42,0.2097711776089727,0.09378013978550717,ns
LS37,37,0.05228058589139126,-0.06383128038156552,ns
LS13,13,0.1269163600268494,-0.1877775567346038,ns
LS33,33,0.21101424514606432,-0.061186743325572425,ns
LS37,37,0.035770982101267945,-0.1052125491856531,ns
LS37,37,0.031329161015824225,-0.0729824281687151,ns
LS42,42,0.16896524421433165,-0.021146538037755236,ns
LS37,37,-0.0629444295853204,-0.10626829122563843,ns
LS30,30,-0.01163109110707844,-0.10589597694045828,ns
LS42,42,0.44497889962313353,0.19966795364556866,ns
LS37,37,0.0011862572606089195,0.02132556889624257,ns
LS9,9,0.022889324742504685,-0.06326873013165206,poor
LS42,42,0.0827070524911431,-0.01162749907139668,ns
LS1,1,-0.017410746349064407,-0.024685437747100095,favorable
LS37,37,0.029408890056583814,-0.12285032952073635,ns
LS3,3,-0.00699363742152094,-0.04075405233132751,ns
LS42,42,0.3159316120510559,0.1286803739782196,ns
LS1,1,0.17532304564487317,-0.013478086757543743,favorable
LS38,38,0.09013778459345437,-0.1536853103956917,ns
LS3,3,-0.03644994404942396,-0.09627086048844469,ns
LS37,37,0.01059252557788698,-0.08663208135501112,ns
LS13,13,0.09097283833737477,-0.11784494557210712,ns
LS24,24,0.04386085381940405,-0.02344550496977167,ns
LS20,20,0.0022562183162414817,-0.08667213088797725,poor
LS3,3,-0.018511674080073814,-0.07232168030040534,ns
LS37,37,0.03455603099704152,-0.1361602783203125,ns
LS30,30,0.15726442339665508,-0.07356895542543802,ns
LS24,24,0.08725157959388248,-0.032452537071325414,ns
LS42,42,0.08610402252643207,0.02028490562230864,ns
LS42,42,0.3683823889728943,0.19818192275864396,ns
LS34,34,0.2943473765433969,-0.11834750539903817,ns
LS42,42,0.3106784447185389,0.21047974566232414,ns
LS37,37,0.007162700975963443,-0.01735108078400542,ns
LS42,42,0.40559897726483346,0.27682553013466743,ns
LS3,3,0.09935858205622275,-0.03806181495696406,ns
LS42,42,0.3635792297077205,0.10716364785628729,ns
LS20,20,-0.029625386747408083,-0.03473828467112541,poor
LS37,37,-0.14893737587351624,-0.13211899761375523,ns
LS34,34,0.04281810995038296,-0.1685512543469628,ns
LS37,37,-0.0253556090871066,-0.09733216353540142,ns
LS1,1,0.04281786988844448,-0.01399395614475727,favorable
LS37,37,0.021353769210340018,-0.09290320802673142,ns
LS34,34,0.05243653517503005,-0.06579519629156455,ns
LS42,42,0.17473622067821953,0.15985792984454086,ns
LS1,1,0.06472436659323601,0.0344036438386702,favorable
LS42,42,0.13393980562111746,0.09140965160844462,ns
LS37,37,-0.011611341345497558,-0.06154643421891344,ns
LS3,3,-0.0025257778982830936,-0.06712154244778047,ns
LS37,37,-0.016960404351094832,-0.12294711884310246,ns
LS42,42,0.41839934276226365,0.19449231038816617,ns
LS42,42,0.13874637045280513,0.03250678725985362,ns
LS37,37,0.010628665811535015,-0.09001429051036117,ns
LS20,20,-0.048394131929972384,-0.12200364627598718,poor
LS37,37,-0.02043142126781211,-0.11681495570737448,ns
