LS,gene,log2FC,padj
LS_1,IGLV1-40,5.3725643,1.2318344937708426e-11
LS_1,IGHV3-23,5.326038,3.9492908314082224e-08
LS_1,HIST1H1E,1.1622008,1.1264337759606245e-90
LS_1,MTRNR2L12,1.0485761,0.0
LS_10,ELANE,4.440331,0.0
LS_10,PTGDS,4.096501,1.2535417435399985e-161
LS_10,AZU1,3.9523187,0.0
LS_10,SLPI,3.8116422,1.7458419438952213e-30
LS_10,C2CD4B,3.7030184,1.4365759013622512e-08
LS_10,CTSG,3.683264,0.0
LS_10,CST7,3.2929535,3.4854114042257138e-248
LS_10,ASS1,3.2194753,3.096961600486294e-13
LS_10,CFD,3.107423,0.0
LS_10,PRTN3,3.0647984,2.72638775650371e-235
LS_10,MEG3,3.0069628,7.061406362468764e-10
LS_10,ANKRD18A,2.982956,0.00024213598046700377
LS_10,TEKT2,2.878105,0.00030303100927856885
LS_10,IGFBP2,2.875604,2.5168844882408075e-189
LS_10,LIN7A,2.7930272,1.79419356118702e-08
LS_10,MS4A3,2.6689572,5.327100808529925e-106
LS_10,MARC1,2.667103,9.319587610870849e-18
LS_10,BCL2L10,2.6404068,0.00014232238798375156
LS_10,MPO,2.5658886,8.963560143087726e-177
LS_10,UGT3A2,2.485967,1.8761725105916275e-05
LS_10,RNASE3,2.4609036,5.4610948064527183e-67
LS_10,CLU,2.3964212,1.7678479243317212e-91
LS_10,TLE1,2.368319,1.9148236142587594e-07
LS_10,CYTL1,2.3415112,7.986662769173256e-112
LS_10,KCNE5,2.24596,6.224670062157e-78
LS_10,LINC00926,2.203122,2.132664346555928e-31
LS_10,CLTCL1,2.1291926,4.8209982179501955e-06
LS_10,RNASE2,2.1234086,3.289677094275095e-188
LS_10,AIG1,2.1036334,1.8101065874584657e-30
LS_10,AFF2,2.0877068,7.226817910085721e-18
LS_10,CEBPE,2.0751328,5.95366143161162e-29
LS_10,APOC2,1.9716697,4.6922252385673254e-55
LS_10,SRGN,1.9662693,7.132567775748403e-266
LS_10,MST1,1.9567971,0.00040961148014493926
LS_10,HGF,1.9511198,2.8123959070931695e-69
LS_10,SNORC,1.9441309,5.973984326871394e-15
LS_10,LGALS12,1.912706,2.177513500618315e-09
LS_10,IL17RE,1.9002928,1.7654450574815372e-17
LS_10,DSC2,1.8949679,5.385685685175324e-05
LS_10,STAB1,1.837239,9.248115191601685e-88
LS_10,AGAP9,1.8333814,0.00013031051441243232
LS_10,CPA3,1.8319008,8.998466108927018e-66
LS_10,MT2A,1.8011128,3.791750495847245e-51
LS_10,NAALADL1,1.7953216,1.852802836321901e-16
LS_10,S100B,1.7631738,1.433179996228779e-11
LS_10,SMIM10,1.724991,2.1181181633005155e-06
LS_10,GPT2,1.685474,3.006490207398901e-11
LS_10,BASP1,1.6321375,7.98874538722722e-10
LS_10,TSPOAP1,1.6028466,1.7564610875418457e-41
LS_10,PVT1,1.5933086,4.091582988454558e-22
LS_10,TRPM4,1.5346035,0.0006826303442125916
LS_10,P4HB,1.5121729,5.428081968275588e-219
LS_10,PLPPR3,1.4872133,1.6678146203217384e-29
LS_10,RETN,1.4397031,3.135265037252168e-17
LS_10,CST3,1.4257984,2.3784349523543942e-114
LS_10,CTSW,1.4139732,4.242469919916569e-121
LS_10,TRGC2,1.3977011,6.725274660405467e-10
LS_10,GNLY,1.3934019,0.0001267655920874559
LS_10,CLEC11A,1.3869213,4.600889019220943e-144
LS_10,CERCAM,1.3853979,9.559908104191357e-10
LS_10,TENT5C,1.3796277,2.0722725345772517e-09
LS_10,DENND10,1.3737415,8.383867896051431e-43
LS_10,PRSS57,1.3549838,1.1743998692273034e-199
LS_10,AC099489.1,1.3334279,0.000716642323385817
LS_10,STAR,1.3319144,5.437387686193753e-07
LS_10,COL23A1,1.323213,4.209480117394163e-13
LS_10,NTNG2,1.3089668,0.0006817809730657564
LS_10,NUCB2,1.3060285,1.9884528466347929e-162
LS_10,NPW,1.3001075,1.899672785981616e-30
LS_10,CRNDE,1.2974945,5.0721497646073515e-31
LS_10,ARMH1,1.2768047,6.309461637537084e-120
LS_10,LTC4S,1.269523,1.1733426085460947e-35
LS_10,MGST1,1.2667047,3.100038671922013e-131
LS_10,CSTA,1.2588334,1.3126993775834742e-31
LS_10,HAL,1.2584618,0.0006262344421861833
LS_10,SNHG29,1.218599,4.251935802062203e-296
LS_10,PPIB,1.2130802,9.22531222065855e-177
LS_10,PLAC8,1.2051622,1.8110107288966938e-118
LS_10,NDUFB9,1.1866962,1.0312534459554296e-126
LS_10,TENT5A,1.169128,1.9934147642773303e-60
LS_10,FAM118A,1.149856,6.161407885003714e-06
LS_10,CEBPD,1.1048124,2.0665487927326554e-44
LS_10,HOMER3,1.0756773,9.09393207761788e-34
LS_10,LINC00623,1.027617,2.0662779403296452e-07
LS_11,RRM2,5.3856573,0.0
LS_11,MYBL2,4.8544397,0.0
LS_11,HIST1H3B,4.830285,0.0
LS_11,HIST1H1B,4.799158,0.0
LS_11,SPC25,4.7488,3.877837864163518e-185
LS_11,PKMYT1,4.630097,0.0
LS_11,MKI67,4.6251082,0.0
LS_11,TK1,4.614108,0.0
LS_11,CDCA5,4.56394,0.0
LS_11,ESCO2,4.537621,9.557264943719484e-142
LS_11,E2F8,4.52489,1.2428537998863933e-111
LS_11,HIST1H3G,4.524328,6.413517325459309e-126
LS_11,AURKB,4.521221,0.0
LS_11,FOXM1,4.3770785,0.0
LS_11,KIFC1,4.2820477,0.0
LS_11,TOP2A,4.2782526,0.0
LS_11,TYMS,4.2569275,0.0
LS_11,UBE2C,4.222334,0.0
LS_11,SPC24,4.1858163,2.9629873221638997e-122
LS_11,CDCA3,4.1849594,2.3085278723073764e-219
LS_11,CENPM,4.178845,0.0
LS_11,CCNA2,4.138134,0.0
LS_11,KIF18B,4.134092,1.0410925345324752e-47
LS_11,PCLAF,4.1180887,0.0
LS_11,CDK1,4.105751,1.441619197338796e-253
LS_11,CKAP2L,4.085547,1.6539768734778355e-167
LS_11,HJURP,4.0798616,9.300869149642043e-123
LS_11,PBK,4.0694532,1.0309937411440202e-05
LS_11,NCAPH,4.0557775,2.802706850122413e-258
LS_11,HIST1H1A,4.053935,7.975761121124137e-18
LS_11,MELK,4.034565,5.866405192159388e-82
LS_11,ASF1B,4.0111494,0.0
LS_11,DIAPH3,4.0095243,2.71108371626048e-200
LS_11,APOBEC3B,3.984215,1.496208595347432e-83
LS_11,HIST1H3F,3.9756095,3.3280726903286156e-113
LS_11,BIRC5,3.973607,0.0
LS_11,SKA3,3.9673245,8.703354007579215e-218
LS_11,NUSAP1,3.9474707,0.0
LS_11,HIST1H4C,3.9047098,0.0
LS_11,EXO1,3.8972085,3.818357663017299e-91
LS_11,KIF15,3.8921661,9.859240155508783e-181
LS_11,TICRR,3.890301,3.182041712349005e-81
LS_11,SKA1,3.8863351,3.830829832212526e-37
LS_11,IQGAP3,3.8558261,2.48606628747567e-55
LS_11,NCAPG,3.8262944,6.175026712397674e-220
LS_11,E2F2,3.822656,1.8945927143260096e-57
LS_11,E2F7,3.8140614,7.64674166403649e-21
LS_11,KIF20A,3.8090713,2.577349706181871e-98
LS_11,RAD54L,3.7859788,1.0406436573396686e-134
LS_11,GTSE1,3.7828498,1.1292823002066189e-128
LS_11,ESPL1,3.7755866,6.950091646509267e-32
LS_11,RTKN2,3.7735574,7.291343863505937e-17
LS_11,MCM10,3.7721698,1.1108117038757528e-171
LS_11,HIST1H3C,3.7605114,2.518349546810733e-190
LS_11,CDC25C,3.7548964,3.923253300996719e-26
LS_11,HIST1H3D,3.7234833,0.0
LS_11,ZWINT,3.7229476,0.0
LS_11,HIST1H2AI,3.7189639,3.621384964676337e-129
LS_11,CDCA2,3.713283,7.458269203801652e-110
LS_11,KIF4A,3.702392,1.3699179448182269e-104
LS_11,CLSPN,3.6908238,0.0
LS_11,RAD51,3.6889558,1.9527692241996613e-216
LS_11,CDC45,3.682033,7.524779050920533e-269
LS_11,MND1,3.680467,1.1349874439185945e-196
LS_11,FAM111B,3.674071,3.5640523770539635e-52
LS_11,NDC80,3.666457,4.237708706673563e-156
LS_11,KIF11,3.6486619,8.46212553149734e-271
LS_11,KIF2C,3.6009705,1.5766620258468564e-122
LS_11,RAD51AP1,3.5992813,1.3515672597998745e-253
LS_11,HIST1H2BM,3.5807889,3.4587111566058093e-09
LS_11,HIST1H2AJ,3.5673065,6.553091194286791e-22
LS_11,RDM1,3.564401,7.643670552997206e-05
LS_11,CDCA8,3.5449328,1.4015727548602057e-183
LS_11,SHCBP1,3.5226529,9.006627657126429e-131
LS_11,FBXO43,3.5165741,9.680596470395984e-16
LS_11,CDC6,3.5047457,2.54655476400702e-181
LS_11,HIST2H2AB,3.5042753,1.82730808360703e-77
LS_11,NUF2,3.492438,8.250962943471025e-126
LS_11,ANLN,3.4817562,2.0769030230837313e-172
LS_11,POLQ,3.4380221,4.038554959536675e-132
LS_11,HASPIN,3.4309776,3.947547589654383e-52
LS_11,KNL1,3.4199817,4.485439245073742e-176
LS_11,RECQL4,3.411905,5.50747659472219e-172
LS_11,NEIL3,3.3541412,1.9371082379103707e-115
LS_11,TPX2,3.3511589,0.0
LS_11,DHFR,3.3495543,0.0
LS_11,KIF24,3.3358054,6.711717774865263e-21
LS_11,ERCC6L,3.3318622,4.050923349398715e-11
LS_11,ASPM,3.3290102,5.218429623157987e-211
LS_11,UBE2T,3.3195431,2.539150172145828e-273
LS_11,SPAG5,3.316377,1.7277443958873645e-159
