"LS","Description","p.adjust","term"
"LS_35","GOBP_RIBOSOME_BIOGENESIS",3.21550589007852e-07,"ribosome biogenesis"
"LS_35","GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",6.21794319149043e-06,"ribonucleoprotein complex biogenesis"
"LS_35","GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_CLASS_II_PROTEIN_COMPLEX",6.21794319149043e-06,"peptide antigen assembly with mhc class ii protein complex"
"LS_35","GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX",9.8149828241174e-06,"peptide antigen assembly with mhc protein complex"
"LS_35","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS",7.54528853052698e-05,"ribosomal large subunit biogenesis"
"LS_35","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN",0.000395202001984324,"antigen processing and presentation of exogenous peptide antigen"
"LS_35","GOBP_RRNA_PROCESSING",0.000395202001984324,"rrna processing"
"LS_35","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II",0.000671370520250564,"antigen processing and presentation of exogenous peptide antigen via mhc class ii"
"LS_35","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN",0.00255215561086596,"antigen processing and presentation of peptide antigen"
"LS_35","GOBP_RRNA_METABOLIC_PROCESS",0.00255215561086596,"rrna metabolic process"
"LS_35","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN",0.00270038380564683,"antigen processing and presentation of exogenous antigen"
"LS_35","GOBP_LYMPHOCYTE_DIFFERENTIATION",0.00270038380564683,"lymphocyte differentiation"
"LS_35","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II",0.00298061952981186,"antigen processing and presentation of peptide or polysaccharide antigen via mhc class ii"
"LS_35","GOBP_MITOCHONDRIAL_GENE_EXPRESSION",0.00426359493315792,"mitochondrial gene expression"
"LS_35","GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE",0.00494912139065109,"lymphocyte activation involved in immune response"
"LS_35","GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS",0.00585748538445663,"mitochondrial rna metabolic process"
"LS_35","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION",0.00998744983265625,"antigen processing and presentation"
"LS_35","GOBP_XMP_METABOLIC_PROCESS",0.011003939442367,"xmp metabolic process"
"LS_35","GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS",0.0114295143664203,"dicarboxylic acid metabolic process"
"LS_35","GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE",0.0225783033062097,"cell activation involved in immune response"
"LS_35","GOBP_MATURATION_OF_5_8S_RRNA",0.0340964061502649,"maturation of 5 8s rrna"
"LS_35","GOBP_DE_NOVO_IMP_BIOSYNTHETIC_PROCESS",0.0415179317620165,"de novo imp biosynthetic process"
"LS_35","GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION",0.0415179317620165,"positive regulation of cell activation"
"LS_35","GOBP_AMINO_ACID_METABOLIC_PROCESS",0.0468881997114159,"amino acid metabolic process"
"LS_35","GOBP_METHYLATION",0.0471645892394798,"methylation"
"LS_35","GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",0.0471645892394798,"antigen receptor mediated signaling pathway"
"LS_35","GOBP_B_CELL_DIFFERENTIATION",0.0482878550790946,"b cell differentiation"
"LS_35","GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",0.0555577026675919,"maturation of 5 8s rrna from tricistronic rrna transcript ssu rrna 5 8s rrna lsu rrna"
"LS_35","GOBP_MACROMOLECULE_METHYLATION",0.0842623584482344,"macromolecule methylation"
"LS_35","GOBP_MATURATION_OF_LSU_RRNA",0.114766147833753,"maturation of lsu rrna"
