LS,lab,group,dir,HR,p
LS_35,LS35,Favorable,favorable,0.685,3.38477648497878e-10
LS_8,LS8  GMP,Favorable,favorable,0.723,3.97117003041978e-07
LS_1,LS1  Erythroid,Favorable,favorable,0.863,0.0038578431012638
LS_27,LS27,Favorable,favorable,0.868,0.0039019047326213
LS_46,LS46  GMP,Favorable,favorable,0.889,0.0211755567844702
LS_2,LS2,Favorable,favorable,0.896,0.0286140270493451
LS_40,LS40,Poor,poor,1.167,2.94831253999638e-05
LS_18,LS18,Poor,poor,1.175,0.0001041946247685
LS_19,LS19,Poor,poor,1.144,0.001073258976889
LS_28,LS28  cDC,Poor,poor,1.137,0.0015005865258544
LS_25,LS25  T/NK,Poor,poor,1.122,0.0056392944510229
LS_21,LS21,Poor,poor,1.112,0.0091750470408152
LS_9,LS9,Poor,poor,1.115,0.0146850369765446
LS_20,LS20  Cell-cycle,Poor,poor,1.102,0.0253272100154547
