LS,program,z,lab,group,dir,HR,p
LS_35,HSC/MPP,0.011939818,LS35,Favorable,favorable,0.685,3.38477648497878e-10
LS_8,HSC/MPP,0.06678475,LS8  GMP,Favorable,favorable,0.723,3.97117003041978e-07
LS_1,HSC/MPP,0.68546665,LS1  Erythroid,Favorable,favorable,0.863,0.0038578431012638
LS_27,HSC/MPP,0.62561077,LS27,Favorable,favorable,0.868,0.0039019047326213
LS_46,HSC/MPP,-0.5383558,LS46  GMP,Favorable,favorable,0.889,0.0211755567844702
LS_2,HSC/MPP,0.14995791,LS2,Favorable,favorable,0.896,0.0286140270493451
LS_40,HSC/MPP,-0.34590212,LS40,Poor,poor,1.167,2.94831253999638e-05
LS_18,HSC/MPP,-0.7783948,LS18,Poor,poor,1.175,0.0001041946247685
LS_19,HSC/MPP,0.46273726,LS19,Poor,poor,1.144,0.001073258976889
LS_28,HSC/MPP,-0.8795265,LS28  cDC,Poor,poor,1.137,0.0015005865258544
LS_25,HSC/MPP,-0.40251032,LS25  T/NK,Poor,poor,1.122,0.0056392944510229
LS_21,HSC/MPP,0.17880954,LS21,Poor,poor,1.112,0.0091750470408152
LS_9,HSC/MPP,0.07219456,LS9,Poor,poor,1.115,0.0146850369765446
LS_20,HSC/MPP,0.22620907,LS20  Cell-cycle,Poor,poor,1.102,0.0253272100154547
LS_35,GMP,0.19424288,LS35,Favorable,favorable,0.685,3.38477648497878e-10
LS_8,GMP,1.2130901,LS8  GMP,Favorable,favorable,0.723,3.97117003041978e-07
LS_1,GMP,0.09938052,LS1  Erythroid,Favorable,favorable,0.863,0.0038578431012638
LS_27,GMP,0.3382867,LS27,Favorable,favorable,0.868,0.0039019047326213
LS_46,GMP,0.84851784,LS46  GMP,Favorable,favorable,0.889,0.0211755567844702
LS_2,GMP,-0.6842394,LS2,Favorable,favorable,0.896,0.0286140270493451
LS_40,GMP,0.9819121,LS40,Poor,poor,1.167,2.94831253999638e-05
LS_18,GMP,1.5433367,LS18,Poor,poor,1.175,0.0001041946247685
LS_19,GMP,-0.52632266,LS19,Poor,poor,1.144,0.001073258976889
LS_28,GMP,-0.65446293,LS28  cDC,Poor,poor,1.137,0.0015005865258544
LS_25,GMP,-1.7174704,LS25  T/NK,Poor,poor,1.122,0.0056392944510229
LS_21,GMP,-0.7917015,LS21,Poor,poor,1.112,0.0091750470408152
LS_9,GMP,0.88286567,LS9,Poor,poor,1.115,0.0146850369765446
LS_20,GMP,0.46786824,LS20  Cell-cycle,Poor,poor,1.102,0.0253272100154547
LS_35,Neutrophil,-0.44279227,LS35,Favorable,favorable,0.685,3.38477648497878e-10
LS_8,Neutrophil,-0.06505986,LS8  GMP,Favorable,favorable,0.723,3.97117003041978e-07
LS_1,Neutrophil,0.27402407,LS1  Erythroid,Favorable,favorable,0.863,0.0038578431012638
LS_27,Neutrophil,0.11281124,LS27,Favorable,favorable,0.868,0.0039019047326213
LS_46,Neutrophil,-0.33693117,LS46  GMP,Favorable,favorable,0.889,0.0211755567844702
LS_2,Neutrophil,-0.45490718,LS2,Favorable,favorable,0.896,0.0286140270493451
LS_40,Neutrophil,-0.10112981,LS40,Poor,poor,1.167,2.94831253999638e-05
LS_18,Neutrophil,0.8487015,LS18,Poor,poor,1.175,0.0001041946247685
LS_19,Neutrophil,-0.3660559,LS19,Poor,poor,1.144,0.001073258976889
