,CD34,HLF,AVP,CRHBP,HOXA9,MEIS1,MLLT3,PROM1,MECOM,GATA2,MPO,ELANE,AZU1,PRTN3,CTSG,CEBPE,LYST,CFD,LYZ,CD14,CSF1R,FCN1,VCAN,S100A8,S100A9,CD68,C1QA,C1QB,C1QC,MRC1,SIGLEC1,TREM1,CD1C,FCER1A,CLEC10A,CD207,CD1E,IRF8,IRF7,LILRA4,GZMB,IL3RA,PPBP,PF4,ITGA2B,GP9,GP1BA,VWF,TUBB1,PF4V1,GATA1,KLF1,GYPA,ALAS2,TFRC,AHSP,FUT4,CEACAM8,MMP8,CD177,LTF,LCN2,CAMP,MMP9,CD19,MS4A1,CD79A,CD79B,IGHM,JCHAIN,BLNK,CD3D,CD3E,IL7R,NKG7,GNLY,CD2,GZMH,MKI67,TOP2A,CDK1,UBE2C,CENPA,BIRC5,PCNA,NUSAP1,BUB1B
LS_1,0.91096336,0.9514855,0.55209583,1.2939856,0.003816053,0.5931821,1.0299656,0.4731439,0.5707366,0.47529167,0.28343847,0.30192932,0.08880896,0.22153357,0.11763383,-0.13779904,0.057832822,-0.13833378,0.18120806,0.80868965,-0.17666997,0.3658801,0.7570817,0.6481318,0.7700897,-0.09105557,-0.575771,0.24445339,-0.2487162,0.14062391,0.16359532,-0.07377679,0.9546708,0.5655515,0.54071635,-0.14586498,0.7146257,0.4175496,-0.021550026,1.544224,2.6822906,0.023153575,-0.486986,-0.44190785,1.1167628,-0.031397842,0.4677761,1.3945647,0.30412608,-0.17898932,1.3604437,1.051855,1.7398204,2.6770792,0.9668796,2.0783732,0.5723884,-0.43821368,1.564343,-0.25979573,0.96188635,-0.40481558,-0.6821186,0.8785182,0.7713436,1.19103,0.71205264,-0.016814558,0.31652513,0.7170424,0.6809479,1.3834629,2.1380522,2.0764198,0.094495565,0.5726514,1.3111274,1.5489087,1.0518231,1.2034913,1.08868,1.0545396,0.97963965,0.62555665,0.55945826,1.0430161,1.0867841
LS_2,1.1335661,0.1377264,-0.20231582,-0.3194752,-0.8946946,0.79295933,1.2516546,0.90099305,-1.2191223,-0.08171272,0.7758466,-0.74639976,-0.88095593,-0.78765476,-1.597343,-0.37946385,-0.996735,-0.86120945,-1.6097903,-0.79020345,-1.443285,-1.1430473,-0.69974315,-1.1139414,-1.0264204,0.15928438,-0.575771,-0.72427243,-0.60525036,0.32194692,-0.8663718,-0.4242441,-0.51456153,-0.9135288,-0.4734994,-0.14586498,-0.42732772,-1.2991005,-0.7929975,-0.62353015,-0.71305764,0.13985966,-0.5335429,-0.31644836,0.19221339,1.781235,0.48290324,-0.28108957,-0.11250179,-0.05961535,-0.46806067,0.20725788,-0.4817682,-0.5408385,-0.30604023,-0.57494396,-0.7957654,-0.43821368,-0.3975628,-0.05824998,-0.2233045,-0.40481558,-0.52384084,-0.7975045,-0.95196164,-0.334211,-0.5673678,1.5309479,0.9873394,-0.59149903,0.029185962,0.057466958,0.011924124,-0.40111512,-1.9517701,-1.0656692,-0.321548,-0.6556871,0.120708,-0.42145318,-0.5380006,-0.5730401,-0.3851575,-0.29704437,-0.5635985,-0.32827702,-0.33360913
LS_3,0.2555444,-0.24672008,0.08645972,0.36782283,0.4069429,0.2044421,-0.7427332,0.13381867,0.5934044,0.39002478,0.48468065,0.95805514,1.0266471,0.8194835,0.89285624,0.4956154,0.28845322,0.9547732,0.78545946,0.84246016,0.37251824,0.84210765,0.73837245,0.86439157,0.85960054,0.68742144,0.5489094,2.2618918,1.8899221,-0.2761672,1.6531092,0.64185935,1.3348072,0.41117272,1.0936426,-0.14586498,0.7699603,0.7480471,0.2620314,0.8310896,2.5725908,0.11859484,-0.0046734666,-0.44190785,-0.0046672337,0.4764634,0.43998533,0.5552079,-0.5566937,-0.17898932,0.5197547,0.7451824,0.43123057,1.4700385,-0.38854307,0.874536,0.6720751,0.5146751,1.1612686,-0.25979573,0.6519243,-0.40481558,0.53640443,1.1194329,0.6617398,1.6020267,0.79068726,0.0062425234,0.38397157,-0.011893345,0.39110798,1.0134057,0.96699095,0.9864943,0.69498354,1.0796701,0.45737404,1.6167961,-0.14743002,0.061611053,-0.7439252,-0.024486357,0.1862317,0.122037165,-0.1489003,-0.13764708,0.3684684
LS_4,0.37449884,-0.38703248,0.14687058,0.6591911,0.28490165,-0.009883565,-0.12934922,0.24959922,0.278157,0.011145179,0.44654548,0.5372014,0.60742897,0.7269436,0.77704734,0.13580437,-0.16842386,0.40048158,0.5689424,-0.24354182,-0.018211138,0.22601706,-0.07324272,0.39250037,0.29461104,-0.14431763,-0.5264734,0.15756181,-0.47667965,-0.28509694,-0.60941285,-0.25734216,-0.04725632,0.048378542,-0.44385552,-0.14586498,-0.1657481,0.41972893,-1.068714,-0.62353015,-0.3327176,-0.47054476,-0.5177495,-0.3547143,0.15305233,0.11272807,-0.13516252,0.3991373,-0.47148758,-0.17898932,0.18301632,0.5638131,0.29445115,-0.4945991,0.15849608,0.057559904,0.31658226,-0.24728532,-0.14907925,-0.030612953,0.28854728,-0.28668308,0.07950311,0.33048263,0.6466163,-0.136169,0.38042158,-0.39411813,0.19229743,-0.8650847,0.23618715,0.90078706,0.61785346,-0.44385463,0.538139,0.73362315,0.2886933,-0.5022341,1.1512126,1.3423333,1.8890393,1.4782652,0.8631478,1.6012981,2.7926612,1.4119868,1.4982346
LS_5,-2.0049295,-0.38703248,-0.6555051,-0.96142393,-0.91510534,-1.4535531,-1.4008309,-1.8386236,-1.3207669,-2.2694669,-1.3555449,-0.3290757,-0.54033095,-0.47324947,-1.6038978,0.86219347,0.9808512,0.68420345,1.530647,2.7805178,1.1746486,2.368385,2.2242274,2.1584966,2.2780247,2.2235653,4.372299,2.4482996,3.608346,1.7582508,2.321937,2.8798616,1.6160736,-0.32114613,1.9543773,-0.14586498,0.33606687,0.90960133,0.9305198,0.7845833,-0.35018456,-1.737287,1.4726003,0.49001682,-0.86310285,-0.93223965,-0.6054159,-1.5206656,0.414806,-0.17898932,-0.6431465,-1.1843745,-0.4817682,0.12621112,-1.3798991,0.10639794,-1.0168219,1.7950671,0.6807495,0.41361785,2.719398,2.4997647,2.4938028,1.451424,-1.425135,-0.1459818,-1.7371768,-0.6627305,-0.8958494,-0.109817214,-0.44449908,-1.2694136,-0.63433677,-0.7772152,0.1923944,-0.6084468,-0.33252776,-0.16679782,-0.55209094,-0.3984323,-0.8232653,-0.4683506,-0.48306105,-0.82118297,-1.3494887,-0.9479389,-1.3732344
LS_6,0.29287204,0.74599034,0.5242155,-0.23023655,1.2568972,0.28170222,0.7531645,0.5311521,1.1681325,0.5914259,-0.77878064,-0.781439,-0.9580394,-1.4106894,-0.3094195,-1.0658957,-0.09749439,0.10631646,-0.28488252,-0.6510673,1.197385,-0.062241573,-0.6372851,-0.038572658,-0.19734721,0.38963115,-0.575771,-0.15214808,-0.60525036,-0.4013709,-0.90757966,-0.7049053,-0.3850368,-1.004334,0.61294186,-0.14586498,0.040035315,-0.24004164,0.8649637,-0.62353015,-0.8508986,1.7551993,0.7467522,-0.15274358,-0.139068,-0.79762024,-0.017408013,1.278571,-0.095799334,-0.17898932,-0.71589965,-1.2708988,-0.4817682,-0.73146385,-0.5128936,-0.6804556,-1.0207573,-0.43821368,-0.3975628,-0.25979573,-0.4763327,0.86512434,-0.10542067,1.0714619,0.60939044,0.787478,1.485651,0.5749374,0.95377284,0.872599,1.2802783,0.5133893,0.28110543,-0.34730768,0.8882005,1.0182614,1.5833049,0.671023,-1.484283,-0.68100846,-0.7248165,-0.8866593,-0.6020752,-1.1737515,-0.72227645,-0.9023427,-0.17590518
LS_7,0.99359846,0.056789268,0.45696405,0.5791236,0.35571367,-0.12651365,-0.44847444,0.48098743,0.4607131,0.49553627,0.3419719,0.33887044,0.041582845,-0.19774082,-0.12130203,0.22146788,-0.2671088,0.5180158,-0.3439595,-0.3560044,-0.31645867,-0.46906817,-0.5789248,-0.48264426,-0.45686466,0.19643934,-0.575771,0.28407,0.15618183,-0.39127246,-0.4186445,0.6565137,-0.36638024,-0.18252164,-0.527918,-0.14586498,-0.29858232,-0.58995306,0.58565533,-0.45211396,-0.6624828,0.78630155,-0.32408923,-0.44190785,-0.063637346,0.33999214,-0.40636122,0.07188319,-0.13283604,-0.17898932,-0.38623476,-0.116956666,-0.39565504,0.25056395,-0.2747752,-0.8121814,-0.52524394,-0.43821368,-0.3975628,-0.12692988,-0.36230338,-0.40481558,-0.18562418,0.071447946,1.1543949,-0.25507906,1.212427,0.90425307,0.10793766,1.4365039,-0.115359135,0.49992672,-0.7413866,-0.57152075,0.1653435,0.75516915,-0.5853815,-0.46120828,-0.5893537,-0.64811426,-0.78738916,-0.9066738,-0.62207323,-0.5979189,-0.9329202,-0.7084139,-1.149462
LS_8,-0.531513,-0.38703248,-0.006057952,-0.3418336,0.5147209,-0.016570136,-0.18152058,0.07009689,0.9508861,0.59667134,1.2368865,1.405794,1.1819605,0.72983545,1.5799457,1.4156187,1.1518778,1.0028015,0.08619578,-0.12243386,0.07394031,0.014450934,-0.6240107,-0.14882651,-0.2703902,-0.76009756,-0.575771,0.3560819,-0.22142158,-0.48751658,0.19066136,0.26257345,-0.5283525,-0.48843676,-0.24143471,-0.14586498,-0.47191575,-0.14893706,-0.9130104,-0.62353015,0.112637006,-0.47685108,-0.6163967,-0.44190785,-0.1574062,0.6846418,-0.37943894,-0.015781114,-0.5566937,-0.17898932,-0.7644607,0.6238376,-0.361189,-0.8816073,0.7462149,-1.0938507,0.11729719,-0.43821368,-0.3975628,-0.25979573,0.39739963,-0.17068155,-0.3112278,0.54230577,-0.27032554,1.0082941,0.055648338,-0.25547042,-0.57150716,-0.9092273,-0.08658639,0.811414,-0.6705914,-1.0258428,0.07397897,0.23143028,-0.106689975,-0.7421792,-0.94762135,-0.3433328,-0.71442235,-0.84872323,-0.5134538,-0.6845048,-0.17011009,-0.46163818,-0.5568986
LS_9,-0.33012196,-0.38703248,-0.1716326,0.0016426571,0.3804972,0.93822783,-0.78530204,-0.40354922,0.9405064,0.53870994,0.6837471,1.0374038,1.103532,0.8343481,0.72889316,0.6085156,1.1259288,0.9405566,0.7379154,0.66343415,0.76865834,0.43287587,0.68008053,0.47644296,0.5226379,0.5052729,-0.575771,2.1371882,1.9629891,0.18727736,2.4091399,0.4027019,-0.6298935,-0.49799618,0.7804522,-0.14586498,0.062658675,0.90860486,0.4711216,-0.09478588,-0.8508986,0.17482913,-0.9195444,0.012051788,-0.20810759,-0.014407069,-0.65316147,0.016593695,-0.5566937,-0.17898932,0.00086234947,0.141405,-0.4817682,-0.5264819,0.68604213,-0.66754824,1.6417503,0.52250147,1.7044986,-0.25979573,0.2825259,-0.40481558,-0.22399488,-0.11381032,-0.018840568,0.34646764,-0.0839367,-0.5143002,-0.48083723,-0.6457081,0.1276472,0.3924631,-0.22167164,0.76845354,0.3357096,1.2768848,0.23091605,-0.7421792,-1.0064054,-0.4589145,-0.63559186,-0.51105773,-0.43512335,-0.75635797,-0.59899515,-0.41733235,-0.43665087
LS_10,-0.77191883,-0.09856423,0.00465736,-0.855451,0.28302884,-0.3845036,-1.2778265,-0.609528,0.1544713,0.073913164,1.4211851,1.7236441,1.6308815,1.2320902,2.077408,1.7414182,1.0595171,1.6669925,0.68703014,-0.37807927,0.10760168,0.3798889,-0.7944712,-0.04397686,-0.18799381,0.21737827,-0.4711165,0.5590568,0.2316719,-0.75974286,1.4503639,-0.09211558,-0.51446265,-0.76563907,-0.671442,-0.14586498,-0.47191575,0.4277251,-0.78535825,-0.62353015,0.13008589,-0.6277065,-0.56307393,-0.37409043,-0.46380305,1.3244565,-0.16974957,-0.40513715,-0.40915197,-0.17898932,-0.8558842,0.49455294,-0.4817682,-0.8816073,-0.4886246,-1.0938507,0.5936064,-0.43821368,-0.3975628,-0.25979573,-0.15949264,-0.08768081,-0.08669294,0.37647972,-0.6781147,-0.80907285,-0.014489766,-0.22222742,-1.0639275,-1.0693197,-0.06283924,1.1429623,-0.40906775,-1.0858722,0.5010862,0.91240555,-0.43967384,-0.035255995,-0.64167637,-0.3776551,-0.636708,-0.32281455,-0.34626794,-0.30052382,-0.24369141,-0.71497566,-0.46973357
