gene,log2FC,padj
LSP1,2.5131643,8.018617960397805e-206
LST1,1.7835548,6.937130514899469e-170
AIF1,1.2944093,7.896462249272544e-152
LGALS1,1.0381362,1.3087352700378606e-123
LAT2,1.8349895,2.6083438154991815e-122
SPNS3,2.1287127,8.492461333890726e-122
GSTP1,0.32774144,3.6672366948518556e-120
CD7,3.2395425,4.483319706360526e-115
CD3D,3.2349133,1.2315090633365917e-106
SERF2,0.34591508,1.2441067483556308e-99
NKG7,1.7608795,1.016059776314644e-98
ARMH1,1.0948138,3.645040607154347e-95
EEF1D,0.12331379,2.2304665928477007e-91
TMSB4X,0.35762435,2.3836710193245183e-91
TMSB10,0.34189734,6.782669182031417e-90
TESC,2.3838892,3.116304527653469e-87
S100A6,1.149219,1.4132883380012461e-86
LTB,2.783188,2.4775122776258217e-86
S100A4,0.78547096,7.619964737746956e-86
CYBA,0.17702182,2.779832541396288e-84
CAPG,1.05323,6.782223451574916e-81
COX4I1,0.1819637,3.05925160214323e-76
TRBC1,3.8527005,4.730515067013511e-69
VAMP8,0.26695475,3.4123499148600835e-64
IL9R,4.4588976,9.581454945453275e-64
PYCARD,0.784777,2.828395925864506e-62
MYO18B,5.119909,1.2081311077252367e-60
FUT7,2.5322905,4.996828619927624e-60
C15orf39,1.534235,2.199052167470806e-58
DNTT,1.7258897,4.5754483071419475e-58
SH3BP5,3.3778656,1.1089535914444992e-54
CRNDE,1.4674712,1.4350089182608273e-49
IL17RE,2.3350334,9.312721776142622e-46
ELANE,2.3018608,5.433603660380873e-45
MNX1,5.148848,1.8879281333881755e-44
S100A11,1.3008609,1.2360289968339387e-43
MTRNR2L12,0.14547715,1.7447787533308328e-43
HSH2D,0.68787915,4.084867498117684e-43
LIME1,1.6554253,1.0320052351807907e-42
MGLL,1.1957537,1.7922290870362018e-41
UBA52,0.080888145,6.0563913124902794e-40
MYL6,0.1384087,2.154412070727007e-39
ADRB2,1.8607104,8.39883524817341e-39
BCL11B,5.153475,1.627513779278162e-38
IL2RG,0.7401548,7.009492597966719e-38
ATP5F1E,0.49506474,8.711151835040735e-37
