gene,log2FC,padj
MALAT1,1.0329111,0.0
MPO,2.0419245,3.3955376360452708e-276
IGLL1,1.9591378,8.749246907300037e-256
ITM2A,1.4296734,2.766784448839774e-219
TRH,2.6712663,8.408019205556469e-219
CALR,0.72205293,8.23110184124804e-204
EGFL7,1.1371372,5.581578472837265e-187
EGR1,1.2631642,5.920692650636932e-178
CYTL1,1.3718438,2.566257373619332e-164
MEST,1.5374087,3.398186780877759e-164
FSCN1,1.1690432,9.553060130980988e-145
DIPK1B,1.8308215,1.1859587934589297e-129
SMIM24,0.93775576,2.3320188752617847e-127
CLIP3,2.8801522,2.446287501300498e-127
ZBTB16,1.5045292,1.4030719063526143e-126
CD34,1.0244751,7.472863691932656e-124
NPM1,0.25187606,4.846722222258614e-123
MDK,1.9789226,7.413555907232507e-123
CDK6,0.691218,2.904908195273964e-121
CSF3R,0.8251779,5.716435534995482e-121
MACF1,0.7328954,1.8619266005847062e-118
SLC2A3,1.1163826,2.1055024881380502e-111
RBPMS,2.319828,4.392839631175153e-110
EEF2,0.17751648,2.313722475944585e-109
MCTP2,1.1879455,5.869448967236139e-103
C1QTNF4,1.0166029,2.3571132177461847e-102
SEPTIN6,0.53368825,2.2521901235886814e-98
KIT,1.053963,7.501988646915465e-98
BAALC,1.2256014,3.681886484407946e-97
H2AFY,0.2982279,4.901551950118317e-96
MTRNR2L12,0.288975,1.225713449765848e-94
SPARC,1.3652327,1.5615796952974657e-93
KDM5B,0.732966,3.880113603288124e-92
NPR3,1.1043414,7.631556511587895e-92
SPRY2,1.8461246,3.1075713260904535e-91
HNRNPA1,0.13027933,7.094983490326525e-91
SERPINB1,0.33038923,1.2120502013206366e-90
XIST,1.1382526,1.3768001518864503e-90
ST18,2.20969,9.497604197327656e-89
RHEX,1.5842682,9.247452841916085e-87
NEAT1,0.60725564,9.067095048321905e-85
CD69,0.97590923,1.2666024229369084e-84
RHOB,0.84558,4.581664934561294e-84
RHOBTB3,1.2546736,2.8895771385182972e-83
VAMP5,1.3730305,2.699675844467657e-82
CPXM1,1.0167959,1.4283759776956114e-79
KCNQ5,1.7842429,2.193463627765995e-79
KRT18,1.2453371,6.2752695344415974e-77
SLC25A29,0.81944114,1.0142772831922189e-74
SLC45A3,1.4611397,3.2564938493692696e-73
MIR181A1HG,0.858379,7.669055762600192e-73
GNAI1,1.6877167,1.9582008495924697e-72
ISYNA1,0.9360858,1.2555093328422054e-71
HSP90AB1,0.168946,4.2674271372344785e-70
TPSAB1,1.3076998,2.6640567275289357e-67
CD52,1.0465298,2.57029899462926e-65
DUSP2,1.2632055,9.699442848825268e-65
EMILIN1,1.8837956,7.307619650023414e-62
JUP,0.73954767,1.958436984100581e-61
RUNX1,0.6003374,9.895091445702402e-60
EVA1B,0.720325,7.030996947821175e-59
CCND2,0.7300613,1.3140079030040818e-58
TXNDC5,0.8533057,1.981836163724157e-58
TMIGD2,1.1754686,4.618434993756143e-58
TM4SF1,2.3662527,6.171048231140954e-58
IL1B,0.98405695,1.9729673491578384e-57
TSC22D1,1.1171083,3.290732230951397e-57
IRX1,2.7818549,3.238263682838639e-55
GNG11,2.47598,1.2916980041963517e-54
ITGA9,1.3919786,7.831503895470438e-54
UHRF1,1.017421,7.530440311935238e-53
PAM,1.6441927,3.670441614780037e-52
AL590226.1,2.6316125,1.3260876433048731e-51
SPRY1,1.8503487,3.5929680269601636e-51
GTSF1,0.7323811,4.181034229364957e-51
