res,cluster,n_cells,mean_jaccard,sd_jaccard,top_patient_frac,top_patient,n_patients,top_PAC
2.0,0,860,0.7121619354295083,0.2281180111422917,0.2930232558139535,0_HealthyBM2,22,PPAC_4:6%
2.0,1,2620,0.5418820383497646,0.17003104397797827,0.11641221374045801,AML4035,30,PPAC_4:37%
2.0,2,4018,0.4030025669464539,0.1044200075972891,0.2665505226480836,AML4363,27,PPAC_2:53%
2.0,3,4151,0.6160922225819709,0.11309637105801285,0.21344254396530957,AML948,27,PPAC_1:90%
2.0,4,3559,0.6504060931231348,0.16549733640629008,0.09047485248665356,AML335,30,FPAC_1:1%
2.0,5,2166,0.823720972968254,0.10462026461115165,0.7262234533702677,AML4035,28,-
2.0,6,1143,0.6280643462786866,0.12622198942949578,0.11461067366579178,AML4304,30,PPAC_4:1%
2.0,7,2200,0.5092983516867396,0.16963755987223994,0.13863636363636364,AML4116,26,PPAC_3:0%
2.0,8,4828,0.5084558313519981,0.08878899638170425,0.19987572493786246,AML4304,29,PPAC_3:42%
2.0,9,696,0.6396865126023765,0.22761609459581728,0.36063218390804597,AML4271,25,PPAC_1:2%
2.0,10,2760,0.41538260258338705,0.1011497998827396,0.33115942028985507,AML4000,29,PPAC_1:4%
2.0,11,696,0.6950269492026502,0.21819518337144694,0.9295977011494253,AML4232,13,PPAC_3:0%
2.0,12,539,0.9192225194268848,0.06032392134789519,0.4897959183673469,0_HealthyBM2,13,-
2.0,13,1089,0.5025133437395504,0.12969974829466507,0.11753902662993572,AML4035,29,PPAC_4:90%
2.0,14,34,0.09348368825264818,0.2620346527423938,0.9705882352941176,AML948,2,-
2.0,15,883,0.8377217561443006,0.03511840546897272,0.8629671574178935,AML4264,16,FPAC_2:96%
2.0,16,1619,0.3901620563323088,0.11388719029693074,0.3378628783199506,AML647,29,PPAC_2:63%
2.0,17,3990,0.8916275745230197,0.02259550332098068,0.3155388471177945,AML3082,26,PPAC_2:0%
2.0,18,1699,0.7714022926979893,0.11453908570336885,0.3225426721600942,AML4232,30,FPAC_1:0%
2.0,19,1649,0.6378626986730105,0.14718337325361874,0.49302607640994545,AML3210,28,PPAC_3:0%
2.0,20,3133,0.8203805833058452,0.14129628696625254,0.25119693584423874,AML882,30,-
2.0,21,1150,0.9655263315652224,0.009491567726999611,0.9391304347826087,AML4116,9,PPAC_5:99%
2.0,22,1166,0.9269207232855315,0.014200639725866427,0.9210977701543739,AML882,9,PPAC_1:1%
2.0,23,7759,0.6656263166356494,0.11899966315251681,0.1028483051939683,AML4363,30,PPAC_1:0%
2.0,24,529,0.9624138530872042,0.019114536793521732,0.9754253308128544,AML4127,2,-
2.0,25,1705,0.1794650391128582,0.04973851862928542,0.18299120234604105,AML3492,28,FPAC_1:38%
2.0,26,3237,0.37449467066966746,0.08559512276791528,0.26536916898362684,AML4102,28,FPAC_1:20%
2.0,27,4354,0.33769304217113566,0.07139766276178142,0.16559485530546625,AML1355,26,FPAC_1:52%
2.0,28,3554,0.59264983947704,0.15737946246224332,0.17810917276308386,AML3371,27,FPAC_1:4%
2.0,29,2293,0.6481282610494006,0.038752117355599414,0.1626689925861317,AML1355,30,FPAC_1:1%
2.0,30,2173,0.5748593676542446,0.09037993360488898,0.30510814542107684,AML4264,26,PPAC_1:0%
2.5,0,897,0.8499055942303221,0.04050668163795486,0.2887402452619844,0_HealthyBM2,22,PPAC_4:10%
2.5,1,661,0.8853058383394744,0.07658181916459605,0.4009077155824508,0_HealthyBM2,13,-
2.5,2,1760,0.661605515058703,0.07727929403402742,0.47102272727272726,AML3210,29,PPAC_3:0%
2.5,3,2457,0.5658014075777646,0.07601292288330994,0.28327228327228327,AML4264,27,PPAC_1:1%
2.5,4,1171,0.601056790683956,0.15239116488971147,0.11187019641332195,AML4035,30,PPAC_4:85%
2.5,5,1132,0.6081037228894726,0.16679539636448035,0.11219081272084806,AML4304,30,PPAC_4:1%
2.5,6,2277,0.7797094330068013,0.13670352674917988,0.21958717610891523,AML4232,30,FPAC_1:0%
2.5,7,646,0.6737035088707972,0.19778632294643556,0.3761609907120743,AML4271,24,PPAC_1:3%
