LS,det>1%,det>5%
LS_1,0.65,0.186
LS_2,0.54,0.105
LS_3,0.433,0.208
LS_4,0.46,0.109
LS_5,0.137,0.06
LS_6,0.608,0.228
LS_7,0.566,0.137
LS_8,0.591,0.294
LS_9,0.773,0.487
LS_10,0.116,0.017
LS_11,0.315,0.03
LS_12,0.452,0.071
LS_13,0.105,0.016
LS_14,0.4,0.035
LS_15,0.443,0.039
LS_16,0.472,0.133
LS_17,0.757,0.158
LS_18,0.459,0.055
LS_19,0.552,0.163
LS_20,0.501,0.171
LS_21,0.25,0.049
LS_22,0.564,0.062
LS_23,0.368,0.046
LS_24,0.249,0.026
LS_25,0.211,0.015
LS_26,0.624,0.195
LS_27,0.731,0.121
LS_28,0.444,0.098
LS_29,0.558,0.092
LS_30,0.677,0.414
LS_31,0.386,0.115
LS_32,0.117,0.022
LS_33,0.469,0.021
LS_34,0.523,0.065
LS_35,0.484,0.111
LS_36,0.458,0.098
LS_37,0.185,0.052
LS_38,0.706,0.157
LS_39,0.556,0.144
LS_40,0.322,0.043
LS_41,0.483,0.091
LS_42,0.601,0.099
LS_43,0.799,0.289
LS_44,0.839,0.446
LS_45,0.152,0.013
LS_46,0.558,0.2
LS_47,0.518,0.11
LS_48,0.645,0.214
