"LS","HR","p","fdr","dir"
"LS_35",0.685,3.38477648497878e-10,1.62469271278982e-08,"favorable"
"LS_8",0.723,3.97117003041978e-07,9.53080807300748e-06,"favorable"
"LS_40",1.167,2.94831253999638e-05,0.00047173000639942,"poor"
"LS_18",1.175,0.000104194624768596,0.00125033549722315,"poor"
"LS_19",1.144,0.00107325897688909,0.0103032861781353,"poor"
"LS_28",1.137,0.00150058652585446,0.0120046922068357,"poor"
"LS_1",0.863,0.00385784310126388,0.0234114283957279,"favorable"
"LS_27",0.868,0.00390190473262133,0.0234114283957279,"favorable"
"LS_25",1.122,0.00563929445102294,0.0300762370721223,"poor"
"LS_21",1.112,0.00917504704081526,0.0440402257959133,"poor"
"LS_9",1.115,0.0146850369765446,0.0640801613521946,"poor"
"LS_46",0.889,0.0211755567844702,0.0847022271378807,"favorable"
"LS_20",1.102,0.0253272100154547,0.0935158523647558,"poor"
"LS_2",0.896,0.0286140270493451,0.0981052355977545,"favorable"
"LS_36",1.092,0.0362928621924902,0.116137159015969,"poor"
"LS_42",1.088,0.0460912331014384,0.133243267248745,"poor"
"LS_3",0.905,0.0471903238172637,0.133243267248745,"favorable"
"LS_43",0.907,0.0502572128680671,0.134019234314846,"favorable"
"LS_44",0.913,0.0666138629264365,0.165153893968622,"favorable"
"LS_16",1.085,0.068814122486926,0.165153893968622,"poor"
"LS_30",1.083,0.0769056249366637,0.175784285569517,"poor"
"LS_48",1.081,0.0852033599548403,0.18589823990147,"poor"
"LS_23",1.072,0.0955218866130215,0.199350024235871,"poor"
"LS_17",1.072,0.118324011133818,0.236648022267635,"poor"
"LS_7",0.929,0.135368581410302,0.25990767630778,"favorable"
"LS_15",1.062,0.162529446873568,0.300054363458895,"poor"
"LS_4",1.061,0.178959174501116,0.31814964355754,"poor"
"LS_47",1.052,0.208377504573176,0.357218579268301,"poor"
"LS_26",0.948,0.257860060484083,0.422916148649632,"favorable"
"LS_14",1.05,0.26432259290602,0.422916148649632,"poor"
"LS_13",1.044,0.275849318900666,0.427121526039741,"poor"
"LS_45",0.951,0.330606670860313,0.482428307577071,"favorable"
"LS_22",1.045,0.332171654487197,0.482428307577071,"poor"
"LS_41",0.955,0.341720051200425,0.482428307577071,"favorable"
"LS_33",0.965,0.463633027610071,0.633945294755234,"favorable"
"LS_24",1.032,0.475458971066426,0.633945294755234,"poor"
"LS_32",1.028,0.507189533647856,0.65797561121884,"poor"
"LS_11",1.03,0.525607927491735,0.663925803147455,"poor"
"LS_39",0.978,0.629920416784533,0.775286666811733,"favorable"
"LS_29",1.018,0.693214896498754,0.831857875798505,"poor"
"LS_37",1.012,0.78463243575391,0.918594071126529,"poor"
"LS_38",0.991,0.8493848025745,0.954988939628753,"favorable"
"LS_34",1.006,0.891327057840327,0.954988939628753,"poor"
"LS_12",1.006,0.896354203552809,0.954988939628753,"poor"
"LS_6",1.005,0.907594836862019,0.954988939628753,"poor"
"LS_10",0.996,0.926592188468727,0.954988939628753,"favorable"
"LS_5",1.004,0.93509333671982,0.954988939628753,"poor"
"LS_31",1.001,0.986949587640867,0.986949587640867,"poor"
