LS,det>1%,det>5%,mean_frac
LS_1,0.747,0.49,0.0548
LS_2,0.556,0.198,0.0281
LS_3,0.201,0.096,0.0153
LS_4,0.628,0.293,0.0398
LS_5,0.49,0.179,0.0249
LS_6,0.232,0.059,0.0098
LS_7,0.474,0.157,0.0243
LS_8,0.7,0.123,0.0269
LS_9,0.889,0.494,0.0595
LS_10,0.443,0.12,0.0191
LS_11,0.753,0.487,0.062
LS_12,0.581,0.262,0.0335
LS_13,0.348,0.098,0.0154
LS_14,0.491,0.126,0.0204
LS_15,0.261,0.046,0.0092
LS_16,0.873,0.559,0.0659
LS_17,0.569,0.295,0.0424
LS_18,0.721,0.289,0.0391
LS_19,0.75,0.179,0.0296
LS_20,0.543,0.071,0.0175
LS_21,0.607,0.407,0.0636
LS_22,0.525,0.186,0.0307
LS_23,0.394,0.144,0.0222
LS_24,0.74,0.35,0.0434
LS_25,0.593,0.204,0.0301
LS_26,0.372,0.103,0.0165
LS_27,0.777,0.419,0.0581
LS_28,0.731,0.34,0.0428
LS_29,0.645,0.248,0.0398
LS_30,0.351,0.102,0.0154
