LS,dom_subcluster,map_purity,in_job4,shared_subcluster,target_det>1%,target_det>5%,target_mean_frac
LS_1,AML_7,0.98,True,False,0.443,0.237,0.0259
LS_2,AML_4,0.99,True,False,0.518,0.265,0.0397
LS_3,AML_9,0.98,True,True,0.201,0.06,0.0107
LS_4,AML_2,0.9,True,True,0.363,0.173,0.0212
LS_5,AML_5,0.64,True,True,0.773,0.583,0.0756
LS_6,AML_12,0.96,True,False,0.794,0.566,0.0811
LS_7,AML_11,0.86,True,True,0.581,0.405,0.0532
LS_8,AML_19,0.99,True,False,0.18,0.032,0.0078
LS_9,AML_15,0.87,True,True,0.386,0.036,0.0122
LS_10,AML_10,0.62,True,True,0.621,0.309,0.0379
LS_11,AML_2,0.64,True,True,0.363,0.173,0.0212
LS_12,AML_17,0.8,True,True,0.542,0.152,0.0238
LS_13,AML_5,0.9,True,True,0.773,0.583,0.0756
LS_14,AML_23,0.98,True,False,0.299,0.088,0.0131
LS_15,AML_22,0.97,True,False,0.274,0.071,0.0125
LS_16,AML_21,0.95,True,False,0.93,0.875,0.195
LS_17,AML_20,0.7,True,True,0.591,0.31,0.0465
LS_18,AML_11,0.63,True,True,0.581,0.405,0.0532
LS_19,AML_15,1.0,True,True,0.386,0.036,0.0122
LS_20,AML_17,0.97,True,True,0.542,0.152,0.0238
LS_21,AML_24,0.91,True,False,0.49,0.293,0.0438
LS_22,AML_25,0.67,True,False,0.111,0.013,0.0043
LS_23,Myeloid_Pro,0.9,True,False,0.574,0.29,0.0334
LS_24,AML_20,0.85,True,True,0.591,0.31,0.0465
LS_25,AML_10,0.59,True,True,0.621,0.309,0.0379
LS_26,0_HSPC,0.99,True,False,0.471,0.168,0.0243
LS_27,AML_9,0.98,True,True,0.201,0.06,0.0107
LS_28,AML_27,1.0,True,False,0.313,0.076,0.0126
LS_29,AML_26,0.63,True,True,0.263,0.077,0.0116
LS_30,AML_26,0.98,True,True,0.263,0.077,0.0116
