"LS","HR","lo","hi","p","fdr","dir","det.1."
"LS_21",0.638,0.566,0.72,2.56961712078223e-13,7.70885136234668e-12,"favorable",0.607
"LS_25",1.215,1.129,1.307,2.06976060871151e-07,3.10464091306726e-06,"poor",0.593
"LS_26",1.185,1.103,1.275,4.24266646153309e-06,4.24266646153309e-05,"poor",0.372
"LS_29",0.777,0.693,0.872,1.6257567033727e-05,0.000121931752752953,"favorable",0.645
"LS_30",0.8,0.714,0.898,0.000140382653634174,0.000842295921805043,"favorable",0.351
"LS_17",1.153,1.062,1.25,0.000637382110593427,0.00318691055296714,"poor",0.569
"LS_15",1.142,1.057,1.235,0.000776229483978067,0.00322055322703034,"poor",0.261
"LS_12",1.155,1.061,1.256,0.000858814193874756,0.00322055322703034,"poor",0.581
"LS_20",1.1,1.011,1.198,0.0275532658471813,0.0832241716970958,"poor",0.543
"LS_2",0.894,0.809,0.988,0.0277413905656986,0.0832241716970958,"favorable",0.556
"LS_11",1.096,1.006,1.193,0.0360947146996639,0.0925245981813929,"poor",0.753
"LS_22",1.091,1.005,1.185,0.0370098392725572,0.0925245981813929,"poor",0.525
"LS_9",1.089,0.997,1.19,0.057277050189811,0.132177808130333,"poor",0.889
"LS_1",0.92,0.835,1.013,0.0890808091464698,0.180873261179768,"favorable",0.747
"LS_8",1.076,0.989,1.171,0.0904366305898839,0.180873261179768,"poor",0.7
"LS_27",0.92,0.834,1.016,0.0989440381878787,0.185520071602273,"favorable",0.777
"LS_7",1.069,0.983,1.163,0.120242313269711,0.196900064011477,"poor",0.474
"LS_16",0.93,0.848,1.02,0.124069923386792,0.196900064011477,"favorable",0.873
"LS_13",1.065,0.982,1.156,0.128517352765811,0.196900064011477,"poor",0.348
"LS_4",1.07,0.98,1.169,0.131266709340985,0.196900064011477,"poor",0.628
"LS_23",1.048,0.966,1.137,0.259858667197943,0.371226667425633,"poor",0.394
"LS_24",1.051,0.96,1.151,0.279057287208857,0.380532664375714,"poor",0.74
"LS_28",0.975,0.889,1.07,0.591953835466231,0.772113698434215,"favorable",0.731
"LS_6",0.986,0.897,1.084,0.77211190331476,0.916910395553819,"favorable",0.232
"LS_5",1.012,0.925,1.106,0.797948749796451,0.916910395553819,"poor",0.49
"LS_14",0.989,0.901,1.086,0.821267747070198,0.916910395553819,"favorable",0.491
"LS_10",0.99,0.9,1.09,0.84475429968835,0.916910395553819,"favorable",0.443
"LS_3",1.008,0.925,1.099,0.855783035850231,0.916910395553819,"poor",0.201
"LS_19",0.997,0.909,1.093,0.949415526028068,0.982153992442829,"favorable",0.75
"LS_18",0.999,0.913,1.094,0.989955095989948,0.989955095989948,"favorable",0.721
