"LS","HR_perSD","lo","hi","p","dom_subcluster","map_purity","shared_subcluster","target_det.1.","fdr","dir"
"LS_26",1.22,1.137,1.31,3.50743386848365e-08,"0_HSPC",0.99,"False",0.471,1.05223016054509e-06,"poor"
"LS_2",0.721,0.639,0.813,9.74753647362693e-08,"AML_4",0.99,"False",0.518,1.46213047104404e-06,"favorable"
"LS_21",0.803,0.72,0.895,7.25424581345862e-05,"AML_24",0.91,"False",0.49,0.000682167986645505,"favorable"
"LS_22",1.149,1.072,1.232,9.0955731552734e-05,"AML_25",0.67,"False",0.111,0.000682167986645505,"poor"
"LS_28",1.148,1.064,1.24,0.000412935502679095,"AML_27",1,"False",0.313,0.00247761301607457,"poor"
"LS_12",1.132,1.046,1.224,0.002077023986242,"AML_17",0.8,"True",0.542,0.00890153136960857,"poor"
"LS_20",1.132,1.046,1.224,0.002077023986242,"AML_17",0.97,"True",0.542,0.00890153136960857,"poor"
"LS_15",1.118,1.034,1.208,0.00500799131063379,"AML_22",0.97,"False",0.274,0.0187799674148767,"poor"
"LS_14",1.122,1.034,1.217,0.00593804573192656,"AML_23",0.98,"False",0.299,0.0197934857730886,"poor"
"LS_10",1.117,1.03,1.211,0.00771900266696853,"AML_10",0.62,"True",0.621,0.0210518254553687,"poor"
"LS_25",1.117,1.03,1.211,0.00771900266696853,"AML_10",0.59,"True",0.621,0.0210518254553687,"poor"
"LS_11",1.114,1.026,1.21,0.0104294007280529,"AML_2",0.64,"True",0.363,0.0240678478339681,"poor"
"LS_4",1.114,1.026,1.21,0.0104294007280529,"AML_2",0.9,"True",0.363,0.0240678478339681,"poor"
"LS_16",0.892,0.816,0.975,0.0115728726502337,"AML_21",0.95,"False",0.93,0.0247990128219293,"favorable"
"LS_6",0.886,0.803,0.976,0.0144663676607001,"AML_12",0.96,"False",0.794,0.0289327353214002,"favorable"
"LS_23",0.89,0.807,0.98,0.0183101052176072,"Myeloid_Pro",0.9,"False",0.574,0.0343314472830135,"favorable"
"LS_17",1.084,0.999,1.176,0.052872769609938,"AML_20",0.7,"True",0.591,0.08812128268323,"poor"
"LS_24",1.084,0.999,1.176,0.052872769609938,"AML_20",0.85,"True",0.591,0.08812128268323,"poor"
"LS_13",1.082,0.99,1.183,0.0833279273977166,"AML_5",0.9,"True",0.773,0.124991891096575,"poor"
"LS_5",1.082,0.99,1.183,0.0833279273977166,"AML_5",0.64,"True",0.773,0.124991891096575,"poor"
"LS_29",0.927,0.837,1.026,0.143017013465365,"AML_26",0.63,"True",0.263,0.195023200180043,"favorable"
"LS_30",0.927,0.837,1.026,0.143017013465365,"AML_26",0.98,"True",0.263,0.195023200180043,"favorable"
"LS_8",1.036,0.958,1.121,0.376374913511358,"AML_19",0.99,"False",0.18,0.465554050376239,"poor"
"LS_19",1.041,0.95,1.14,0.387961708646866,"AML_15",1,"True",0.386,0.465554050376239,"poor"
"LS_9",1.041,0.95,1.14,0.387961708646866,"AML_15",0.87,"True",0.386,0.465554050376239,"poor"
"LS_1",1.032,0.944,1.129,0.484000493770149,"AML_7",0.98,"False",0.443,0.558462108196325,"poor"
"LS_27",1.024,0.945,1.109,0.561324321409549,"AML_9",0.98,"True",0.201,0.601418915795945,"poor"
"LS_3",1.024,0.945,1.109,0.561324321409549,"AML_9",0.98,"True",0.201,0.601418915795945,"poor"
"LS_18",1.009,0.919,1.107,0.853746725889857,"AML_11",0.63,"True",0.581,0.853746725889857,"poor"
"LS_7",1.009,0.919,1.107,0.853746725889857,"AML_11",0.86,"True",0.581,0.853746725889857,"poor"
