LS,disc_cyto,target_peak,peak_meanfrac,det>5%,identity_match
LS_1,-,inv(16),0.175,0.87,False
LS_2,CBFB/MYH11,inv(16),0.059,0.07,True
LS_3,CBFB/MYH11,CBFA2T3-GLIS2,0.136,0.77,False
LS_4,CN,NUP98-r,0.009,0.02,False
LS_5,MLLr,complex(>=3),0.015,0.07,False
LS_6,MLLr,KMT2A(MLL),0.017,0.04,True
LS_7,BCR/ABL,PML-RARA,0.03,0.03,False
LS_8,MYB/GATA1,complex(>=3),0.023,0.02,False
LS_9,CN,complex(>=3),0.045,0.12,False
LS_10,-,PML-RARA,0.011,0.01,False
LS_11,Tri,t(6;9),0.028,0.05,False
LS_12,-,CBFA2T3-GLIS2,0.063,0.18,False
LS_13,RUNX1/RUNX1T1,t(8;21),0.037,0.05,True
LS_14,NUP98/NSD1,KMT2A(MLL),0.018,0.04,False
LS_15,t,CBFA2T3-GLIS2,0.039,0.11,False
LS_16,-,t(6;9),0.251,0.84,False
LS_17,CBFB/MYH11,inv(16),0.021,0.06,True
LS_18,del7q,complex(>=3),0.034,0.08,False
LS_19,RUNX1/RUNX1T1,t(8;21),0.007,0.0,True
LS_20,-,PML-RARA,0.025,0.02,False
LS_21,RUNX1/RUNX1T1,t(8;21),0.066,0.12,True
LS_22,t,t(8;21),0.012,0.03,False
LS_23,CBFB/MYH11,t(8;21),0.013,0.04,False
LS_24,CBFB/MYH11,KMT2A(MLL),0.031,0.14,False
LS_25,MLLr,PML-RARA,0.089,0.24,False
LS_26,RUNX1/RUNX1T1,CBFA2T3-GLIS2,0.044,0.05,False
LS_27,NUP98/NSD1,t(8;21),0.115,0.78,False
LS_28,Tri,PML-RARA,0.145,0.46,False
LS_29,RUNX1/RUNX1T1,PML-RARA,0.273,0.89,False
LS_30,RUNX1/RUNX1T1,inv(16),0.041,0.07,False
