,CBFA2T3-GLIS2,KMT2A(MLL),NUP98-r,Normal,Other,PML-RARA,complex(>=3),inv(16),mono7/del7q,t(6;9),t(8;21)
LS_1,0.0,0.0027002528364371008,0.0034239760504474245,0.0009048399819393474,0.0035863964439958483,0.0,0.0,0.00022419710414280748,0.0,0.0,0.0009606809967169683
LS_2,0.11207290988796863,9.097098322847646e-07,0.0023553373952992485,0.021733655553896357,0.014129239863945429,1.982605126145133e-05,0.04138462827571272,0.0837011224450599,0.011609991088762171,0.0,0.011996072629229266
LS_3,0.0,0.002120284449556476,0.007727310493170144,0.0029738301682067664,0.0020213978945276237,0.0,0.0007320208744544494,0.008142789243636338,0.0007981920329662353,0.002549830595302491,0.0019453276174373631
LS_4,0.0,0.0012248949181305649,0.015149513990328111,0.010619176598567944,0.015519032735754657,0.2177408408576436,0.008239062759746908,0.0004711782199789856,0.002100102639158528,0.0,0.0006581356821858154
LS_5,0.0039761452426893195,0.008576977165675247,0.003147250033324778,0.015133073834670614,0.011620284984821599,0.0,0.012103177548931353,0.01628752415027136,0.020494624023141006,0.008440938964906242,0.006772047508517363
LS_6,0.0,0.002072756985681787,0.0,0.00034366579112109485,0.0006994384115905605,0.004914327488847954,1.382826832384874e-05,0.0012925822120502814,0.0,0.0,0.0
LS_7,0.0,0.0,0.0,0.0007050029458240176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LS_8,0.10246743455924928,0.06794201733686141,0.0852482515846378,0.05268708302375498,0.07215691884360434,0.03420452241943469,0.13952818980979861,0.032791029206725095,0.07108373415495065,0.041988541447502525,0.04008568938310869
LS_9,0.2028501569912161,0.16224408371126878,0.26149666735142735,0.20449440617818881,0.2117988728074596,0.02511065681217722,0.20532731219564737,0.16326390217702216,0.22112243592770175,0.2684906978453913,0.12193153753174413
LS_10,0.0,3.756081204818516e-05,0.0,0.0017360678658673548,0.0011265564386770208,0.00600085229949263,1.3446743559249052e-05,0.00226423678030176,0.0,0.0,0.0017305877283224527
LS_11,0.0,0.0005099103533099906,0.0008248560634065157,3.90552943710719e-05,0.00031615832643221403,0.0030393191868463,0.005908665861497272,0.0002653068535639798,0.0,0.0,0.0005828917552379064
LS_12,0.0,0.00010970623578220605,0.0,0.0,0.00019260344810852572,0.0,0.0,0.0,0.0,0.0,0.0
LS_13,0.014587160817348475,0.0013763557828531318,0.006870075136872468,0.0005438530429895241,0.0058802613776878935,0.0,0.000210765097384131,0.010467821470748314,0.001345505773803406,0.0,0.0165719100342387
LS_14,0.01225997333948358,0.007589677226626551,0.0018009609771322858,0.0035205932245799504,0.002747362546078027,0.012934772646799245,0.009427738299743445,0.0,0.0,0.004342162294981228,0.0029052327928094784
LS_15,0.11318203732569072,0.08518818390688714,0.053452202720603616,0.11999145293919065,0.11927055076176371,0.0015661037109987008,0.19817101449767618,0.0831016142824608,0.14166401876983403,0.020063281451956783,0.036622454856335154
LS_16,0.15955733751513063,0.3430257329215706,0.17915612282307758,0.36965278359568365,0.3122626345254686,0.4681034891324815,0.21008432413557657,0.29753733819785655,0.2668782018965117,0.5144228234127358,0.3577142299412778
LS_17,0.006315200711932923,0.012724916751121813,0.005698824810517204,0.0021943607595634137,0.004430988505396704,0.0,0.000300755540718486,0.008542506972130992,0.0019033766277197412,0.0,0.005255604382384087
LS_18,0.0008753163086515696,0.0030878975881762924,0.020461815202264713,0.004332969938396661,0.008050602455912327,0.0,0.0020750071212021813,0.00567878737835872,0.02009607606685526,0.0,0.004433963796443988
LS_19,0.0016072549050221668,0.007622934248521419,0.00827179518473902,0.00833050767337708,0.006181860481811741,0.021161533588786138,0.015397008066685576,0.013156376424348682,0.009416930676465365,0.0028097728108128967,0.012277600515018423
LS_20,0.04683220040479153,0.022679414846704615,0.03689593646624686,0.020007331774154757,0.017928959585391126,0.011531122398226842,0.03938203866168759,0.005837132541175269,0.021681601082516908,0.012826364977051573,0.00717691714180976
LS_21,0.025897431170514316,0.007141956850663549,0.029712488946697972,0.007825888551839645,0.012063027352958566,0.0,0.0027756415841215356,0.07100622479535112,0.0035071378245502124,0.0,0.10044378239601039
LS_22,0.024426895376846895,0.012524959745296342,0.004392231396138487,0.014888074199089593,0.014266087524110398,0.0017190652473568651,0.020963226423176662,0.012323441612385898,0.016500040577791083,0.006943593125258819,0.014163806717545907
LS_23,0.01679660889054418,0.007834603525693089,0.006761780485278574,0.009781506058285736,0.012230549961707445,0.06990868283097225,0.0056889068086304045,0.003864087181797823,0.008091084803635401,0.017299554610464573,0.01078669279399455
LS_24,0.0,0.011790118449395981,0.01765887649660369,0.002072573510890283,0.009192520156961247,0.0,0.0014992187571096828,0.0035607336638795637,0.021796316014866292,0.0,0.005181839416030712
LS_25,0.007055261981410875,0.05152303154329535,0.04290526113973698,0.02787294905648289,0.021734996406836914,0.10366159099749833,0.006944023892742792,0.004325570374188838,0.01793298851579205,0.057337846737842445,0.002151356514740425
LS_26,0.12783518068387023,0.16855158155824124,0.20088078820358812,0.09004419450517483,0.11294015330533724,0.0,0.07125415448300336,0.12485684655774877,0.13823295112149164,0.020709487136593707,0.13597927498688794
