LS,frac_pts>1%,frac_pts>5%,mean_frac,median_frac
LS_1,0.031,0.018,0.0026,0.0
LS_2,0.152,0.106,0.0232,0.0
LS_3,0.072,0.022,0.0033,0.0
LS_4,0.079,0.065,0.0139,0.0
LS_5,0.157,0.084,0.0124,0.0
LS_6,0.016,0.004,0.0008,0.0
LS_7,0.003,0.002,0.0005,0.0
LS_8,0.841,0.515,0.0624,0.0512
LS_9,0.862,0.77,0.1752,0.1511
LS_10,0.018,0.008,0.0014,0.0
LS_11,0.01,0.004,0.0009,0.0
LS_12,0.001,0.0,0.0,0.0
LS_13,0.051,0.033,0.0058,0.0
LS_14,0.036,0.025,0.0043,0.0
LS_15,0.538,0.447,0.0944,0.0258
LS_16,0.937,0.901,0.3107,0.299
LS_17,0.073,0.043,0.0057,0.0
LS_18,0.058,0.039,0.006,0.0
LS_19,0.198,0.046,0.0101,0.0
LS_20,0.233,0.125,0.0197,0.0
LS_21,0.212,0.158,0.03,0.0
LS_22,0.303,0.065,0.0142,0.004
LS_23,0.125,0.082,0.0124,0.0
LS_24,0.064,0.043,0.0065,0.0
LS_25,0.245,0.168,0.0308,0.0
LS_26,0.627,0.562,0.1242,0.0861
LS_27,0.003,0.0,0.0001,0.0
LS_28,0.0,0.0,0.0,0.0
LS_29,0.16,0.13,0.0279,0.0
LS_30,0.007,0.003,0.0005,0.0
