sample,LS_1,LS_2,LS_3,LS_4,LS_5,LS_6,LS_7,LS_8,LS_9,LS_10,LS_11,LS_12,LS_13,LS_14,LS_15,LS_16,LS_17,LS_18,LS_19,LS_20,LS_21,LS_22,LS_23,LS_24,LS_25,LS_26,LS_27,LS_28,LS_29,LS_30
TARGET.20.PAUPTI.09A,0.0,0.0,0.0,0.32700110064488425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48797182406059453,0.0,0.0,0.035633784536826404,0.0,0.0,0.002382849268235237,0.0,0.0,0.1470104414894595,0.0,0.0,0.0,0.0,0.0
TARGET.20.PATJVL.09A,0.0,0.0,0.0,0.2603966058280425,0.0,0.0471355759049302,0.0,0.0856872138066061,0.0,0.02216616485673164,0.0,0.0,0.0,0.0,0.0,0.443177543778295,0.0,0.0,0.05346555545536251,0.0,0.0,0.002299932596440802,0.0,0.0,0.08567140777359125,0.0,0.0,0.0,0.0,0.0
TARGET.20.PAXDMP.09A,0.0,0.1161673711082882,0.0,0.0,0.0740404897127652,0.0,0.0,0.06087089423409107,0.11229769376632358,0.0,0.0,0.0,0.0,0.0,0.07546910354341414,0.2039605740514845,0.0,0.0,0.0,0.0,0.0,0.009306749105752531,0.0,0.0,0.0,0.1907473760527836,0.0,0.0,0.1571397484250973,0.0
TARGET.20.PAWWEE.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007880819478400464,0.03282005077536103,0.0,0.0,0.0,0.0,0.0,0.05034229627452792,0.6384180878345738,0.0,0.0,0.009349926005961526,0.0,0.0,0.0004857462866000875,0.0,0.0,0.0,0.2607030733445753,0.0,0.0,0.0,0.0
TARGET.20.PAUJMC.09A,0.0,0.0,0.0,0.0,0.04999149033185053,0.0,0.0,0.03674571686455439,0.274876860623971,0.0,0.0,0.0,0.0,0.0,0.13665855283451828,0.16843040748079943,0.01620140482410694,0.0,0.0,0.0017215558594522488,0.0,0.002641492316391438,0.0,0.0,0.0,0.3127325188643559,0.0,0.0,0.0,0.0
TARGET.20.PAVENG.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038771842701989176,0.05880756180483541,0.0,0.0,0.0,0.0,0.0,0.0,0.5855421752993186,0.0,0.0,0.0,0.0,0.20995998832585147,0.025046798247151014,0.0,0.0,0.0,0.0,0.0,0.0,0.08187163362085424,0.0
TARGET.20.PASPYW.09A,0.0,0.0,0.005773472102256553,0.0,0.06469387762358572,0.0,0.0,0.07975986173602659,0.28566670774032155,0.0,0.0,0.0,0.0,0.0,0.185132665241404,0.16848658993378193,0.0,0.0,0.005976787472587872,0.0,0.0601352961401093,0.003975703838339913,0.0,0.0,0.0,0.14039903817158664,0.0,0.0,0.0,0.0
TARGET.20.PAWFZT.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041798427972935336,0.10465297511710939,0.0,0.0,0.0,0.0,0.0,0.0,0.4163973265496772,0.0,0.0,0.0,0.0,0.0,0.025268797300033025,0.0,0.0,0.0,0.0,0.0,0.0,0.41188247306024506,0.0
TARGET.20.PARCEV.09A,0.018908788515950667,0.0,0.0,0.006657277669731977,0.0,0.0,0.0,0.025119874990148287,0.20426886619303822,0.0,0.05817313206352738,0.0,0.0,0.0,0.06880887386478104,0.0978726576659543,0.04534994023806635,0.0,0.0,0.008249630956860177,0.11592881379441664,0.000740162899410446,0.0,0.006280300633015906,0.15801245095530111,0.1856292295597975,0.0,0.0,0.0,0.0
TARGET.20.PAULDS.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055127745869112246,0.23124156595705816,0.0,0.0,0.0,0.0,0.0,0.006232195782620139,0.3963222380851411,0.0,0.0,0.0,0.0,0.0,0.07942507409865096,0.0,0.0,0.0,0.11809446200365478,0.0,0.0,0.11355671820376273,0.0
